auction_id,period,arm,profit_per_auction
1,pre,fixed_rule,5.85
2,post,learned_bidder,9.89
3,pre,learned_bidder,18.4
4,pre,fixed_rule,9.37
5,pre,fixed_rule,3.42
6,pre,learned_bidder,5.0
7,pre,fixed_rule,4.64
8,post,learned_bidder,3.98
9,pre,fixed_rule,11.6
10,post,learned_bidder,0.36
11,pre,learned_bidder,4.47
12,post,fixed_rule,1.23
13,pre,learned_bidder,15.96
14,pre,fixed_rule,8.22
15,post,learned_bidder,2.22
16,pre,learned_bidder,7.39
17,pre,learned_bidder,14.09
18,pre,learned_bidder,9.26
19,pre,fixed_rule,3.95
20,pre,learned_bidder,13.42
21,pre,fixed_rule,9.43
22,pre,learned_bidder,9.01
23,post,fixed_rule,1.89
24,post,learned_bidder,2.19
25,post,learned_bidder,8.89
26,pre,fixed_rule,6.17
27,pre,learned_bidder,4.32
28,pre,fixed_rule,3.65
29,post,learned_bidder,4.06
30,post,learned_bidder,-3.24
31,post,learned_bidder,8.05
32,post,learned_bidder,7.31
33,pre,learned_bidder,13.99
34,pre,fixed_rule,2.5
35,post,learned_bidder,-1.36
36,pre,learned_bidder,13.92
37,pre,fixed_rule,3.2
38,post,learned_bidder,-1.44
39,pre,learned_bidder,13.92
40,pre,fixed_rule,7.5
41,pre,fixed_rule,7.23
42,pre,fixed_rule,6.83
43,pre,fixed_rule,5.68
44,pre,fixed_rule,3.34
45,pre,learned_bidder,12.15
46,pre,fixed_rule,-0.45
47,post,fixed_rule,4.8
48,post,fixed_rule,4.09
49,pre,learned_bidder,8.03
50,pre,learned_bidder,7.22
51,pre,learned_bidder,18.36
52,pre,fixed_rule,9.37
53,pre,fixed_rule,3.97
54,pre,learned_bidder,9.82
55,pre,learned_bidder,7.49
56,pre,learned_bidder,9.58
57,post,fixed_rule,6.27
58,pre,learned_bidder,11.03
59,pre,fixed_rule,4.56
60,pre,learned_bidder,14.31
61,post,fixed_rule,2.6
62,pre,fixed_rule,12.68
63,pre,learned_bidder,5.66
64,post,fixed_rule,-0.81
65,pre,learned_bidder,23.31
66,pre,learned_bidder,16.1
67,pre,learned_bidder,12.77
68,pre,learned_bidder,22.28
69,pre,fixed_rule,1.19
70,pre,fixed_rule,6.44
71,post,learned_bidder,10.99
72,post,learned_bidder,0.27
73,pre,learned_bidder,11.46
74,pre,learned_bidder,6.99
75,pre,learned_bidder,16.28
76,post,learned_bidder,7.32
77,pre,fixed_rule,6.51
78,pre,learned_bidder,15.63
79,pre,learned_bidder,11.99
80,post,learned_bidder,1.82
81,pre,learned_bidder,10.72
