user_id,signup_month,plan_tier,region,engagement_score,got_campaign,retained_90d
1,2026-04,premium,NA,37.6,0,0
2,2026-04,plus,EU,45.6,0,1
3,2025-08,plus,APAC,56.5,0,0
4,2025-12,premium,NA,45.5,0,1
5,2026-05,plus,APAC,60.4,1,0
6,2025-11,basic,APAC,68.8,1,0
7,2025-11,premium,NA,45.9,0,0
8,2026-02,plus,NA,26.0,0,0
9,2025-08,plus,NA,55.3,1,0
10,2025-09,basic,NA,74.6,1,1
11,2025-09,basic,NA,29.2,0,0
12,2026-05,basic,NA,47.4,1,1
13,2025-09,basic,EU,73.8,0,1
14,2025-07,basic,EU,38.6,0,0
15,2026-01,plus,APAC,58.3,0,1
16,2026-05,basic,EU,35.8,1,0
17,2025-07,basic,EU,26.0,0,0
18,2026-01,basic,NA,32.2,0,0
19,2026-06,plus,NA,52.7,1,0
20,2026-03,plus,EU,46.8,1,0
21,2026-01,basic,EU,58.0,1,0
22,2026-06,basic,NA,28.2,0,0
23,2025-07,basic,APAC,61.2,0,1
24,2026-06,plus,EU,29.3,0,0
25,2025-09,plus,NA,56.3,0,0
26,2026-05,plus,NA,52.8,1,0
27,2026-04,premium,EU,17.3,0,0
28,2026-04,plus,EU,60.5,0,0
29,2025-11,basic,NA,40.8,1,0
30,2026-01,basic,EU,80.9,1,1
31,2026-01,basic,NA,35.2,0,0
32,2025-09,basic,EU,74.6,0,1
33,2026-06,basic,APAC,27.7,0,0
34,2025-12,basic,NA,14.1,0,0
35,2026-03,basic,NA,65.9,1,1
36,2026-01,basic,EU,12.9,0,0
37,2025-07,plus,NA,20.2,0,0
38,2025-09,basic,NA,71.5,1,1
39,2026-06,basic,EU,40.1,0,0
40,2026-02,basic,APAC,50.5,1,0
41,2025-11,plus,APAC,61.9,0,0
42,2026-01,premium,NA,60.8,0,0
43,2026-01,basic,APAC,37.8,1,0
44,2026-03,plus,NA,9.4,0,0
45,2026-06,premium,NA,25.0,0,0
46,2026-02,plus,EU,29.8,1,0
47,2025-08,plus,APAC,70.7,1,1
48,2026-05,basic,NA,73.7,0,1
49,2025-08,basic,NA,16.7,0,0
50,2025-12,plus,NA,38.0,0,0
51,2025-09,premium,NA,81.8,1,1
52,2026-01,plus,EU,41.3,0,0
53,2026-06,basic,EU,57.6,0,1
54,2026-02,basic,NA,56.8,1,1
55,2025-07,basic,NA,54.8,1,0
56,2025-11,premium,EU,36.4,0,0
57,2025-09,basic,NA,18.3,0,0
58,2026-02,basic,NA,53.4,1,0
59,2025-11,plus,NA,61.0,0,0
60,2025-10,basic,EU,15.0,0,1
61,2026-06,basic,APAC,83.7,1,1
62,2026-04,basic,NA,4.4,0,0
63,2026-01,basic,NA,6.6,0,0
64,2026-05,basic,APAC,18.3,0,0
65,2026-03,basic,EU,32.5,0,0
66,2025-10,basic,EU,44.5,1,1
67,2025-11,plus,NA,40.1,1,0
68,2026-02,plus,NA,45.0,1,0
69,2025-11,plus,APAC,31.1,0,1
70,2026-05,plus,EU,77.3,1,1
71,2025-11,plus,APAC,31.7,0,0
72,2026-02,basic,EU,38.1,0,0
73,2025-07,basic,NA,19.9,0,0
74,2025-12,plus,NA,41.7,0,0
75,2025-10,basic,EU,68.9,1,1
76,2026-03,basic,NA,79.1,1,1
77,2026-05,basic,NA,56.7,0,0
78,2025-11,premium,EU,47.4,1,1
79,2025-07,plus,APAC,36.6,0,1
80,2025-12,basic,NA,57.4,0,1
81,2025-12,basic,NA,31.0,0,1
82,2026-06,basic,EU,55.0,1,0
83,2025-08,basic,NA,44.9,1,0
84,2025-11,basic,EU,50.5,1,0
85,2025-07,basic,APAC,70.7,1,1
86,2026-05,plus,NA,17.8,0,0
87,2026-04,premium,NA,48.7,1,0
88,2026-03,basic,APAC,41.5,0,1
89,2026-02,basic,EU,53.7,1,0
90,2025-12,plus,NA,53.0,0,0
91,2026-04,basic,NA,50.2,0,1
92,2026-05,basic,EU,68.0,1,1
93,2025-09,basic,NA,77.2,1,1
94,2025-08,plus,EU,38.6,0,0
95,2026-02,basic,NA,28.4,0,0
96,2026-06,basic,NA,12.1,0,0
97,2026-02,plus,NA,81.4,1,0
98,2026-03,basic,APAC,22.4,0,0
99,2025-10,premium,NA,37.3,0,1
100,2026-01,basic,EU,42.0,1,0
101,2025-08,basic,APAC,27.5,0,0
102,2025-12,basic,NA,40.0,0,1
103,2026-05,premium,APAC,77.5,1,1
104,2026-06,basic,EU,3.7,0,0
105,2026-02,basic,NA,29.3,0,1
106,2026-04,basic,APAC,30.2,0,0
107,2025-12,premium,APAC,54.8,1,0
108,2026-01,premium,NA,18.5,0,0
109,2025-11,plus,APAC,31.8,0,0
110,2026-04,basic,EU,28.6,0,0
111,2025-07,basic,APAC,43.8,0,0
112,2026-01,basic,EU,34.5,1,0
113,2025-10,basic,EU,24.0,0,0
114,2026-03,premium,APAC,62.9,1,1
115,2026-01,plus,EU,70.0,1,0
116,2026-02,basic,NA,55.4,0,1
117,2026-03,plus,EU,76.4,0,1
118,2025-09,basic,APAC,26.1,0,0
119,2026-04,basic,APAC,55.6,0,1
120,2025-09,basic,EU,29.6,0,1
121,2026-02,basic,NA,60.1,1,1
122,2026-03,basic,APAC,45.6,0,0
123,2025-08,basic,NA,55.5,0,1
124,2025-10,premium,EU,20.7,0,0
125,2025-09,premium,NA,64.9,1,1
126,2026-05,basic,APAC,72.4,0,1
127,2025-10,plus,EU,4.6,0,0
128,2026-01,basic,NA,10.9,0,0
129,2025-11,basic,APAC,62.0,1,0
130,2025-08,basic,NA,33.8,0,0
131,2025-09,basic,NA,41.4,0,1
132,2026-04,basic,APAC,13.7,0,0
133,2025-11,plus,NA,45.0,0,0
134,2026-03,plus,NA,53.6,1,1
135,2026-04,basic,APAC,64.2,1,1
136,2026-02,basic,APAC,80.6,1,0
137,2025-09,plus,NA,11.7,1,0
138,2026-05,premium,NA,35.5,0,0
139,2026-02,basic,NA,49.1,0,1
140,2026-03,basic,APAC,49.7,1,0
141,2026-06,premium,EU,50.8,1,0
142,2026-04,basic,NA,34.6,0,0
143,2025-12,plus,APAC,31.7,0,0
144,2026-01,basic,EU,32.6,0,0
145,2025-07,premium,EU,14.8,0,0
146,2026-04,premium,EU,29.1,0,0
147,2025-09,basic,NA,43.1,0,1
148,2025-12,basic,NA,74.4,1,1
149,2025-12,plus,EU,68.8,1,1
150,2025-12,basic,NA,75.2,1,0
151,2026-06,basic,NA,25.9,0,0
152,2026-02,basic,APAC,39.7,0,0
153,2026-05,basic,EU,72.5,1,1
154,2026-04,premium,EU,82.7,0,1
155,2026-02,basic,EU,48.2,1,1
156,2025-08,basic,NA,20.4,0,0
157,2025-08,plus,EU,38.4,0,0
158,2025-12,plus,EU,40.8,0,0
159,2026-05,basic,NA,53.8,0,0
160,2025-07,basic,EU,72.8,1,0
161,2026-05,basic,NA,40.3,0,0
162,2026-01,premium,NA,77.9,1,1
163,2026-01,basic,APAC,76.2,0,1
164,2025-12,basic,NA,74.7,1,1
165,2025-12,premium,NA,24.0,0,0
166,2025-07,basic,EU,59.7,1,1
167,2025-12,premium,NA,15.7,0,0
168,2025-11,plus,APAC,22.5,0,0
169,2025-12,basic,NA,71.5,1,1
170,2025-10,premium,APAC,24.0,0,0
171,2026-01,basic,NA,20.7,0,0
172,2026-05,premium,NA,70.2,1,1
173,2025-08,basic,NA,39.2,0,0
174,2025-12,basic,NA,25.3,0,0
175,2025-10,basic,APAC,30.4,0,0
176,2025-08,basic,NA,71.6,1,0
177,2026-04,basic,EU,10.6,0,0
178,2025-11,basic,NA,76.5,1,1
179,2026-01,basic,NA,74.1,1,0
180,2026-02,basic,NA,39.3,0,0
181,2025-09,basic,APAC,26.6,0,0
182,2026-05,plus,EU,18.4,0,0
183,2026-05,plus,NA,83.7,1,1
184,2026-05,plus,NA,22.8,0,0
185,2025-10,plus,EU,17.8,0,0
186,2025-12,basic,NA,48.2,1,0
187,2025-10,basic,NA,81.9,1,1
188,2026-02,plus,NA,75.2,0,1
189,2025-10,basic,NA,23.6,0,1
190,2026-06,plus,APAC,36.1,1,1
191,2025-09,basic,NA,10.9,0,0
192,2025-08,basic,NA,19.4,0,0
193,2025-12,basic,EU,52.0,0,1
194,2026-05,plus,NA,47.7,1,0
195,2025-07,premium,EU,8.8,0,1
196,2026-05,plus,EU,47.4,1,0
197,2026-04,plus,NA,22.3,0,0
198,2026-05,plus,EU,21.7,0,0
199,2026-01,premium,NA,42.6,1,0
200,2026-06,plus,APAC,33.6,0,0
201,2025-11,basic,EU,81.8,1,1
202,2025-08,basic,NA,44.6,1,1
203,2025-07,premium,NA,23.4,1,0
204,2026-01,plus,EU,65.2,0,0
205,2025-07,basic,NA,40.4,0,1
206,2025-08,plus,EU,58.2,1,0
207,2026-06,basic,APAC,31.9,0,0
208,2025-10,plus,NA,54.9,0,1
209,2025-09,basic,NA,10.8,0,0
210,2026-04,premium,NA,56.4,0,0
211,2025-10,plus,NA,32.7,0,0
212,2026-05,basic,NA,18.0,0,0
213,2025-10,premium,APAC,47.9,0,1
214,2025-12,basic,NA,15.0,0,0
215,2025-07,plus,NA,35.3,0,0
216,2026-03,basic,NA,53.7,0,0
217,2026-05,basic,EU,65.9,1,1
218,2025-09,plus,EU,53.9,1,1
219,2026-02,plus,EU,25.5,0,0
220,2025-12,premium,EU,37.5,0,0
221,2026-05,plus,APAC,10.6,1,0
222,2025-07,basic,APAC,37.9,0,0
223,2026-06,premium,NA,39.3,0,0
224,2026-04,premium,EU,75.0,1,1
225,2026-01,premium,EU,40.4,0,0
226,2025-10,premium,NA,24.8,0,0
227,2025-10,plus,EU,52.2,1,1
228,2025-07,plus,EU,34.9,0,0
229,2025-07,plus,NA,57.3,1,1
230,2025-11,basic,NA,38.5,1,0
231,2026-02,plus,EU,46.5,0,1
232,2025-11,basic,NA,35.5,1,0
233,2025-07,basic,EU,42.7,1,0
234,2026-03,basic,NA,38.8,0,0
235,2025-08,basic,APAC,57.0,1,0
236,2025-11,plus,EU,14.0,0,0
237,2026-06,basic,NA,39.5,0,0
238,2025-10,basic,APAC,43.0,0,0
