session_id,device,traffic_source,variant,converted
1,desktop,referral,old,0
2,desktop,email,old,0
3,mobile,paid,new,0
4,desktop,email,old,0
5,mobile,referral,new,0
6,desktop,referral,new,1
7,mobile,email,new,1
8,desktop,referral,old,0
9,desktop,email,old,0
10,desktop,organic,old,0
11,desktop,paid,old,0
12,desktop,email,new,1
13,mobile,organic,new,0
14,desktop,email,old,0
15,desktop,referral,new,1
16,desktop,email,old,0
17,mobile,paid,new,1
18,mobile,paid,new,0
19,mobile,referral,new,0
20,mobile,referral,new,0
21,mobile,referral,new,0
22,desktop,paid,old,1
23,desktop,referral,old,0
24,mobile,organic,new,0
25,desktop,email,old,1
26,mobile,organic,new,0
27,mobile,referral,new,0
28,desktop,paid,old,0
29,mobile,paid,new,0
30,desktop,paid,old,0
31,desktop,referral,old,0
32,desktop,referral,new,0
33,desktop,organic,old,0
34,mobile,email,new,0
35,desktop,email,old,0
36,mobile,paid,new,0
37,desktop,email,new,0
38,mobile,email,new,0
39,mobile,paid,new,0
40,mobile,email,new,0
41,mobile,email,new,0
42,desktop,organic,new,0
43,mobile,referral,old,0
44,desktop,paid,old,0
45,desktop,referral,old,1
46,mobile,paid,new,1
47,mobile,referral,new,0
48,desktop,paid,old,1
49,mobile,paid,new,0
50,desktop,organic,old,1
51,desktop,paid,new,0
52,desktop,referral,new,0
53,mobile,paid,new,0
54,desktop,referral,old,0
55,mobile,paid,new,0
56,desktop,email,new,1
57,mobile,referral,new,1
58,mobile,organic,new,0
59,mobile,referral,new,0
60,mobile,referral,old,0
61,mobile,organic,new,0
62,desktop,paid,old,0
63,mobile,paid,new,0
64,desktop,referral,old,0
65,mobile,paid,old,1
66,mobile,organic,old,0
67,mobile,email,new,0
68,mobile,email,new,0
69,mobile,referral,old,1
70,mobile,organic,old,0
71,desktop,referral,old,0
72,mobile,paid,old,0
73,desktop,referral,new,1
74,mobile,email,new,0
75,desktop,paid,old,0
76,desktop,organic,old,0
77,mobile,email,new,1
78,mobile,paid,new,0
79,mobile,email,new,0
80,desktop,email,old,1
81,mobile,organic,new,0
82,desktop,organic,old,0
83,desktop,email,old,1
84,desktop,referral,old,1
85,desktop,organic,old,0
86,mobile,paid,old,0
87,desktop,paid,new,0
88,desktop,paid,old,1
89,desktop,paid,old,0
90,mobile,email,new,0
91,mobile,paid,new,0
92,mobile,paid,new,1
93,mobile,organic,new,0
94,desktop,referral,old,1
95,mobile,referral,new,0
96,desktop,paid,old,0
97,desktop,email,old,0
98,desktop,referral,old,0
99,desktop,referral,old,0
100,mobile,organic,new,0
101,desktop,referral,old,1
102,desktop,organic,old,1
103,mobile,organic,new,0
104,mobile,organic,new,0
105,mobile,paid,new,0
106,desktop,referral,old,0
107,desktop,email,old,0
108,desktop,referral,old,1
109,desktop,email,old,0
110,mobile,referral,new,1
111,mobile,email,old,0
112,desktop,referral,new,0
113,desktop,paid,old,0
114,desktop,referral,old,1
115,desktop,email,new,0
116,desktop,referral,old,0
117,desktop,email,old,0
118,desktop,email,old,1
119,desktop,referral,new,0
120,mobile,paid,old,0
121,desktop,referral,old,0
122,mobile,referral,old,0
123,mobile,paid,old,0
124,mobile,paid,new,0
125,desktop,paid,old,0
126,desktop,email,old,0
127,desktop,paid,old,0
128,mobile,email,old,0
129,mobile,organic,new,0
130,mobile,paid,new,0
131,desktop,email,new,0
132,desktop,organic,old,0
133,desktop,paid,new,0
134,desktop,referral,old,0
135,desktop,email,old,0
