impression_id,arm,clicked,purchased
1,ctr_bandit,0,0
2,ctr_bandit,0,0
3,legacy_rule,0,0
4,legacy_rule,1,0
5,ctr_bandit,0,0
6,legacy_rule,0,0
7,legacy_rule,0,0
8,ctr_bandit,0,0
9,ctr_bandit,1,0
10,legacy_rule,0,0
11,ctr_bandit,0,0
12,ctr_bandit,1,0
13,ctr_bandit,0,0
14,ctr_bandit,0,0
15,ctr_bandit,1,0
16,legacy_rule,0,0
17,legacy_rule,0,0
18,ctr_bandit,0,0
19,ctr_bandit,1,0
20,legacy_rule,0,0
21,ctr_bandit,0,0
22,legacy_rule,1,0
23,ctr_bandit,0,0
24,legacy_rule,0,0
25,ctr_bandit,0,0
26,ctr_bandit,0,0
27,ctr_bandit,0,0
28,ctr_bandit,0,0
29,ctr_bandit,0,0
30,ctr_bandit,0,0
31,ctr_bandit,1,1
32,legacy_rule,0,0
33,legacy_rule,1,0
34,ctr_bandit,0,0
35,ctr_bandit,1,0
36,ctr_bandit,0,0
37,ctr_bandit,0,0
38,legacy_rule,0,0
39,ctr_bandit,0,0
40,ctr_bandit,0,0
41,ctr_bandit,0,0
42,ctr_bandit,1,0
43,legacy_rule,0,0
44,ctr_bandit,0,0
45,legacy_rule,0,0
46,legacy_rule,0,0
47,legacy_rule,0,0
48,ctr_bandit,1,1
49,legacy_rule,0,0
50,legacy_rule,0,0
51,ctr_bandit,0,0
52,legacy_rule,0,0
53,ctr_bandit,0,0
54,ctr_bandit,1,0
55,ctr_bandit,0,0
56,ctr_bandit,0,0
57,legacy_rule,0,0
58,legacy_rule,0,0
59,legacy_rule,0,0
60,ctr_bandit,1,0
61,legacy_rule,1,0
62,legacy_rule,0,0
63,legacy_rule,0,0
64,ctr_bandit,1,0
65,ctr_bandit,0,0
66,legacy_rule,1,0
67,legacy_rule,0,0
68,ctr_bandit,1,0
69,ctr_bandit,0,0
70,legacy_rule,1,0
71,ctr_bandit,1,0
72,legacy_rule,0,0
73,legacy_rule,0,0
74,ctr_bandit,1,1
75,ctr_bandit,0,0
76,legacy_rule,1,0
77,legacy_rule,0,0
78,legacy_rule,0,0
79,legacy_rule,0,0
80,ctr_bandit,1,0
81,ctr_bandit,1,0
82,ctr_bandit,0,0
83,legacy_rule,0,0
84,legacy_rule,0,0
85,ctr_bandit,1,0
86,legacy_rule,1,1
87,ctr_bandit,1,0
88,ctr_bandit,1,1
89,ctr_bandit,0,0
90,ctr_bandit,0,0
91,legacy_rule,1,1
92,legacy_rule,0,0
93,legacy_rule,0,0
94,legacy_rule,1,0
95,legacy_rule,0,0
96,ctr_bandit,1,0
97,legacy_rule,0,0
98,ctr_bandit,0,0
99,ctr_bandit,0,0
100,legacy_rule,1,0
101,legacy_rule,0,0
102,legacy_rule,1,1
103,ctr_bandit,1,0
104,legacy_rule,0,0
105,ctr_bandit,1,0
106,ctr_bandit,1,0
107,ctr_bandit,1,0
108,ctr_bandit,0,0
109,legacy_rule,0,0
110,legacy_rule,1,0
111,legacy_rule,0,0
112,ctr_bandit,0,0
113,ctr_bandit,1,1
114,legacy_rule,1,0
115,ctr_bandit,0,0
116,ctr_bandit,0,0
117,legacy_rule,0,0
118,legacy_rule,1,0
119,legacy_rule,0,0
120,ctr_bandit,0,0
121,ctr_bandit,1,0
122,legacy_rule,0,0
123,ctr_bandit,0,0
124,ctr_bandit,0,0
125,legacy_rule,1,0
126,ctr_bandit,0,0
127,ctr_bandit,1,0
128,ctr_bandit,1,0
129,ctr_bandit,1,0
130,ctr_bandit,0,0
131,legacy_rule,0,0
132,legacy_rule,0,0
133,legacy_rule,1,0
134,ctr_bandit,0,0
135,ctr_bandit,0,0
136,ctr_bandit,1,0
137,ctr_bandit,1,0
138,ctr_bandit,0,0
139,ctr_bandit,1,0
140,ctr_bandit,1,0
141,ctr_bandit,0,0
142,ctr_bandit,1,0
143,legacy_rule,0,0
144,ctr_bandit,0,0
145,ctr_bandit,0,0
146,ctr_bandit,0,0
147,ctr_bandit,0,0
148,legacy_rule,1,0
149,legacy_rule,0,0
150,ctr_bandit,0,0
151,ctr_bandit,0,0
152,ctr_bandit,1,0
153,legacy_rule,0,0
154,ctr_bandit,0,0
155,legacy_rule,0,0
156,ctr_bandit,1,0
157,ctr_bandit,1,0
158,ctr_bandit,1,0
159,ctr_bandit,0,0
160,ctr_bandit,1,0
161,ctr_bandit,0,0
162,ctr_bandit,0,0
163,legacy_rule,0,0
164,legacy_rule,0,0
165,legacy_rule,0,0
166,legacy_rule,0,0
167,legacy_rule,0,0
168,ctr_bandit,1,0
169,legacy_rule,0,0
170,legacy_rule,0,0
171,ctr_bandit,0,0
172,legacy_rule,1,0
173,legacy_rule,1,0
174,legacy_rule,0,0
175,legacy_rule,0,0
176,ctr_bandit,0,0
177,legacy_rule,0,0
178,legacy_rule,1,0
179,legacy_rule,0,0
180,legacy_rule,0,0
181,legacy_rule,0,0
182,legacy_rule,0,0
183,legacy_rule,0,0
184,legacy_rule,0,0
185,legacy_rule,0,0
186,ctr_bandit,0,0
187,legacy_rule,0,0
188,ctr_bandit,0,0
189,ctr_bandit,0,0
190,legacy_rule,0,0
191,legacy_rule,0,0
192,ctr_bandit,1,0
193,legacy_rule,0,0
194,ctr_bandit,0,0
195,ctr_bandit,0,0
196,legacy_rule,0,0
197,legacy_rule,1,0
198,legacy_rule,0,0
199,legacy_rule,0,0
200,legacy_rule,0,0
201,ctr_bandit,1,0
202,legacy_rule,0,0
203,ctr_bandit,0,0
204,legacy_rule,0,0
205,legacy_rule,0,0
206,legacy_rule,0,0
207,legacy_rule,0,0
208,legacy_rule,1,0
209,legacy_rule,0,0
210,ctr_bandit,0,0
211,ctr_bandit,0,0
212,ctr_bandit,0,0
213,legacy_rule,0,0
214,ctr_bandit,1,0
215,ctr_bandit,0,0
216,ctr_bandit,0,0
217,ctr_bandit,1,0
218,legacy_rule,0,0
219,legacy_rule,0,0
220,ctr_bandit,0,0
221,ctr_bandit,1,0
222,legacy_rule,0,0
223,legacy_rule,0,0
224,ctr_bandit,0,0
225,ctr_bandit,0,0
226,legacy_rule,0,0
227,legacy_rule,0,0
228,ctr_bandit,0,0
229,legacy_rule,0,0
230,legacy_rule,0,0
231,ctr_bandit,0,0
232,ctr_bandit,0,0
233,ctr_bandit,0,0
234,legacy_rule,1,0
235,legacy_rule,0,0
236,ctr_bandit,0,0
237,ctr_bandit,0,0
238,legacy_rule,1,0
239,legacy_rule,0,0
240,ctr_bandit,0,0
241,ctr_bandit,0,0
242,legacy_rule,0,0
243,ctr_bandit,0,0
244,legacy_rule,0,0
245,ctr_bandit,0,0
246,legacy_rule,0,0
247,ctr_bandit,0,0
248,legacy_rule,0,0
249,legacy_rule,0,0
250,legacy_rule,0,0
251,ctr_bandit,0,0
252,ctr_bandit,1,0
253,legacy_rule,0,0
254,legacy_rule,0,0
255,legacy_rule,1,0
256,legacy_rule,0,0
257,ctr_bandit,1,0
258,legacy_rule,0,0
259,legacy_rule,1,0
260,legacy_rule,0,0
261,legacy_rule,0,0
262,legacy_rule,0,0
263,legacy_rule,1,0
264,legacy_rule,0,0
265,legacy_rule,1,0
266,legacy_rule,0,0
267,legacy_rule,1,0
268,legacy_rule,0,0
269,ctr_bandit,0,0
270,ctr_bandit,0,0
271,legacy_rule,0,0
272,ctr_bandit,1,0
273,legacy_rule,0,0
274,legacy_rule,0,0
275,ctr_bandit,1,0
276,legacy_rule,0,0
277,legacy_rule,0,0
278,legacy_rule,0,0
279,ctr_bandit,0,0
280,ctr_bandit,1,0
281,legacy_rule,0,0
282,ctr_bandit,1,0
283,ctr_bandit,0,0
284,legacy_rule,0,0
285,ctr_bandit,0,0
286,ctr_bandit,0,0
287,ctr_bandit,0,0
288,ctr_bandit,1,0
289,ctr_bandit,0,0
290,ctr_bandit,0,0
291,legacy_rule,1,0
292,legacy_rule,1,0
293,legacy_rule,0,0
294,ctr_bandit,0,0
295,legacy_rule,1,0
296,legacy_rule,0,0
297,ctr_bandit,0,0
298,ctr_bandit,0,0
299,ctr_bandit,0,0
300,ctr_bandit,0,0
301,ctr_bandit,0,0
302,legacy_rule,0,0
303,ctr_bandit,1,0
304,legacy_rule,0,0
305,legacy_rule,0,0
306,legacy_rule,0,0
307,legacy_rule,1,0
308,legacy_rule,0,0
309,legacy_rule,0,0
310,legacy_rule,0,0
311,legacy_rule,0,0
312,ctr_bandit,1,0
313,legacy_rule,0,0
314,legacy_rule,0,0
315,ctr_bandit,0,0
316,legacy_rule,0,0
317,ctr_bandit,0,0
318,ctr_bandit,0,0
319,ctr_bandit,1,0
320,ctr_bandit,1,0
321,ctr_bandit,0,0
322,ctr_bandit,0,0
323,legacy_rule,0,0
324,ctr_bandit,0,0
325,ctr_bandit,1,0
326,ctr_bandit,0,0
327,ctr_bandit,1,0
328,ctr_bandit,0,0
329,legacy_rule,0,0
330,ctr_bandit,0,0
331,legacy_rule,0,0
332,legacy_rule,0,0
333,legacy_rule,0,0
334,legacy_rule,1,1
335,ctr_bandit,0,0
336,ctr_bandit,0,0
337,ctr_bandit,0,0
338,ctr_bandit,0,0
339,legacy_rule,1,0
340,ctr_bandit,0,0
341,ctr_bandit,1,0
342,ctr_bandit,0,0
343,legacy_rule,0,0
344,ctr_bandit,0,0
345,ctr_bandit,0,0
346,legacy_rule,0,0
347,ctr_bandit,0,0
348,legacy_rule,0,0
349,legacy_rule,0,0
350,legacy_rule,0,0
351,ctr_bandit,0,0
352,ctr_bandit,0,0
353,ctr_bandit,1,0
354,legacy_rule,1,0
355,legacy_rule,1,0
356,ctr_bandit,1,0
357,legacy_rule,0,0
358,legacy_rule,0,0
359,ctr_bandit,1,0
360,legacy_rule,0,0
361,ctr_bandit,0,0
362,ctr_bandit,1,0
363,ctr_bandit,0,0
364,legacy_rule,0,0
365,legacy_rule,0,0
366,legacy_rule,0,0
367,legacy_rule,0,0
368,legacy_rule,0,0
369,legacy_rule,0,0
370,legacy_rule,0,0
371,ctr_bandit,0,0
372,ctr_bandit,1,1
373,legacy_rule,0,0
374,ctr_bandit,0,0
375,legacy_rule,1,1
376,legacy_rule,0,0
377,legacy_rule,1,0
378,ctr_bandit,0,0
379,legacy_rule,0,0
380,legacy_rule,0,0
381,legacy_rule,1,0
382,legacy_rule,1,0
383,legacy_rule,1,0
384,ctr_bandit,0,0
385,ctr_bandit,1,0
386,ctr_bandit,0,0
387,legacy_rule,0,0
388,legacy_rule,0,0
389,ctr_bandit,0,0
390,legacy_rule,0,0
391,legacy_rule,0,0
392,ctr_bandit,1,0
393,legacy_rule,0,0
394,ctr_bandit,1,0
395,legacy_rule,1,0
396,ctr_bandit,0,0
397,ctr_bandit,0,0
398,ctr_bandit,0,0
399,legacy_rule,1,0
400,ctr_bandit,0,0
401,legacy_rule,1,0
402,ctr_bandit,1,0
403,legacy_rule,1,0
404,ctr_bandit,1,0
405,legacy_rule,0,0
406,legacy_rule,0,0
407,legacy_rule,0,0
408,ctr_bandit,1,0
409,ctr_bandit,0,0
410,legacy_rule,0,0
411,legacy_rule,0,0
412,legacy_rule,1,0
413,legacy_rule,0,0
414,ctr_bandit,1,0
415,ctr_bandit,1,0
416,legacy_rule,0,0
417,legacy_rule,0,0
418,ctr_bandit,0,0
419,legacy_rule,0,0
420,legacy_rule,1,0
421,ctr_bandit,0,0
422,legacy_rule,0,0
423,ctr_bandit,1,0
424,ctr_bandit,1,0
425,legacy_rule,1,0
426,ctr_bandit,0,0
427,legacy_rule,0,0
428,legacy_rule,0,0
429,ctr_bandit,0,0
430,legacy_rule,0,0
431,ctr_bandit,1,0
432,ctr_bandit,1,0
433,legacy_rule,0,0
434,legacy_rule,0,0
435,legacy_rule,0,0
436,legacy_rule,1,0
437,ctr_bandit,0,0
438,ctr_bandit,0,0
439,legacy_rule,0,0
440,ctr_bandit,1,0
441,ctr_bandit,1,0
442,ctr_bandit,1,0
443,ctr_bandit,0,0
444,legacy_rule,0,0
445,ctr_bandit,1,0
446,ctr_bandit,0,0
447,legacy_rule,0,0
448,legacy_rule,0,0
449,ctr_bandit,0,0
450,legacy_rule,0,0
451,legacy_rule,1,0
452,ctr_bandit,1,0
453,legacy_rule,0,0
454,ctr_bandit,0,0
455,ctr_bandit,0,0
456,legacy_rule,0,0
457,ctr_bandit,0,0
458,legacy_rule,0,0
459,legacy_rule,0,0
460,ctr_bandit,1,0
461,legacy_rule,0,0
462,ctr_bandit,1,0
463,ctr_bandit,1,0
464,legacy_rule,0,0
465,legacy_rule,0,0
466,ctr_bandit,0,0
467,ctr_bandit,1,0
468,legacy_rule,0,0
469,legacy_rule,0,0
470,legacy_rule,0,0
471,ctr_bandit,0,0
472,legacy_rule,0,0
473,ctr_bandit,1,0
474,legacy_rule,0,0
475,ctr_bandit,0,0
476,ctr_bandit,0,0
477,ctr_bandit,0,0
478,ctr_bandit,0,0
479,ctr_bandit,0,0
480,ctr_bandit,1,0
481,ctr_bandit,0,0
482,ctr_bandit,0,0
483,legacy_rule,0,0
484,ctr_bandit,0,0
485,legacy_rule,0,0
486,legacy_rule,1,0
487,legacy_rule,0,0
488,ctr_bandit,0,0
489,ctr_bandit,0,0
490,legacy_rule,0,0
491,legacy_rule,0,0
492,legacy_rule,0,0
493,ctr_bandit,0,0
494,legacy_rule,0,0
495,ctr_bandit,0,0
496,ctr_bandit,0,0
497,legacy_rule,0,0
498,ctr_bandit,0,0
499,legacy_rule,0,0
500,ctr_bandit,0,0
501,ctr_bandit,0,0
502,ctr_bandit,1,1
503,ctr_bandit,0,0
504,ctr_bandit,1,0
505,legacy_rule,0,0
506,ctr_bandit,0,0
507,ctr_bandit,1,1
508,ctr_bandit,0,0
509,ctr_bandit,0,0
510,legacy_rule,0,0
511,ctr_bandit,0,0
512,ctr_bandit,1,0
513,ctr_bandit,1,0
514,ctr_bandit,1,0
515,legacy_rule,0,0
516,ctr_bandit,0,0
517,ctr_bandit,0,0
518,legacy_rule,1,0
519,ctr_bandit,0,0
520,legacy_rule,0,0
521,legacy_rule,0,0
522,legacy_rule,0,0
523,legacy_rule,0,0
524,ctr_bandit,0,0
525,legacy_rule,0,0
526,ctr_bandit,0,0
527,ctr_bandit,1,0
528,ctr_bandit,0,0
529,legacy_rule,1,0
530,legacy_rule,1,0
531,ctr_bandit,0,0
532,ctr_bandit,0,0
533,ctr_bandit,0,0
534,ctr_bandit,0,0
535,legacy_rule,0,0
536,legacy_rule,0,0
537,legacy_rule,0,0
538,legacy_rule,0,0
539,legacy_rule,0,0
540,ctr_bandit,0,0
541,ctr_bandit,1,0
542,ctr_bandit,0,0
543,ctr_bandit,0,0
544,legacy_rule,0,0
545,ctr_bandit,1,0
546,legacy_rule,0,0
547,legacy_rule,0,0
548,ctr_bandit,1,1
549,legacy_rule,1,0
550,legacy_rule,0,0
551,ctr_bandit,0,0
552,legacy_rule,0,0
553,legacy_rule,0,0
554,legacy_rule,0,0
555,legacy_rule,0,0
556,legacy_rule,0,0
557,legacy_rule,1,0
558,ctr_bandit,1,0
559,ctr_bandit,0,0
560,ctr_bandit,1,0
561,legacy_rule,0,0
562,legacy_rule,0,0
563,ctr_bandit,0,0
564,ctr_bandit,0,0
565,legacy_rule,1,0
566,legacy_rule,0,0
567,legacy_rule,0,0
568,ctr_bandit,0,0
569,ctr_bandit,1,0
570,legacy_rule,0,0
571,ctr_bandit,0,0
572,legacy_rule,0,0
573,ctr_bandit,1,0
574,ctr_bandit,0,0
575,ctr_bandit,1,0
576,ctr_bandit,1,0
577,legacy_rule,0,0
578,ctr_bandit,0,0
579,legacy_rule,0,0
580,ctr_bandit,0,0
581,legacy_rule,0,0
582,ctr_bandit,1,1
583,legacy_rule,1,0
584,ctr_bandit,0,0
585,legacy_rule,0,0
586,legacy_rule,1,0
587,ctr_bandit,0,0
588,ctr_bandit,1,0
589,ctr_bandit,1,0
590,ctr_bandit,0,0
591,ctr_bandit,1,0
592,legacy_rule,1,0
593,ctr_bandit,1,0
594,legacy_rule,0,0
595,ctr_bandit,0,0
596,legacy_rule,0,0
597,ctr_bandit,0,0
598,legacy_rule,0,0
599,ctr_bandit,1,0
600,legacy_rule,0,0
601,ctr_bandit,0,0
602,ctr_bandit,0,0
603,ctr_bandit,0,0
604,legacy_rule,0,0
605,legacy_rule,1,0
606,ctr_bandit,0,0
607,legacy_rule,0,0
608,ctr_bandit,0,0
609,ctr_bandit,1,0
610,legacy_rule,0,0
611,legacy_rule,0,0
612,ctr_bandit,0,0
613,legacy_rule,0,0
614,ctr_bandit,0,0
615,legacy_rule,0,0
616,legacy_rule,0,0
617,legacy_rule,1,0
618,legacy_rule,0,0
619,legacy_rule,0,0
620,legacy_rule,0,0
621,legacy_rule,0,0
622,ctr_bandit,0,0
623,legacy_rule,0,0
624,ctr_bandit,0,0
625,ctr_bandit,0,0
626,legacy_rule,1,0
627,ctr_bandit,0,0
628,ctr_bandit,1,0
629,legacy_rule,0,0
630,ctr_bandit,1,0
631,ctr_bandit,1,0
632,legacy_rule,0,0
633,legacy_rule,0,0
634,ctr_bandit,1,0
635,ctr_bandit,1,1
636,legacy_rule,1,0
637,legacy_rule,0,0
638,ctr_bandit,1,0
639,legacy_rule,0,0
640,ctr_bandit,0,0
641,ctr_bandit,0,0
642,legacy_rule,1,0
643,legacy_rule,1,0
644,ctr_bandit,1,1
645,legacy_rule,0,0
646,legacy_rule,0,0
647,legacy_rule,0,0
648,ctr_bandit,0,0
649,legacy_rule,0,0
650,legacy_rule,0,0
651,ctr_bandit,1,0
652,legacy_rule,0,0
653,ctr_bandit,0,0
654,legacy_rule,1,0
655,legacy_rule,0,0
656,legacy_rule,0,0
657,legacy_rule,0,0
658,ctr_bandit,1,0
659,ctr_bandit,1,0
660,ctr_bandit,0,0
661,legacy_rule,0,0
662,legacy_rule,0,0
663,ctr_bandit,1,0
664,legacy_rule,0,0
665,ctr_bandit,1,0
666,legacy_rule,0,0
667,ctr_bandit,0,0
668,ctr_bandit,0,0
669,legacy_rule,0,0
670,legacy_rule,0,0
671,ctr_bandit,1,0
672,ctr_bandit,0,0
673,ctr_bandit,0,0
674,legacy_rule,1,0
675,ctr_bandit,0,0
676,legacy_rule,0,0
677,ctr_bandit,0,0
678,ctr_bandit,0,0
679,legacy_rule,0,0
680,legacy_rule,1,0
681,legacy_rule,0,0
682,legacy_rule,1,1
683,legacy_rule,0,0
684,ctr_bandit,0,0
685,ctr_bandit,0,0
686,legacy_rule,0,0
687,legacy_rule,0,0
688,legacy_rule,0,0
689,legacy_rule,0,0
690,ctr_bandit,1,0
691,ctr_bandit,0,0
692,ctr_bandit,0,0
693,ctr_bandit,0,0
694,ctr_bandit,1,0
695,ctr_bandit,0,0
696,legacy_rule,0,0
697,ctr_bandit,1,0
698,legacy_rule,0,0
699,legacy_rule,0,0
700,legacy_rule,1,0
701,ctr_bandit,1,0
702,legacy_rule,0,0
703,legacy_rule,0,0
704,legacy_rule,0,0
705,ctr_bandit,1,0
706,ctr_bandit,1,0
707,ctr_bandit,0,0
708,ctr_bandit,1,0
709,ctr_bandit,1,0
710,ctr_bandit,1,0
711,legacy_rule,1,0
712,legacy_rule,0,0
713,ctr_bandit,1,1
714,legacy_rule,0,0
715,ctr_bandit,1,0
716,ctr_bandit,1,0
717,ctr_bandit,0,0
718,ctr_bandit,0,0
719,ctr_bandit,0,0
720,legacy_rule,0,0
721,legacy_rule,0,0
722,ctr_bandit,1,0
723,ctr_bandit,1,0
724,legacy_rule,0,0
725,ctr_bandit,0,0
726,legacy_rule,0,0
727,ctr_bandit,0,0
728,ctr_bandit,0,0
729,legacy_rule,1,0
730,ctr_bandit,0,0
731,legacy_rule,0,0
732,ctr_bandit,0,0
733,ctr_bandit,0,0
734,ctr_bandit,0,0
735,legacy_rule,0,0
736,ctr_bandit,1,0
737,legacy_rule,0,0
738,ctr_bandit,0,0
739,legacy_rule,0,0
740,ctr_bandit,0,0
741,legacy_rule,1,0
742,legacy_rule,0,0
743,ctr_bandit,0,0
744,ctr_bandit,1,0
745,legacy_rule,0,0
746,legacy_rule,0,0
747,ctr_bandit,1,0
748,legacy_rule,1,0
749,ctr_bandit,0,0
750,ctr_bandit,1,0
751,legacy_rule,0,0
752,ctr_bandit,1,0
753,legacy_rule,0,0
754,ctr_bandit,0,0
755,ctr_bandit,0,0
756,ctr_bandit,1,0
757,legacy_rule,1,0
758,ctr_bandit,1,0
759,legacy_rule,1,1
760,ctr_bandit,1,0
761,ctr_bandit,1,0
762,legacy_rule,0,0
763,ctr_bandit,0,0
764,legacy_rule,1,1
765,legacy_rule,1,0
766,ctr_bandit,0,0
767,ctr_bandit,0,0
768,legacy_rule,0,0
769,legacy_rule,0,0
770,ctr_bandit,1,0
771,legacy_rule,0,0
772,ctr_bandit,0,0
773,legacy_rule,0,0
774,legacy_rule,0,0
775,ctr_bandit,0,0
776,legacy_rule,0,0
777,ctr_bandit,0,0
778,legacy_rule,0,0
779,legacy_rule,0,0
780,legacy_rule,0,0
781,ctr_bandit,1,0
782,ctr_bandit,0,0
783,legacy_rule,0,0
784,legacy_rule,0,0
785,legacy_rule,1,1
786,legacy_rule,0,0
787,ctr_bandit,1,0
788,legacy_rule,1,0
789,ctr_bandit,0,0
790,ctr_bandit,0,0
791,ctr_bandit,1,0
792,ctr_bandit,0,0
793,ctr_bandit,1,0
794,ctr_bandit,0,0
795,legacy_rule,0,0
796,ctr_bandit,1,0
797,legacy_rule,0,0
798,ctr_bandit,0,0
799,legacy_rule,0,0
800,ctr_bandit,1,0
801,ctr_bandit,0,0
802,ctr_bandit,0,0
803,ctr_bandit,0,0
804,ctr_bandit,1,0
805,ctr_bandit,0,0
806,legacy_rule,0,0
807,ctr_bandit,0,0
808,ctr_bandit,0,0
809,ctr_bandit,1,0
810,ctr_bandit,0,0
811,ctr_bandit,0,0
812,ctr_bandit,1,0
813,ctr_bandit,0,0
814,ctr_bandit,0,0
815,ctr_bandit,1,0
