account_id,plan_tier,api_calls_per_month,seat_count,feature_count,feature_request_count,upgraded_next_quarter,cluster
1,enterprise,65684.0,48.0,17.0,2,1,1
2,free,629.0,2.0,3.0,3,0,2
3,pro,7013.0,9.0,9.0,1,0,0
4,free,844.0,5.0,1.0,1,0,2
5,pro,9764.0,9.0,8.0,1,0,0
6,free,797.0,1.0,4.0,1,0,2
7,free,717.0,1.0,3.0,1,0,2
8,free,755.0,6.0,3.0,1,0,2
9,enterprise,66560.0,47.0,17.0,2,0,1
10,free,452.0,3.0,3.0,1,1,2
11,free,227.0,2.0,3.0,4,0,2
12,enterprise,61129.0,45.0,16.0,0,1,1
13,pro,8675.0,5.0,9.0,2,0,0
14,free,343.0,1.0,2.0,3,0,2
15,free,760.0,1.0,1.0,0,0,2
16,free,560.0,4.0,2.0,0,0,2
17,free,586.0,3.0,1.0,1,0,2
18,free,272.0,3.0,1.0,4,0,2
19,free,637.0,3.0,4.0,4,0,2
20,pro,7321.0,8.0,11.0,4,0,0
21,pro,7098.0,8.0,9.0,1,0,0
22,free,263.0,1.0,4.0,1,0,2
23,pro,6053.0,7.0,9.0,1,0,0
24,free,440.0,7.0,4.0,2,0,2
25,pro,7052.0,7.0,11.0,3,1,0
26,enterprise,50478.0,42.0,20.0,5,0,1
27,free,390.0,4.0,4.0,2,0,2
28,free,447.0,4.0,3.0,5,1,2
29,pro,6916.0,12.0,5.0,1,0,0
30,pro,9391.0,10.0,8.0,4,0,0
31,pro,7175.0,8.0,11.0,3,0,0
32,pro,8449.0,5.0,9.0,3,0,0
33,free,0.0,1.0,4.0,1,0,2
34,free,898.0,3.0,1.0,0,0,2
35,free,449.0,1.0,1.0,1,0,2
36,pro,11569.0,7.0,8.0,1,0,0
37,pro,5139.0,9.0,8.0,1,0,0
38,pro,9070.0,8.0,9.0,1,0,0
39,free,728.0,4.0,1.0,1,0,2
40,pro,7119.0,8.0,10.0,0,0,0
41,free,326.0,1.0,2.0,1,0,2
42,free,569.0,2.0,1.0,2,0,2
43,free,402.0,6.0,4.0,1,0,2
44,free,695.0,2.0,1.0,3,0,2
45,enterprise,62248.0,42.0,18.0,2,0,1
46,free,337.0,3.0,4.0,2,0,2
47,enterprise,82888.0,48.0,16.0,2,0,1
48,pro,7969.0,8.0,10.0,2,0,0
49,free,497.0,6.0,4.0,1,0,2
50,free,237.0,5.0,4.0,0,0,2
51,free,624.0,1.0,3.0,4,0,2
52,pro,8650.0,4.0,12.0,3,0,0
53,free,593.0,7.0,4.0,3,0,2
54,free,360.0,3.0,1.0,5,0,2
55,pro,6888.0,6.0,9.0,1,0,0
56,free,604.0,3.0,3.0,1,0,2
57,pro,7683.0,7.0,9.0,4,1,0
58,free,456.0,5.0,2.0,3,0,2
59,pro,7824.0,11.0,9.0,1,0,0
60,pro,6928.0,10.0,9.0,1,0,0
61,pro,10437.0,12.0,8.0,2,0,0
62,pro,7254.0,6.0,6.0,3,0,0
63,pro,10162.0,6.0,8.0,4,0,0
64,free,986.0,4.0,3.0,1,0,2
65,free,405.0,2.0,4.0,1,0,2
66,pro,5220.0,10.0,11.0,2,1,0
67,pro,7787.0,10.0,10.0,2,0,0
68,free,467.0,3.0,6.0,3,0,2
69,pro,8477.0,9.0,9.0,4,1,0
70,free,254.0,5.0,2.0,0,0,2
71,enterprise,71959.0,48.0,20.0,3,0,1
72,free,574.0,5.0,3.0,1,0,2
73,free,555.0,1.0,3.0,4,0,2
74,pro,6212.0,7.0,10.0,0,0,0
75,free,347.0,1.0,1.0,2,1,2
76,free,218.0,1.0,5.0,1,0,2
77,free,344.0,2.0,4.0,4,0,2
78,pro,8176.0,10.0,7.0,3,0,0
79,pro,8049.0,11.0,8.0,7,1,0
80,free,395.0,3.0,5.0,3,0,2
81,free,396.0,2.0,3.0,6,1,2
82,free,360.0,1.0,3.0,1,0,2
83,pro,6438.0,8.0,7.0,2,0,0
84,pro,9297.0,9.0,8.0,3,0,0
85,free,758.0,5.0,2.0,1,1,2
86,pro,9691.0,11.0,8.0,2,0,0
87,enterprise,71831.0,45.0,18.0,4,0,1
88,free,836.0,1.0,1.0,1,0,2
89,pro,6685.0,2.0,10.0,3,1,0
90,enterprise,65034.0,47.0,18.0,5,1,1
91,free,717.0,1.0,2.0,1,1,2
92,free,137.0,2.0,5.0,1,0,2
93,free,719.0,1.0,2.0,2,0,2
94,free,135.0,1.0,2.0,1,0,2
95,pro,6922.0,10.0,9.0,2,0,0
96,pro,5573.0,13.0,6.0,2,0,0
97,free,728.0,3.0,3.0,4,0,2
98,enterprise,45447.0,47.0,18.0,0,0,1
99,free,561.0,2.0,5.0,1,0,2
100,enterprise,65891.0,45.0,17.0,3,0,1
101,free,371.0,2.0,3.0,4,1,2
102,free,711.0,3.0,2.0,1,0,2
103,free,442.0,1.0,1.0,4,0,2
104,free,529.0,1.0,5.0,5,0,2
105,free,650.0,5.0,2.0,1,0,2
106,enterprise,49780.0,46.0,18.0,3,0,1
107,free,551.0,4.0,4.0,0,0,2
108,free,514.0,2.0,5.0,1,0,2
109,free,643.0,5.0,2.0,6,0,2
110,free,637.0,3.0,3.0,2,0,2
111,free,485.0,1.0,1.0,5,0,2
112,free,257.0,4.0,4.0,1,0,2
113,free,490.0,4.0,3.0,1,0,2
114,pro,7982.0,7.0,8.0,3,0,0
115,free,1079.0,4.0,4.0,2,0,2
116,pro,7114.0,9.0,8.0,4,1,0
117,enterprise,92060.0,46.0,18.0,2,0,1
118,pro,10389.0,5.0,10.0,2,0,0
119,free,111.0,3.0,4.0,2,0,2
120,pro,5883.0,12.0,5.0,4,0,0
121,pro,9729.0,6.0,9.0,1,0,0
122,free,690.0,1.0,3.0,2,0,2
123,free,1201.0,1.0,6.0,2,0,2
124,free,745.0,1.0,2.0,5,0,2
125,free,356.0,1.0,6.0,2,0,2
126,pro,9193.0,8.0,12.0,1,0,0
127,pro,9479.0,12.0,10.0,2,0,0
128,pro,9871.0,10.0,8.0,3,1,0
129,free,0.0,1.0,2.0,2,0,2
130,enterprise,47310.0,44.0,18.0,4,0,1
131,pro,6665.0,9.0,10.0,2,0,0
132,free,147.0,3.0,2.0,2,0,2
133,enterprise,76305.0,46.0,17.0,4,1,1
134,pro,7176.0,8.0,9.0,1,0,0
135,free,628.0,1.0,1.0,4,1,2
136,pro,8622.0,6.0,7.0,4,1,0
137,pro,10513.0,10.0,7.0,3,1,0
138,free,1003.0,1.0,1.0,2,0,2
139,free,603.0,1.0,7.0,0,0,0
140,free,444.0,4.0,3.0,1,0,2
141,enterprise,57162.0,44.0,18.0,2,1,1
142,enterprise,52234.0,44.0,20.0,1,0,1
143,free,448.0,3.0,3.0,2,0,2
144,pro,9714.0,8.0,10.0,2,0,0
145,pro,9363.0,15.0,9.0,2,1,0
146,free,229.0,3.0,3.0,0,0,2
147,free,1004.0,1.0,1.0,4,0,2
148,free,659.0,3.0,5.0,6,0,2
149,enterprise,54174.0,51.0,18.0,4,0,1
150,free,1132.0,1.0,5.0,2,0,2
151,free,866.0,2.0,1.0,1,0,2
152,pro,5867.0,9.0,10.0,3,0,0
153,free,680.0,5.0,4.0,2,0,2
154,free,391.0,5.0,4.0,5,0,2
155,enterprise,62220.0,43.0,17.0,3,0,1
156,pro,9351.0,8.0,9.0,1,0,0
157,free,1215.0,3.0,3.0,4,0,2
158,free,809.0,1.0,4.0,0,0,2
159,pro,6889.0,10.0,9.0,4,1,0
160,free,338.0,6.0,5.0,2,0,2
161,free,111.0,2.0,2.0,5,0,2
162,pro,5943.0,4.0,9.0,4,0,0
163,free,532.0,1.0,2.0,2,0,2
164,pro,5821.0,5.0,9.0,1,0,0
165,enterprise,63285.0,45.0,20.0,3,0,1
166,enterprise,71645.0,47.0,19.0,0,0,1
167,free,274.0,1.0,2.0,3,0,2
168,pro,6244.0,4.0,7.0,1,0,0
169,free,741.0,1.0,5.0,1,0,2
170,free,460.0,1.0,2.0,5,0,2
171,free,903.0,1.0,1.0,1,0,2
172,enterprise,54437.0,46.0,18.0,0,0,1
173,pro,7175.0,11.0,9.0,3,0,0
174,enterprise,47257.0,46.0,18.0,1,0,1
175,free,178.0,1.0,3.0,2,0,2
176,free,717.0,1.0,1.0,1,1,2
177,free,764.0,3.0,3.0,0,0,2
178,free,694.0,7.0,1.0,0,0,2
179,pro,7168.0,12.0,7.0,0,0,0
180,pro,8830.0,11.0,9.0,4,0,0
181,pro,8072.0,6.0,9.0,2,0,0
182,free,0.0,1.0,4.0,1,0,2
183,free,45.0,1.0,4.0,1,0,2
184,free,1067.0,1.0,4.0,2,0,2
185,pro,7438.0,8.0,10.0,0,0,0
186,pro,12017.0,3.0,8.0,3,0,0
187,pro,8669.0,9.0,8.0,3,0,0
188,free,386.0,7.0,5.0,5,0,2
189,pro,8698.0,5.0,8.0,3,0,0
190,pro,6926.0,9.0,11.0,0,0,0
191,pro,9460.0,11.0,7.0,0,0,0
192,free,282.0,1.0,3.0,2,0,2
193,pro,11610.0,8.0,10.0,4,0,0
194,enterprise,42759.0,46.0,14.0,4,0,1
195,enterprise,44103.0,47.0,16.0,2,0,1
196,enterprise,59473.0,42.0,17.0,1,0,1
197,free,390.0,1.0,1.0,3,1,2
198,pro,7968.0,6.0,12.0,1,0,0
199,free,176.0,1.0,3.0,1,0,2
200,free,458.0,1.0,5.0,1,0,2
201,free,855.0,3.0,2.0,2,0,2
202,pro,6965.0,3.0,6.0,0,0,2
203,pro,5055.0,7.0,10.0,2,0,0
204,free,334.0,1.0,2.0,2,0,2
205,pro,10396.0,11.0,7.0,2,0,0
206,free,662.0,1.0,4.0,1,0,2
207,free,543.0,1.0,3.0,1,0,2
208,pro,9527.0,4.0,11.0,0,0,0
209,free,961.0,1.0,2.0,3,0,2
210,free,986.0,2.0,6.0,2,0,2
211,free,398.0,2.0,2.0,2,0,2
212,free,182.0,5.0,2.0,4,1,2
213,pro,5640.0,8.0,8.0,3,0,0
214,enterprise,67930.0,46.0,20.0,3,1,1
215,pro,10374.0,11.0,9.0,0,0,0
216,pro,8404.0,7.0,10.0,5,0,0
217,pro,7487.0,4.0,10.0,1,0,0
218,free,210.0,3.0,4.0,1,0,2
219,pro,8129.0,10.0,6.0,1,0,0
220,free,646.0,1.0,2.0,2,1,2
221,free,400.0,1.0,1.0,4,0,2
222,enterprise,59197.0,51.0,17.0,0,0,1
223,pro,8554.0,9.0,9.0,3,0,0
224,free,938.0,1.0,4.0,5,0,2
225,pro,7758.0,5.0,7.0,0,0,0
226,free,392.0,2.0,5.0,1,0,2
227,pro,7872.0,7.0,10.0,2,0,0
228,free,484.0,3.0,2.0,5,1,2
229,pro,5903.0,12.0,9.0,3,0,0
230,free,269.0,3.0,5.0,4,0,2
231,free,790.0,1.0,2.0,3,1,2
232,free,407.0,1.0,2.0,2,0,2
233,free,585.0,1.0,4.0,2,0,2
234,enterprise,50398.0,44.0,20.0,1,0,1
235,free,780.0,1.0,4.0,5,0,2
236,pro,8238.0,7.0,8.0,2,0,0
237,free,843.0,1.0,1.0,2,0,2
238,pro,6510.0,7.0,10.0,0,0,0
239,pro,7912.0,8.0,5.0,1,0,2
240,enterprise,79249.0,47.0,18.0,3,0,1
241,pro,5451.0,5.0,12.0,3,1,0
242,free,325.0,1.0,5.0,1,0,2
243,free,799.0,6.0,1.0,3,0,2
244,free,782.0,4.0,2.0,1,1,2
245,enterprise,80800.0,44.0,17.0,3,0,1
246,pro,9232.0,7.0,10.0,4,1,0
247,pro,6893.0,7.0,8.0,0,0,0
248,free,691.0,1.0,2.0,1,0,2
249,free,779.0,3.0,4.0,4,1,2
250,free,372.0,1.0,2.0,1,0,2
251,free,572.0,1.0,3.0,0,0,2
252,pro,4825.0,5.0,10.0,3,0,0
253,free,133.0,2.0,3.0,0,0,2
254,free,778.0,1.0,1.0,3,1,2
255,pro,5927.0,7.0,8.0,3,0,0
256,free,420.0,5.0,5.0,4,0,2
257,pro,8978.0,8.0,8.0,3,0,0
258,free,368.0,3.0,1.0,3,0,2
259,free,231.0,1.0,4.0,1,0,2
260,enterprise,62735.0,44.0,18.0,1,0,1
261,pro,6162.0,9.0,10.0,2,0,0
262,pro,8435.0,9.0,10.0,4,0,0
263,free,543.0,2.0,6.0,0,0,2
264,pro,7297.0,9.0,8.0,2,1,0
265,free,327.0,2.0,4.0,4,0,2
266,free,776.0,4.0,1.0,3,0,2
267,enterprise,55477.0,46.0,17.0,4,1,1
268,free,557.0,6.0,3.0,2,0,2
269,free,275.0,3.0,3.0,1,0,2
270,enterprise,57045.0,42.0,15.0,5,0,1
271,pro,8581.0,9.0,9.0,0,0,0
272,enterprise,62532.0,44.0,17.0,2,0,1
273,enterprise,74166.0,44.0,19.0,0,0,1
274,free,55.0,2.0,4.0,1,0,2
275,free,105.0,1.0,6.0,3,0,2
276,pro,8738.0,7.0,9.0,2,0,0
277,pro,6897.0,12.0,11.0,8,1,0
278,free,517.0,1.0,2.0,2,0,2
279,free,516.0,3.0,5.0,3,0,2
280,free,192.0,1.0,5.0,2,0,2
281,free,464.0,7.0,2.0,2,1,2
282,free,1002.0,1.0,6.0,4,0,2
283,free,513.0,3.0,3.0,1,0,2
284,free,509.0,1.0,1.0,4,0,2
285,pro,8434.0,12.0,11.0,2,0,0
286,free,0.0,5.0,2.0,2,1,2
287,free,1101.0,1.0,3.0,5,1,2
288,free,189.0,1.0,1.0,0,0,2
289,enterprise,49651.0,44.0,19.0,1,0,1
290,free,332.0,1.0,5.0,2,0,2
291,pro,7575.0,10.0,10.0,2,0,0
292,free,431.0,2.0,4.0,2,1,2
293,free,286.0,1.0,3.0,1,0,2
294,pro,8740.0,10.0,11.0,1,0,0
295,free,777.0,1.0,2.0,3,0,2
296,enterprise,51237.0,43.0,19.0,3,0,1
297,pro,6611.0,7.0,8.0,1,0,0
298,free,82.0,1.0,4.0,3,1,2
299,pro,8818.0,6.0,11.0,0,0,0
300,free,594.0,1.0,3.0,2,0,2
301,free,126.0,1.0,3.0,2,0,2
302,pro,7638.0,8.0,9.0,3,1,0
303,free,936.0,4.0,1.0,3,0,2
304,free,571.0,1.0,2.0,3,0,2
305,enterprise,51805.0,45.0,17.0,1,0,1
306,free,251.0,3.0,3.0,1,0,2
307,pro,7258.0,6.0,8.0,2,0,0
308,free,225.0,2.0,4.0,2,0,2
309,pro,9867.0,10.0,9.0,1,0,0
310,free,521.0,6.0,3.0,4,0,2
311,free,630.0,2.0,3.0,3,0,2
312,free,1269.0,3.0,2.0,4,1,2
313,free,736.0,1.0,1.0,1,0,2
314,free,734.0,3.0,4.0,1,0,2
315,free,249.0,1.0,3.0,3,0,2
316,free,772.0,1.0,2.0,5,0,2
317,free,0.0,4.0,5.0,1,0,2
318,pro,5129.0,9.0,9.0,3,1,0
319,free,487.0,3.0,4.0,5,1,2
320,free,830.0,4.0,2.0,1,0,2
321,free,886.0,1.0,3.0,0,0,2
322,free,244.0,1.0,6.0,1,0,2
323,free,242.0,4.0,3.0,3,0,2
324,free,680.0,4.0,5.0,2,0,2
325,free,281.0,1.0,4.0,4,0,2
326,free,688.0,1.0,6.0,3,0,2
327,pro,7532.0,9.0,6.0,0,0,0
328,free,802.0,5.0,6.0,1,0,2
329,free,443.0,6.0,4.0,4,1,2
330,free,706.0,1.0,3.0,4,1,2
331,pro,9405.0,5.0,10.0,3,1,0
332,free,331.0,1.0,1.0,3,0,2
333,free,866.0,4.0,3.0,3,0,2
334,free,538.0,5.0,3.0,0,1,2
335,free,222.0,1.0,2.0,0,0,2
336,enterprise,49879.0,42.0,20.0,4,0,1
337,enterprise,52556.0,49.0,19.0,5,0,1
338,pro,7878.0,4.0,8.0,1,0,0
339,free,0.0,5.0,3.0,1,0,2
340,free,251.0,1.0,2.0,2,0,2
341,free,558.0,1.0,3.0,3,0,2
342,free,576.0,1.0,1.0,0,0,2
343,free,515.0,2.0,1.0,1,0,2
344,free,306.0,4.0,1.0,3,0,2
345,pro,8103.0,9.0,10.0,2,0,0
346,free,647.0,4.0,3.0,1,0,2
347,pro,8214.0,6.0,6.0,2,0,0
348,free,327.0,1.0,1.0,1,0,2
