account_id,account_status,session_length_min,actions_per_session,exports_count,onboarding_completion_pct,retained_90d,cluster
1,paid,27.5,14.2,5,66.5,0,0
2,paid,25.2,19.5,10,34.4,0,0
3,expired_trial,3.7,3.0,1,52.3,1,1
4,paid,26.3,18.4,7,75.2,0,0
5,trial,12.4,7.0,1,56.8,0,2
6,trial,10.9,8.8,1,68.5,0,2
7,paid,27.1,17.5,5,100.0,1,0
8,expired_trial,2.3,1.8,0,46.3,0,1
9,trial,8.2,5.4,0,50.9,1,2
10,expired_trial,0.5,1.9,0,43.9,0,1
11,paid,25.3,16.9,5,46.7,1,0
12,paid,26.0,13.1,7,23.9,0,0
13,trial,13.1,7.4,1,71.4,0,2
14,expired_trial,0.0,0.5,0,76.4,1,1
15,paid,24.0,18.2,10,55.5,0,0
16,trial,12.4,4.3,0,92.9,0,2
17,trial,9.1,6.2,3,55.6,1,2
18,paid,24.4,16.6,8,74.2,1,0
19,expired_trial,0.0,1.6,0,49.1,0,1
20,trial,10.2,7.5,1,18.8,0,2
21,trial,7.7,5.7,1,19.4,0,2
22,paid,27.7,16.9,5,75.2,1,0
23,trial,9.2,5.8,1,64.6,0,2
24,paid,25.8,15.0,5,46.9,1,0
25,paid,28.9,17.7,5,21.0,0,0
26,expired_trial,3.3,2.1,0,35.6,0,1
27,trial,9.6,5.4,2,72.2,0,2
28,expired_trial,3.7,3.7,0,49.6,0,1
29,paid,25.8,16.3,8,62.3,0,0
30,expired_trial,1.8,1.8,0,58.9,0,1
31,trial,11.3,6.8,0,42.3,0,2
32,paid,24.9,16.5,7,55.3,0,0
33,trial,12.6,6.5,0,28.1,0,2
34,expired_trial,1.9,1.7,0,28.8,0,1
35,trial,10.2,9.4,0,67.9,0,2
36,trial,8.4,7.6,1,56.8,0,2
37,paid,25.2,17.8,3,69.6,0,0
38,paid,26.6,17.6,4,80.2,0,0
39,trial,12.0,6.2,1,53.3,0,2
40,expired_trial,4.2,2.1,0,44.9,0,1
41,paid,24.1,14.5,3,62.4,0,0
42,trial,13.4,6.1,1,60.8,0,2
43,paid,26.2,14.1,8,41.1,0,0
44,trial,12.3,8.3,1,72.4,0,2
45,expired_trial,3.2,0.8,1,33.9,0,1
46,trial,12.3,7.7,1,46.3,0,2
47,paid,25.9,19.0,6,52.6,0,0
48,paid,25.8,16.2,8,25.9,0,0
49,paid,26.4,15.1,4,82.4,0,0
50,paid,23.2,16.3,6,51.4,0,0
51,paid,25.7,16.8,11,44.1,0,0
52,expired_trial,1.3,2.2,0,49.3,0,1
53,trial,11.4,9.6,1,44.7,0,2
54,expired_trial,0.0,3.0,0,48.0,0,1
55,paid,25.8,15.5,7,65.0,0,0
56,expired_trial,2.9,0.4,0,71.2,1,1
57,trial,13.9,4.2,0,88.6,0,2
58,trial,12.1,5.3,0,47.3,0,2
59,paid,25.7,17.4,4,94.9,1,0
60,paid,27.1,15.7,6,38.5,0,0
61,paid,25.7,14.5,4,67.2,0,0
62,trial,11.8,8.5,0,81.4,0,2
63,paid,26.6,16.2,9,47.7,0,0
64,trial,14.5,5.3,4,52.4,0,2
65,trial,15.8,8.6,3,68.6,0,2
66,paid,25.0,16.3,8,50.1,0,0
67,paid,25.4,20.7,2,66.0,1,0
68,trial,12.5,8.1,0,46.2,0,2
69,expired_trial,3.2,1.9,1,47.1,0,1
70,trial,12.1,7.3,1,67.9,0,2
71,trial,14.3,6.2,0,100.0,0,2
72,trial,10.0,7.8,6,100.0,0,2
73,trial,10.2,5.6,3,83.1,0,2
74,trial,9.4,5.1,1,17.7,0,2
75,trial,10.2,7.0,2,12.2,0,2
76,trial,11.8,8.8,1,39.9,0,2
77,paid,27.1,16.7,9,71.7,0,0
78,paid,29.8,17.2,7,82.9,0,0
79,trial,9.2,6.9,1,49.0,0,2
80,paid,27.6,17.0,9,38.9,0,0
81,expired_trial,1.3,3.3,0,68.0,0,1
82,paid,28.3,14.3,4,45.8,0,0
83,paid,25.9,12.0,6,39.5,0,0
84,paid,24.5,21.4,11,54.6,1,0
85,paid,29.3,17.9,3,60.9,0,0
86,expired_trial,3.5,1.8,0,81.3,1,1
87,trial,11.2,6.8,3,84.7,0,2
88,expired_trial,5.2,2.0,0,60.5,0,1
89,paid,27.2,16.5,7,24.5,0,0
90,paid,26.4,18.7,10,98.6,0,0
91,paid,26.6,16.8,7,37.6,0,0
92,paid,24.1,17.8,7,29.7,0,0
93,paid,24.6,17.4,10,77.5,0,0
94,trial,10.9,7.0,1,77.8,1,2
95,trial,15.0,7.4,0,24.1,0,2
96,paid,30.2,16.0,6,36.4,0,0
97,paid,27.9,18.1,2,71.9,0,0
98,paid,24.4,14.8,5,55.7,0,0
99,paid,20.9,17.0,9,55.8,0,0
100,trial,11.7,8.6,1,62.1,0,2
101,paid,22.5,16.2,5,46.4,0,0
102,expired_trial,2.1,1.7,0,57.6,0,1
103,trial,11.2,7.4,1,34.4,1,2
104,trial,10.7,4.3,2,75.7,1,2
105,paid,25.3,18.2,7,49.8,0,0
106,expired_trial,0.2,2.6,0,48.9,0,1
107,paid,27.6,16.8,7,86.2,0,0
108,expired_trial,2.0,1.5,0,60.8,0,1
109,paid,28.0,15.6,4,59.3,0,0
110,paid,26.0,15.3,6,81.8,1,0
111,paid,24.2,14.8,6,10.5,0,0
112,paid,27.3,18.4,3,17.9,0,0
113,paid,27.2,15.1,6,91.1,0,0
114,paid,27.5,17.2,8,62.3,0,0
115,trial,7.6,7.6,2,51.8,0,2
116,expired_trial,3.3,3.0,0,71.8,0,1
117,trial,13.6,5.6,3,72.9,0,2
118,trial,12.4,6.7,1,35.8,0,2
119,trial,11.0,8.0,2,20.9,0,2
120,expired_trial,2.4,0.0,0,58.5,0,1
121,trial,10.1,6.9,1,35.9,0,2
122,trial,11.2,5.7,2,75.7,0,2
123,trial,10.1,5.5,2,92.6,0,2
124,paid,28.0,15.4,3,23.5,0,0
125,paid,25.6,18.5,10,32.8,0,0
126,paid,25.9,14.7,6,64.8,0,0
127,expired_trial,0.8,3.1,0,71.7,0,1
128,expired_trial,0.9,1.5,0,55.1,1,1
129,trial,11.0,5.1,2,53.9,0,2
130,trial,11.4,8.9,0,42.2,1,2
131,trial,11.1,9.0,0,58.8,0,2
132,paid,25.5,16.8,3,71.9,0,0
133,trial,13.8,6.0,0,9.2,0,2
134,trial,9.4,6.1,0,26.8,0,2
135,paid,26.6,16.6,4,46.9,0,0
136,paid,26.5,20.1,8,48.6,0,0
137,trial,10.6,6.8,3,54.3,1,2
138,paid,25.9,15.0,7,72.7,0,0
139,trial,11.3,5.3,0,40.3,1,2
140,paid,29.3,17.6,6,76.5,0,0
141,expired_trial,3.1,0.6,0,97.1,0,1
142,paid,21.8,15.7,3,47.6,0,0
143,trial,9.9,9.3,1,47.4,0,2
144,paid,26.9,18.1,2,56.1,1,0
145,trial,14.0,4.1,1,56.5,0,2
146,paid,23.5,16.4,4,19.2,0,0
147,expired_trial,4.2,2.8,0,48.4,0,1
148,expired_trial,1.2,1.7,0,60.9,1,1
149,paid,22.3,17.5,7,95.8,1,0
150,paid,26.2,19.5,10,56.1,0,0
151,trial,14.1,5.3,2,31.0,0,2
152,paid,26.5,19.8,10,58.0,0,0
153,trial,12.3,4.6,1,59.1,1,2
154,paid,24.0,17.9,12,54.8,1,0
155,paid,26.2,15.6,5,81.7,1,0
156,paid,24.8,17.3,8,44.6,0,0
157,trial,11.5,10.9,1,93.1,0,2
158,paid,28.4,13.9,11,73.0,0,0
159,trial,10.3,7.8,2,45.6,0,2
160,trial,8.7,6.4,2,68.4,0,2
161,trial,7.5,2.9,1,75.4,0,1
162,expired_trial,3.8,2.1,0,41.5,0,1
163,paid,22.8,17.5,8,80.2,0,0
164,trial,11.6,7.8,1,35.7,0,2
165,trial,12.1,9.0,1,11.4,0,2
166,paid,25.8,14.9,11,48.2,0,0
167,trial,14.1,8.5,1,38.6,0,2
168,paid,26.7,16.6,5,76.5,1,0
169,trial,9.9,10.1,0,12.9,0,2
170,paid,25.5,16.7,7,70.7,1,0
171,paid,26.5,16.3,8,88.4,0,0
172,trial,8.5,8.0,2,33.9,0,2
173,trial,12.6,6.0,1,50.1,0,2
174,expired_trial,1.4,0.0,0,81.8,0,1
175,expired_trial,5.0,2.7,0,75.7,0,1
176,paid,24.5,16.8,8,79.3,0,0
177,trial,14.3,6.1,0,22.0,0,2
178,trial,13.3,9.1,2,95.4,1,2
179,expired_trial,5.2,0.7,0,71.6,0,1
180,trial,10.7,5.0,1,65.7,0,2
181,trial,11.5,6.7,0,52.3,0,2
182,paid,24.7,15.2,5,53.6,0,0
183,paid,23.3,17.0,8,25.3,0,0
184,paid,27.9,16.2,10,56.2,0,0
185,trial,10.8,9.8,0,68.5,0,2
186,paid,28.4,16.3,4,53.9,1,0
187,trial,9.2,4.2,2,14.2,0,2
188,paid,27.4,13.5,3,19.8,0,0
189,expired_trial,0.0,2.8,0,94.8,1,1
190,trial,13.0,7.9,0,91.4,1,2
191,trial,9.7,10.8,2,47.2,0,2
192,trial,14.4,5.5,1,90.7,1,2
193,trial,11.6,6.6,1,68.0,0,2
194,paid,26.5,18.9,6,0.0,0,0
195,paid,23.5,17.3,13,43.4,0,0
196,trial,11.2,9.2,2,74.9,0,2
197,trial,11.4,9.2,1,75.6,0,2
198,trial,7.5,5.9,2,97.7,0,2
199,paid,24.6,13.8,5,55.5,0,0
200,trial,12.0,6.1,1,52.0,1,2
201,trial,10.9,6.7,3,50.7,0,2
202,expired_trial,2.6,2.3,0,93.6,0,1
203,trial,7.4,8.1,1,72.0,0,2
204,paid,26.3,17.5,4,73.5,0,0
205,trial,11.2,7.5,0,47.2,0,2
206,paid,24.7,16.5,6,69.4,0,0
207,trial,9.3,6.3,3,67.3,0,2
208,paid,26.6,17.7,8,50.3,0,0
209,expired_trial,1.1,0.4,0,21.1,0,1
210,trial,14.0,5.9,1,51.9,1,2
211,trial,9.8,5.0,2,61.5,1,2
212,paid,24.1,15.4,7,65.7,0,0
213,paid,28.7,14.8,7,55.2,1,0
214,trial,10.7,7.8,4,34.0,0,2
215,trial,11.0,6.3,2,80.0,0,2
216,expired_trial,2.5,1.8,0,68.7,1,1
217,trial,12.3,7.3,2,69.8,1,2
218,trial,13.8,8.6,2,49.0,0,2
219,trial,8.3,7.3,1,41.7,1,2
220,paid,24.3,16.7,13,35.6,1,0
221,expired_trial,1.4,2.2,1,30.2,0,1
222,paid,26.2,16.6,7,64.9,0,0
223,paid,24.9,17.2,5,52.4,0,0
224,trial,11.2,5.1,2,52.2,0,2
225,paid,28.1,18.2,2,80.0,1,0
226,paid,26.6,18.6,8,60.0,0,0
227,trial,8.5,9.8,1,35.8,0,2
228,trial,12.0,6.6,2,69.4,0,2
229,paid,22.9,18.5,7,62.7,0,0
230,paid,26.3,16.2,9,37.7,0,0
231,expired_trial,0.0,0.0,1,55.5,0,1
232,paid,27.1,18.5,3,74.3,0,0
233,trial,12.2,5.3,3,57.8,0,2
234,paid,27.4,17.5,5,64.7,0,0
235,trial,9.5,6.6,2,66.5,0,2
236,paid,28.0,15.2,4,27.5,0,0
237,trial,11.7,7.2,0,19.2,0,2
238,paid,25.2,17.3,5,88.9,0,0
239,trial,10.3,8.3,2,52.4,0,2
240,paid,29.4,13.3,5,9.5,0,0
241,trial,13.3,7.2,2,37.2,0,2
242,expired_trial,1.7,3.5,0,51.8,1,1
243,trial,11.4,5.9,0,75.9,1,2
244,trial,10.3,6.7,0,64.1,1,2
245,paid,23.9,15.3,5,22.0,0,0
246,trial,9.7,9.4,4,9.1,0,2
247,trial,14.2,8.8,1,53.6,0,2
248,paid,29.1,12.6,3,10.8,0,0
249,paid,29.3,18.2,8,46.9,0,0
250,trial,12.2,6.0,5,51.7,1,2
251,paid,26.1,14.6,5,46.2,0,0
252,expired_trial,2.4,3.9,0,83.3,1,1
253,expired_trial,3.8,0.7,0,60.5,0,1
254,paid,27.8,16.6,6,100.0,1,0
255,expired_trial,3.3,0.4,0,44.0,0,1
256,paid,24.9,17.3,5,59.9,0,0
257,trial,8.5,4.7,1,100.0,1,2
258,trial,12.1,8.3,0,47.6,0,2
259,trial,10.9,7.4,0,82.7,1,2
260,paid,24.3,16.4,5,3.2,0,0
261,trial,11.7,5.7,2,44.0,0,2
262,paid,25.9,15.8,2,60.1,0,0
263,trial,10.4,9.8,0,47.3,0,2
264,paid,24.7,17.3,4,42.7,0,0
265,trial,11.6,6.5,1,67.5,1,2
266,trial,10.3,7.2,0,56.7,0,2
267,trial,9.3,8.1,1,13.4,0,2
268,trial,10.3,5.3,0,48.8,0,2
269,paid,24.3,15.8,11,40.2,0,0
270,trial,13.3,8.2,0,45.6,1,2
271,paid,24.4,16.0,2,88.0,1,0
272,expired_trial,0.9,2.2,0,18.1,0,1
273,paid,27.4,15.5,9,96.0,1,0
274,expired_trial,5.4,1.6,0,47.2,0,1
275,expired_trial,0.2,2.8,0,72.8,0,1
276,expired_trial,0.0,2.1,0,29.5,0,1
277,expired_trial,1.7,2.5,0,62.9,0,1
278,expired_trial,0.1,1.5,0,60.7,0,1
279,trial,13.3,5.9,1,80.7,1,2
280,paid,26.2,18.7,5,68.5,1,0
281,paid,29.7,16.3,3,89.7,1,0
282,trial,9.5,5.9,0,57.7,0,2
283,expired_trial,0.1,2.6,0,66.7,1,1
284,paid,21.2,15.3,8,41.8,0,0
285,trial,12.6,9.9,1,45.5,0,2
286,expired_trial,0.0,0.5,0,53.1,0,1
287,trial,16.0,8.5,0,89.9,0,2
288,trial,12.7,8.9,0,77.5,0,2
289,paid,26.0,18.7,6,0.0,0,0
290,trial,10.5,8.0,2,94.6,1,2
291,paid,25.8,15.9,3,99.0,1,0
292,paid,26.0,21.1,10,66.5,0,0
293,trial,10.7,7.7,1,38.8,0,2
294,paid,28.0,15.7,6,61.7,1,0
295,paid,25.3,17.0,13,70.1,1,0
296,expired_trial,3.2,0.0,1,48.1,0,1
