order_id,category,customer_type,items_in_cart,used_code,discount_pct,order_value
1,big_ticket,repeat,5,0,0.0,771.29
2,everyday,new,2,0,0.0,37.72
3,big_ticket,new,10,1,0.177,1004.83
4,everyday,repeat,2,0,0.0,14.69
5,everyday,new,3,0,0.0,62.03
6,big_ticket,new,6,1,0.19,353.52
7,big_ticket,new,7,0,0.0,848.43
8,big_ticket,repeat,2,1,0.155,280.18
9,everyday,repeat,4,0,0.0,105.22
10,everyday,repeat,3,1,0.108,31.79
11,everyday,repeat,2,0,0.0,18.99
12,big_ticket,new,4,0,0.0,644.19
13,everyday,repeat,3,0,0.0,52.63
14,big_ticket,new,4,1,0.196,296.58
15,everyday,new,1,1,0.121,21.24
16,everyday,new,3,0,0.0,66.15
17,everyday,repeat,3,0,0.0,28.31
18,everyday,repeat,4,1,0.127,61.94
19,big_ticket,repeat,1,1,0.186,123.84
20,everyday,new,4,0,0.0,58.43
21,big_ticket,new,5,1,0.159,486.1
22,everyday,new,4,1,0.169,113.84
23,big_ticket,new,5,1,0.195,655.34
24,big_ticket,new,4,1,0.175,436.55
25,big_ticket,repeat,10,1,0.119,1070.69
26,everyday,repeat,3,0,0.0,39.9
27,everyday,repeat,3,0,0.0,21.7
28,everyday,repeat,3,0,0.0,60.65
29,everyday,new,2,0,0.0,137.87
30,everyday,repeat,2,0,0.0,40.53
31,big_ticket,new,3,1,0.164,181.02
32,big_ticket,repeat,5,1,0.173,431.87
33,everyday,repeat,4,0,0.0,45.15
34,everyday,new,2,0,0.0,40.66
35,everyday,new,2,0,0.0,48.71
36,everyday,repeat,2,0,0.0,47.45
37,everyday,repeat,2,1,0.187,23.16
38,everyday,repeat,3,0,0.0,54.82
39,everyday,repeat,4,0,0.0,151.78
40,everyday,repeat,4,0,0.0,30.24
41,everyday,new,3,0,0.0,82.74
42,big_ticket,repeat,4,0,0.0,318.28
43,big_ticket,repeat,6,0,0.0,639.54
44,everyday,new,3,0,0.0,36.04
45,big_ticket,new,3,0,0.0,194.35
46,big_ticket,repeat,7,1,0.153,448.51
47,everyday,repeat,3,1,0.166,50.01
48,everyday,new,2,0,0.0,24.97
49,everyday,repeat,2,0,0.0,34.22
50,everyday,repeat,5,0,0.0,102.14
51,everyday,repeat,2,1,0.139,30.65
52,everyday,new,1,0,0.0,37.07
53,big_ticket,new,7,1,0.184,1037.29
54,everyday,new,6,1,0.195,144.34
55,big_ticket,repeat,5,1,0.105,804.53
56,big_ticket,repeat,5,1,0.127,773.49
57,everyday,new,2,1,0.192,25.78
58,everyday,repeat,3,1,0.163,38.7
59,everyday,new,2,0,0.0,71.09
60,everyday,repeat,3,0,0.0,35.49
61,everyday,new,2,0,0.0,25.44
62,everyday,repeat,6,0,0.0,41.57
63,everyday,repeat,2,0,0.0,21.13
64,big_ticket,repeat,4,0,0.0,696.27
65,everyday,new,3,1,0.156,89.82
66,everyday,new,4,0,0.0,79.07
67,everyday,new,2,0,0.0,49.21
68,everyday,repeat,2,0,0.0,41.49
69,everyday,new,4,0,0.0,40.72
70,everyday,repeat,2,0,0.0,49.48
71,everyday,repeat,4,1,0.137,60.33
72,everyday,new,3,0,0.0,65.94
73,big_ticket,new,3,0,0.0,365.88
74,everyday,new,6,0,0.0,54.32
75,everyday,repeat,3,0,0.0,34.68
76,everyday,repeat,3,0,0.0,57.49
77,everyday,new,2,0,0.0,14.96
78,everyday,repeat,6,1,0.141,310.64
79,everyday,new,2,0,0.0,61.84
80,big_ticket,new,5,0,0.0,583.75
81,everyday,repeat,3,0,0.0,101.21
82,everyday,repeat,2,1,0.127,43.62
83,big_ticket,new,7,1,0.132,606.06
84,everyday,repeat,3,0,0.0,62.05
85,everyday,repeat,2,0,0.0,25.71
86,everyday,repeat,1,0,0.0,14.64
87,big_ticket,repeat,9,1,0.173,855.69
88,everyday,new,4,0,0.0,49.63
89,everyday,new,3,0,0.0,36.26
90,everyday,repeat,3,1,0.109,80.57
91,everyday,repeat,3,1,0.136,33.09
92,everyday,new,4,0,0.0,56.35
93,everyday,new,4,0,0.0,63.07
94,everyday,new,2,1,0.183,44.41
95,everyday,repeat,5,1,0.152,119.71
96,everyday,new,4,1,0.106,47.66
97,everyday,new,3,0,0.0,21.37
98,everyday,new,3,0,0.0,93.54
99,everyday,repeat,4,0,0.0,21.35
100,big_ticket,repeat,8,1,0.2,793.95
101,big_ticket,new,4,1,0.177,269.25
102,everyday,new,3,1,0.177,56.79
103,everyday,new,2,0,0.0,38.38
104,big_ticket,repeat,4,1,0.169,831.14
105,big_ticket,repeat,5,1,0.146,286.01
106,big_ticket,repeat,7,1,0.178,639.24
107,everyday,repeat,1,0,0.0,18.79
108,everyday,new,2,1,0.162,8.27
109,everyday,new,1,0,0.0,15.89
110,big_ticket,new,5,1,0.161,629.37
111,everyday,repeat,4,0,0.0,45.84
112,everyday,new,2,0,0.0,41.45
113,everyday,repeat,2,0,0.0,54.8
114,everyday,new,2,1,0.132,34.81
115,everyday,repeat,6,1,0.193,106.03
116,big_ticket,new,11,1,0.11,1076.31
117,big_ticket,new,7,1,0.119,555.26
118,big_ticket,repeat,3,1,0.191,203.86
119,everyday,new,3,1,0.175,40.05
120,everyday,new,2,0,0.0,27.12
121,everyday,new,2,0,0.0,42.64
122,everyday,repeat,2,0,0.0,39.29
123,everyday,new,9,1,0.197,188.72
124,everyday,repeat,2,0,0.0,15.0
125,everyday,repeat,7,1,0.139,143.63
126,everyday,repeat,2,0,0.0,14.76
127,everyday,new,1,0,0.0,14.38
128,everyday,repeat,2,0,0.0,86.72
129,everyday,new,4,1,0.193,88.21
130,everyday,repeat,5,0,0.0,96.81
131,everyday,repeat,4,0,0.0,43.29
132,big_ticket,new,6,1,0.194,561.1
133,everyday,new,4,0,0.0,76.83
134,everyday,repeat,2,0,0.0,10.31
135,everyday,repeat,3,0,0.0,35.12
136,everyday,repeat,3,1,0.159,57.13
137,big_ticket,repeat,10,0,0.0,948.91
138,everyday,repeat,6,0,0.0,169.55
139,big_ticket,repeat,8,1,0.188,593.47
140,everyday,repeat,5,0,0.0,89.7
141,everyday,new,4,0,0.0,48.05
142,everyday,repeat,4,1,0.198,71.88
143,big_ticket,repeat,6,1,0.181,339.21
144,everyday,new,3,0,0.0,50.82
145,everyday,new,3,1,0.155,106.0
146,everyday,new,4,0,0.0,29.86
147,everyday,new,1,0,0.0,46.03
148,everyday,repeat,3,0,0.0,280.85
149,everyday,new,2,0,0.0,25.58
150,everyday,repeat,1,0,0.0,33.09
151,big_ticket,new,8,1,0.191,933.94
152,big_ticket,repeat,6,0,0.0,984.12
153,everyday,repeat,3,0,0.0,33.71
154,everyday,repeat,1,0,0.0,10.25
155,everyday,repeat,2,0,0.0,25.9
156,everyday,new,4,1,0.155,53.7
157,everyday,repeat,5,1,0.182,44.9
158,everyday,repeat,1,0,0.0,11.09
159,big_ticket,new,3,1,0.118,274.86
160,big_ticket,repeat,8,1,0.188,832.11
161,everyday,new,2,0,0.0,20.89
162,big_ticket,repeat,4,1,0.12,441.1
163,everyday,new,3,0,0.0,24.07
164,everyday,repeat,2,0,0.0,18.18
165,everyday,new,2,0,0.0,12.8
166,everyday,new,1,1,0.125,6.73
167,big_ticket,repeat,7,1,0.1,649.43
168,big_ticket,repeat,5,0,0.0,453.62
169,everyday,new,1,1,0.193,16.22
170,big_ticket,repeat,4,0,0.0,218.5
171,everyday,repeat,5,1,0.149,42.41
172,everyday,repeat,1,0,0.0,6.74
173,everyday,new,4,0,0.0,20.99
174,big_ticket,repeat,7,1,0.185,801.11
175,everyday,repeat,6,1,0.156,116.73
176,everyday,new,6,0,0.0,57.79
177,everyday,new,2,0,0.0,9.9
178,big_ticket,repeat,5,1,0.103,387.15
179,big_ticket,new,7,1,0.133,524.82
180,big_ticket,new,4,0,0.0,226.01
181,big_ticket,new,9,1,0.178,986.59
182,big_ticket,repeat,7,1,0.16,523.38
183,everyday,repeat,1,0,0.0,5.75
184,everyday,repeat,2,0,0.0,15.25
185,big_ticket,repeat,5,1,0.161,635.5
186,everyday,new,2,0,0.0,23.29
187,everyday,new,3,0,0.0,46.5
188,everyday,new,2,0,0.0,16.82
189,big_ticket,new,8,1,0.149,778.24
190,everyday,new,4,1,0.142,58.85
191,big_ticket,repeat,5,1,0.157,268.97
192,everyday,new,2,0,0.0,23.26
193,everyday,new,5,0,0.0,42.64
194,big_ticket,new,6,0,0.0,816.12
195,everyday,new,3,0,0.0,29.65
196,everyday,new,1,0,0.0,11.63
197,everyday,new,3,0,0.0,29.55
198,big_ticket,new,5,1,0.155,707.75
199,everyday,repeat,2,0,0.0,44.42
200,everyday,repeat,3,0,0.0,57.29
201,big_ticket,repeat,4,0,0.0,528.82
202,big_ticket,repeat,4,0,0.0,471.65
203,everyday,repeat,3,1,0.152,31.49
204,everyday,repeat,4,1,0.103,92.66
205,everyday,repeat,2,0,0.0,8.11
206,everyday,repeat,1,0,0.0,13.0
207,everyday,new,1,0,0.0,5.94
208,everyday,new,2,0,0.0,19.5
209,everyday,new,3,0,0.0,55.46
210,everyday,new,3,1,0.177,52.86
211,everyday,repeat,3,0,0.0,30.78
212,everyday,new,3,0,0.0,46.18
213,everyday,repeat,6,0,0.0,105.2
