user_id,days_since_signup,page_views,purchase_count,email_opens,retained_90d,pc1_score
1,215,50.0,0,5,0,-823.54
2,154,394.0,5,2,1,-479.6
3,131,251.0,1,9,0,-622.62
4,338,299.0,1,9,1,-574.42
5,139,150.0,2,3,1,-723.61
6,100,764.0,3,5,1,-109.65
7,320,57.0,1,5,0,-816.44
8,22,481.0,3,2,0,-392.72
9,162,248.0,2,3,1,-625.59
10,114,181.0,3,9,1,-692.63
11,11,275.0,3,8,1,-598.73
12,263,1438.0,2,3,0,564.51
13,364,113.0,0,1,0,-760.39
14,286,146.0,2,6,0,-727.47
15,118,1884.0,3,11,1,1010.37
16,197,386.0,3,6,1,-487.55
17,310,2706.0,3,10,0,1832.55
18,114,324.0,2,5,1,-549.63
19,156,466.0,4,2,0,-407.59
20,335,716.0,1,8,0,-157.42
21,72,663.0,4,3,1,-210.67
22,339,671.0,1,7,0,-202.42
23,247,164.0,4,9,1,-709.51
24,160,166.0,1,4,1,-707.59
25,288,441.0,3,4,0,-432.47
26,150,73.0,1,10,0,-800.6
27,132,813.0,2,4,0,-60.62
28,224,470.0,4,10,0,-403.53
29,337,2760.0,1,7,0,1886.58
30,261,245.0,2,8,1,-628.49
31,245,349.0,1,8,0,-524.51
32,227,458.0,3,9,0,-415.52
33,307,1337.0,3,5,1,463.55
34,159,114.0,3,7,1,-759.59
35,271,329.0,2,10,1,-544.48
36,162,306.0,2,4,0,-567.59
37,221,278.0,1,5,0,-595.53
38,236,657.0,4,7,0,-216.52
39,135,953.0,4,3,1,79.39
40,336,578.0,1,4,0,-295.42
41,89,118.0,2,5,0,-755.66
42,18,606.0,4,11,1,-267.73
43,272,188.0,3,5,1,-685.48
44,33,498.0,3,9,1,-375.71
45,199,203.0,3,3,1,-670.55
46,278,1583.0,1,9,0,709.52
47,62,691.0,3,9,1,-182.68
48,168,4221.0,2,5,1,3347.42
49,211,2414.0,1,7,0,1540.46
50,284,1770.0,1,6,0,896.53
51,183,555.0,4,13,0,-318.57
52,197,138.0,1,2,1,-735.55
53,203,24.0,2,5,0,-849.55
54,169,98.0,1,8,0,-775.58
55,12,654.0,2,6,1,-219.73
56,349,365.0,3,5,0,-508.41
57,305,883.0,0,4,0,9.55
58,135,813.0,0,8,0,-60.61
59,134,508.0,2,4,0,-365.61
60,237,423.0,4,6,0,-450.52
61,326,2370.0,1,11,0,1496.57
62,199,308.0,2,6,0,-565.55
63,101,135.0,4,5,1,-738.65
64,41,763.0,2,5,0,-110.7
65,186,2050.0,2,6,0,1176.43
66,62,41.0,1,8,0,-832.68
67,218,614.0,4,7,0,-259.53
68,299,205.0,1,8,0,-668.46
69,287,141.0,2,7,0,-732.47
70,191,719.0,3,8,0,-154.56
71,51,293.0,3,6,0,-580.69
72,248,164.0,3,4,0,-709.5
73,65,178.0,2,4,0,-695.68
74,166,1055.0,1,9,0,181.42
75,74,1081.0,4,8,0,207.33
76,311,270.0,1,3,0,-603.44
77,22,860.0,1,6,0,-13.72
78,311,2725.0,3,6,0,1851.55
79,95,106.0,2,3,0,-767.65
