account_id,segment,signup_year,acv,tenure_months,status
1,mid,2025,23374.0,12,active
2,smb,2022,2188.0,48,active
3,enterprise,2022,319986.0,48,active
4,mid,2020,55512.0,11,churned
5,smb,2025,1291.0,12,active
6,enterprise,2018,131715.0,7,churned
7,mid,2020,31346.0,57,churned
8,mid,2025,27470.0,12,active
9,smb,2021,7768.0,60,active
10,smb,2019,7001.0,73,churned
11,smb,2021,4157.0,33,churned
12,enterprise,2020,376454.0,72,active
13,mid,2022,35187.0,7,churned
14,mid,2019,18477.0,84,active
15,smb,2021,2762.0,60,active
16,smb,2025,6780.0,12,active
17,mid,2018,14817.0,58,churned
18,smb,2024,2966.0,13,churned
19,mid,2018,19540.0,27,churned
20,mid,2021,26313.0,60,active
21,mid,2023,19996.0,36,active
22,smb,2025,1885.0,12,active
23,enterprise,2020,215570.0,64,churned
24,enterprise,2018,98499.0,96,active
25,mid,2024,60474.0,8,churned
26,smb,2025,4239.0,12,active
27,smb,2022,6861.0,48,active
28,smb,2018,4991.0,24,churned
29,smb,2022,7027.0,1,churned
30,mid,2021,29295.0,60,active
31,mid,2021,24775.0,14,churned
32,enterprise,2018,208276.0,96,active
33,smb,2020,12619.0,72,active
34,smb,2025,3181.0,12,active
35,smb,2018,5418.0,96,active
36,smb,2025,3631.0,12,active
37,smb,2022,4689.0,13,churned
38,smb,2022,3719.0,27,churned
39,smb,2025,1238.0,12,active
40,mid,2019,19929.0,84,active
41,smb,2025,6002.0,12,active
42,mid,2020,15024.0,3,churned
43,mid,2020,34908.0,66,churned
44,smb,2021,3991.0,60,active
45,mid,2022,20015.0,48,active
46,mid,2020,34645.0,72,active
47,smb,2024,5118.0,20,churned
48,smb,2018,4493.0,3,churned
49,mid,2023,36605.0,6,churned
50,smb,2023,4030.0,36,active
51,smb,2022,1600.0,44,churned
52,smb,2022,3014.0,48,active
53,mid,2023,8936.0,19,churned
54,mid,2025,30598.0,12,active
55,mid,2019,34479.0,84,active
56,mid,2021,35272.0,27,churned
57,smb,2022,4650.0,48,active
58,mid,2020,35738.0,72,active
59,smb,2025,1655.0,12,active
60,smb,2022,3450.0,48,active
61,mid,2022,10857.0,48,active
62,smb,2019,3044.0,84,active
63,mid,2021,49421.0,60,active
64,mid,2023,38049.0,36,active
65,mid,2021,30673.0,42,churned
66,mid,2024,20114.0,24,active
67,mid,2019,13403.0,84,active
68,smb,2019,3998.0,53,churned
69,smb,2020,6344.0,72,active
70,smb,2020,4469.0,72,active
71,smb,2024,1648.0,24,active
72,smb,2024,3836.0,24,active
73,enterprise,2021,46320.0,60,active
74,smb,2022,5443.0,48,active
75,smb,2020,2575.0,29,churned
76,smb,2022,1975.0,48,active
77,smb,2023,5481.0,36,active
78,mid,2023,29135.0,36,active
79,mid,2025,24741.0,12,active
80,mid,2022,65897.0,48,active
81,mid,2020,30258.0,72,active
82,smb,2018,2637.0,87,churned
83,mid,2023,28555.0,36,active
84,smb,2024,3156.0,24,active
85,smb,2022,6859.0,48,active
86,smb,2025,4190.0,12,active
87,mid,2020,26634.0,72,active
88,smb,2018,1770.0,49,churned
89,smb,2023,3754.0,36,active
90,smb,2018,3540.0,96,active
91,smb,2018,2182.0,96,active
92,mid,2023,19717.0,36,active
93,smb,2021,4527.0,60,active
94,smb,2022,3633.0,48,active
95,smb,2023,1797.0,36,active
96,mid,2021,19214.0,42,churned
97,smb,2022,2881.0,48,active
98,smb,2022,4011.0,11,churned
99,smb,2022,3800.0,48,active
100,enterprise,2023,98144.0,36,active
101,enterprise,2021,96247.0,10,churned
102,mid,2022,22779.0,48,active
103,smb,2022,5893.0,48,active
104,enterprise,2019,138596.0,34,churned
105,mid,2019,44870.0,84,active
106,mid,2018,38816.0,96,active
107,smb,2019,7695.0,3,churned
108,smb,2021,7218.0,41,churned
109,smb,2025,7954.0,12,active
110,enterprise,2025,67740.0,12,churned
111,smb,2024,5033.0,24,active
112,smb,2022,6695.0,48,active
113,smb,2019,7328.0,84,active
114,mid,2020,14983.0,23,churned
115,smb,2024,5058.0,24,active
116,enterprise,2025,125192.0,12,active
117,mid,2025,55466.0,12,active
118,mid,2021,11008.0,44,churned
119,smb,2021,2478.0,58,churned
120,mid,2022,8908.0,48,active
121,mid,2018,23678.0,17,churned
122,mid,2018,68317.0,96,active
123,smb,2018,3561.0,96,active
124,smb,2023,3830.0,36,active
125,smb,2019,4794.0,33,churned
126,smb,2023,3435.0,5,churned
127,smb,2021,4372.0,60,active
128,smb,2024,4430.0,4,churned
129,smb,2018,2386.0,29,churned
130,mid,2020,21015.0,9,churned
131,smb,2019,5276.0,21,churned
132,enterprise,2021,191815.0,60,active
133,mid,2022,42161.0,48,active
134,smb,2019,4306.0,49,churned
135,mid,2023,26315.0,4,churned
136,smb,2025,5298.0,12,active
137,enterprise,2018,89556.0,96,active
138,smb,2018,2649.0,96,active
139,mid,2025,20694.0,12,active
140,smb,2023,1925.0,24,churned
