transaction_id,customer_type,amount,is_new_device,hour_of_day,country_mismatch,confirmed_fraud,flagged_anomalous
1,normal,56.1,1,17,0,0,0
2,normal,39.69,1,0,0,0,0
3,normal,86.32,0,7,0,0,0
4,normal,42.68,0,19,0,0,0
5,normal,94.92,0,17,0,0,0
6,frequent_traveler,163.52,0,3,0,0,0
7,normal,60.29,0,11,0,0,0
8,normal,30.4,0,19,0,0,0
9,bulk_purchaser,141.65,0,16,0,0,0
10,normal,60.29,0,11,0,0,0
11,normal,37.78,0,18,0,0,0
12,normal,81.92,0,12,0,0,0
13,normal,50.88,0,21,0,0,0
14,normal,39.63,0,19,0,0,0
15,normal,43.65,0,11,0,0,0
16,normal,112.18,0,16,0,0,0
17,normal,15.06,0,19,0,0,0
18,normal,46.74,0,8,0,0,0
19,normal,62.72,0,13,1,0,0
20,normal,116.48,0,22,0,0,0
21,bulk_purchaser,233.67,1,22,0,0,0
22,normal,30.03,0,16,0,0,0
23,normal,55.69,0,22,0,0,0
24,normal,53.99,0,16,0,0,0
25,normal,66.72,0,8,0,0,0
26,normal,39.17,0,8,0,0,0
27,normal,75.6,0,0,0,0,0
28,normal,42.76,0,9,0,0,0
29,frequent_traveler,62.06,0,20,1,0,0
30,normal,115.39,0,3,0,0,0
31,normal,30.58,0,12,0,0,0
32,normal,112.61,1,18,1,1,0
33,normal,35.22,0,22,0,0,0
34,frequent_traveler,161.37,0,4,0,0,0
35,normal,70.26,0,17,0,0,0
36,normal,65.02,0,20,0,0,0
37,normal,89.71,0,19,0,0,0
38,normal,97.67,0,10,0,0,0
39,frequent_traveler,58.56,0,3,0,0,0
40,normal,25.72,0,17,0,0,0
41,normal,43.61,1,13,0,0,0
42,normal,46.15,0,18,0,0,0
43,normal,54.5,0,0,0,0,0
44,normal,131.7,0,19,0,1,0
45,frequent_traveler,44.39,0,2,1,0,0
46,normal,17.73,0,4,0,0,0
47,normal,41.0,0,15,0,0,0
48,normal,30.67,0,17,0,0,0
49,normal,60.28,0,12,0,0,0
50,bulk_purchaser,153.57,0,4,0,0,0
51,normal,48.23,0,10,0,0,0
52,normal,61.44,0,22,0,0,0
53,normal,67.17,0,13,0,0,0
54,normal,80.15,0,13,0,0,0
55,normal,34.82,0,3,0,0,0
56,normal,43.92,0,7,0,0,0
57,normal,62.22,0,11,0,0,0
58,normal,67.54,0,3,0,0,0
59,normal,30.12,0,10,0,0,0
60,normal,41.35,1,19,1,0,0
61,normal,130.35,0,9,0,0,0
62,normal,23.18,1,15,0,0,0
