account_id,tenure_months,session_count,feature_adoption_count,support_tickets,churned,pc1_score
1,45,126.0,2,2,1,-511.06
2,51,111.0,5,1,0,-526.06
3,7,148.0,1,1,0,-489.07
4,10,729.0,2,1,0,91.93
5,28,264.0,2,1,1,-373.06
6,34,179.0,4,0,1,-458.06
7,46,1065.0,6,2,0,427.94
8,23,116.0,6,0,0,-521.06
9,3,682.0,4,2,0,44.93
10,13,350.0,6,3,1,-287.07
11,28,435.0,2,3,0,-202.06
12,24,365.0,2,2,1,-272.06
13,55,2095.0,0,5,1,1457.94
14,26,329.0,3,3,1,-308.06
15,39,300.0,6,0,0,-337.06
16,37,216.0,8,3,0,-421.06
17,6,731.0,5,3,0,93.93
18,45,2345.0,2,2,1,1707.94
19,3,62.0,2,0,1,-575.07
20,1,1024.0,2,1,1,386.93
21,36,414.0,5,1,0,-223.06
22,16,188.0,7,1,0,-449.07
23,22,148.0,6,2,0,-489.06
24,37,378.0,4,0,0,-259.06
25,10,205.0,4,3,0,-432.07
26,6,2246.0,3,2,0,1608.93
27,43,1303.0,1,0,0,665.94
28,60,620.0,6,3,0,-17.06
29,41,644.0,1,5,1,6.94
30,50,83.0,3,2,1,-554.06
31,25,1333.0,1,2,1,695.94
32,3,184.0,9,2,0,-453.07
33,40,451.0,5,0,0,-186.06
34,35,520.0,1,1,1,-117.06
35,45,322.0,8,1,0,-315.06
36,37,541.0,1,2,1,-96.06
37,30,1383.0,3,1,0,745.94
38,1,297.0,5,0,0,-340.07
39,42,110.0,2,3,0,-527.06
40,11,670.0,5,2,0,32.93
41,29,2814.0,2,3,1,2176.94
42,10,570.0,0,2,1,-67.07
43,35,145.0,8,3,0,-492.06
44,28,176.0,1,1,1,-461.06
45,25,2061.0,4,0,0,1423.94
46,35,757.0,4,2,0,119.94
47,9,358.0,5,1,0,-279.07
48,28,428.0,3,1,0,-209.06
49,44,691.0,3,3,0,53.94
50,56,39.0,0,2,1,-598.06
51,14,172.0,3,1,0,-465.07
52,49,279.0,6,2,0,-358.06
53,21,191.0,0,0,0,-446.07
54,25,79.0,4,2,0,-558.06
55,49,239.0,5,2,0,-398.06
56,13,257.0,2,2,1,-380.07
57,15,51.0,3,1,1,-586.07
58,22,1119.0,8,2,0,481.94
59,39,185.0,5,0,0,-452.06
60,52,913.0,6,2,0,275.94
61,17,148.0,4,0,0,-489.07
62,21,265.0,4,4,1,-372.06
63,52,278.0,3,2,0,-359.06
64,60,2330.0,2,1,1,1692.94
65,47,108.0,4,0,0,-529.06
66,34,285.0,1,1,0,-352.06
67,49,79.0,1,0,0,-558.06
68,15,59.0,2,3,0,-578.07
69,10,1205.0,6,4,0,567.93
70,40,201.0,3,3,1,-436.06
71,15,908.0,5,2,0,270.93
72,40,701.0,6,1,0,63.94
73,14,996.0,6,0,0,358.93
74,31,153.0,3,1,0,-484.06
75,50,1569.0,3,3,1,931.94
76,17,559.0,0,3,1,-78.07
77,34,28.0,4,2,0,-609.06
78,38,2645.0,4,1,1,2007.94
79,14,509.0,8,2,0,-128.07
80,29,91.0,3,2,0,-546.06
81,45,146.0,5,2,0,-491.06
82,40,209.0,5,3,0,-428.06
83,41,574.0,5,3,1,-63.06
84,33,473.0,2,5,1,-164.06
85,56,746.0,2,1,0,108.94
86,8,216.0,6,5,0,-421.07
87,31,245.0,7,3,1,-392.06
88,55,356.0,2,3,0,-281.06
89,26,3000.0,2,0,0,2362.94
90,2,402.0,3,0,0,-235.07
91,59,1908.0,2,2,0,1270.94
92,19,469.0,2,1,1,-168.07
93,4,58.0,7,3,0,-579.07
94,11,423.0,5,3,1,-214.07
95,58,393.0,2,2,0,-244.06
96,21,426.0,2,0,0,-211.07
97,1,124.0,2,2,1,-513.07
98,38,46.0,6,1,0,-591.06
99,3,246.0,8,2,0,-391.07
100,34,377.0,1,0,0,-260.06
101,38,1379.0,3,5,1,741.94
102,43,1575.0,1,2,1,937.94
103,7,108.0,4,0,0,-529.07
104,30,253.0,5,3,0,-384.06
105,32,603.0,3,1,1,-34.06
106,51,273.0,4,2,0,-364.06
107,1,267.0,5,2,1,-370.07
108,21,681.0,6,2,0,43.94
109,25,1362.0,6,0,0,724.94
110,33,454.0,5,2,0,-183.06
111,48,184.0,1,3,0,-453.06
112,31,139.0,5,2,0,-498.06
113,46,238.0,6,2,1,-399.06
114,2,174.0,4,1,0,-463.07
115,18,97.0,5,1,0,-540.07
116,14,916.0,4,3,0,278.93
117,36,1179.0,2,1,1,541.94
118,6,1700.0,5,3,0,1062.93
119,22,234.0,4,3,0,-403.06
120,15,463.0,4,2,1,-174.07
121,57,281.0,1,3,1,-356.06
122,1,33.0,1,2,1,-604.07
123,40,1187.0,6,1,0,549.94
124,18,428.0,6,2,1,-209.07
125,52,592.0,2,0,0,-45.06
126,23,647.0,5,2,1,9.94
127,1,172.0,3,2,1,-465.07
128,39,1345.0,4,2,0,707.94
129,11,304.0,4,0,0,-333.07
130,51,45.0,10,2,0,-592.06
131,52,1006.0,3,4,0,368.94
132,25,104.0,3,0,0,-533.06
133,28,1186.0,3,1,0,548.94
134,38,2267.0,8,0,0,1629.94
135,15,298.0,5,2,0,-339.07
136,32,102.0,3,3,0,-535.06
137,60,137.0,5,4,1,-500.06
138,14,314.0,2,0,1,-323.07
139,34,991.0,6,2,1,353.94
140,12,794.0,5,1,0,156.93
141,48,1938.0,5,2,1,1300.94
142,28,1366.0,3,2,1,728.94
143,47,2416.0,2,0,0,1778.94
144,48,81.0,6,2,0,-556.06
145,55,754.0,2,3,0,116.94
146,36,567.0,5,2,0,-70.06
147,32,3000.0,5,1,0,2362.94
148,42,992.0,3,1,0,354.94
149,12,436.0,6,3,0,-201.07
150,44,455.0,2,1,0,-182.06
151,13,145.0,6,2,0,-492.07
152,38,1421.0,10,2,0,783.94
153,44,198.0,3,1,0,-439.06
154,15,1381.0,3,0,1,743.93
155,17,781.0,5,4,0,143.93
156,27,509.0,6,1,0,-128.06
157,7,306.0,1,3,0,-331.07
158,31,422.0,7,0,0,-215.06
159,13,716.0,4,2,0,78.93
160,1,381.0,5,5,0,-256.07
161,6,213.0,9,3,0,-424.07
162,18,196.0,5,0,0,-441.07
163,34,273.0,3,0,0,-364.06
164,22,372.0,4,3,0,-265.06
165,13,223.0,10,5,0,-414.07
166,1,1001.0,2,3,1,363.93
167,26,746.0,7,1,0,108.94
