order_id,period,arm,on_time_in_full
1,normal,heuristic_router,1
2,holiday_surge,heuristic_router,1
3,normal,heuristic_router,1
4,holiday_surge,rl_router,1
5,normal,rl_router,1
6,holiday_surge,heuristic_router,1
7,holiday_surge,heuristic_router,1
8,holiday_surge,heuristic_router,1
9,normal,rl_router,1
10,normal,heuristic_router,0
11,normal,heuristic_router,1
12,normal,rl_router,1
13,normal,rl_router,1
14,normal,rl_router,1
15,normal,heuristic_router,1
16,normal,rl_router,1
17,normal,rl_router,1
18,holiday_surge,heuristic_router,1
19,normal,rl_router,1
20,normal,heuristic_router,1
21,holiday_surge,rl_router,1
22,holiday_surge,rl_router,1
23,holiday_surge,rl_router,1
24,normal,heuristic_router,1
25,normal,rl_router,1
26,holiday_surge,rl_router,0
27,normal,heuristic_router,1
28,holiday_surge,heuristic_router,1
29,normal,heuristic_router,1
30,normal,rl_router,1
31,normal,rl_router,1
32,holiday_surge,heuristic_router,0
33,normal,heuristic_router,1
34,normal,rl_router,1
35,normal,heuristic_router,1
36,normal,rl_router,1
37,normal,rl_router,1
38,normal,heuristic_router,0
39,normal,heuristic_router,0
40,normal,heuristic_router,1
41,normal,heuristic_router,1
42,holiday_surge,heuristic_router,0
43,normal,rl_router,1
44,normal,heuristic_router,1
45,normal,rl_router,1
46,holiday_surge,rl_router,1
47,holiday_surge,heuristic_router,1
48,normal,rl_router,1
49,holiday_surge,rl_router,1
50,normal,rl_router,1
51,normal,rl_router,1
52,holiday_surge,heuristic_router,1
53,normal,heuristic_router,1
54,normal,rl_router,1
55,normal,rl_router,0
56,holiday_surge,rl_router,1
57,holiday_surge,rl_router,1
58,normal,heuristic_router,1
59,holiday_surge,heuristic_router,1
60,holiday_surge,rl_router,1
61,normal,heuristic_router,1
62,normal,rl_router,1
63,holiday_surge,rl_router,1
64,holiday_surge,rl_router,0
65,normal,rl_router,1
66,holiday_surge,heuristic_router,1
67,holiday_surge,heuristic_router,1
68,normal,rl_router,1
69,normal,heuristic_router,1
70,normal,heuristic_router,1
71,normal,heuristic_router,1
72,normal,rl_router,1
73,normal,heuristic_router,1
74,holiday_surge,heuristic_router,1
75,holiday_surge,heuristic_router,0
76,holiday_surge,heuristic_router,0
77,normal,heuristic_router,1
78,holiday_surge,heuristic_router,1
79,holiday_surge,heuristic_router,1
80,normal,heuristic_router,1
81,normal,rl_router,1
82,holiday_surge,rl_router,1
83,holiday_surge,rl_router,1
84,normal,heuristic_router,1
85,holiday_surge,rl_router,1
86,normal,heuristic_router,1
87,normal,heuristic_router,0
88,normal,rl_router,1
89,normal,rl_router,1
90,normal,rl_router,1
91,normal,rl_router,1
92,holiday_surge,heuristic_router,1
93,holiday_surge,rl_router,1
94,normal,rl_router,0
95,holiday_surge,rl_router,1
96,normal,heuristic_router,1
97,holiday_surge,rl_router,0
98,holiday_surge,heuristic_router,1
99,normal,rl_router,1
