order_id,order_date,customer_segment,channel,order_value
1,2024-09-11,returning,app,60.49
2,2024-02-04,returning,app,28.91
3,2025-05-06,returning,marketplace,100.2
4,2024-09-20,vip,marketplace,127.69
5,2024-10-12,vip,web,42.9
6,2024-08-22,returning,marketplace,48.74
7,2025-11-29,new,app,63.57
8,2024-11-06,vip,web,33.09
9,2024-11-21,new,marketplace,77.25
10,2025-04-14,returning,web,78.09
11,2025-01-16,returning,marketplace,65.87
12,2025-03-17,new,app,71.33
13,2025-06-28,returning,web,58.75
14,2024-11-14,returning,marketplace,47.29
15,2025-02-05,returning,app,60.89
16,2024-12-10,new,app,84.54
17,2025-04-23,new,marketplace,45.24
18,2025-11-04,returning,marketplace,69.74
19,2025-02-04,new,marketplace,46.86
20,2025-12-05,new,marketplace,58.59
21,2025-08-30,new,app,108.88
22,2024-05-12,returning,web,80.93
23,2024-12-17,vip,web,62.85
24,2024-01-21,new,web,72.44
25,2024-08-07,returning,web,41.68
26,2024-12-05,vip,web,36.24
27,2024-10-01,returning,marketplace,72.69
28,2025-06-12,returning,web,86.34
29,2025-02-25,returning,app,39.97
30,2024-07-28,vip,app,39.44
31,2025-02-01,vip,marketplace,54.57
32,2025-08-11,new,marketplace,39.31
33,2025-08-29,returning,marketplace,56.13
34,2024-05-26,returning,app,32.64
35,2025-10-05,new,marketplace,144.22
36,2024-02-25,new,app,110.12
37,2024-02-11,new,app,55.5
38,2025-05-04,new,web,79.92
39,2024-01-15,returning,web,76.87
40,2024-06-01,vip,app,27.22
41,2025-10-11,new,web,68.12
42,2025-12-02,returning,marketplace,80.5
43,2025-07-21,new,web,58.67
44,2025-06-12,returning,app,45.9
45,2025-03-03,new,marketplace,64.82
46,2024-09-02,returning,web,73.99
47,2024-07-09,returning,marketplace,106.89
48,2024-06-07,new,app,53.94
49,2025-11-24,returning,web,63.44
50,2024-04-04,vip,marketplace,32.02
51,2024-10-02,vip,app,142.62
52,2025-02-09,returning,marketplace,97.37
53,2025-03-01,new,marketplace,81.55
54,2025-06-09,returning,web,100.88
55,2024-12-03,returning,web,50.05
56,2025-03-29,returning,app,57.81
57,2025-10-02,new,web,56.24
58,2024-10-27,returning,web,25.72
59,2025-12-02,returning,web,26.39
60,2025-08-27,new,app,46.12
61,2024-05-11,new,app,56.52
62,2025-05-01,returning,web,67.09
63,2024-07-15,returning,app,22.45
64,2025-03-17,returning,web,46.28
65,2024-02-09,new,app,55.7
66,2024-11-28,new,marketplace,55.03
67,2025-12-06,returning,web,49.6
68,2025-12-06,returning,marketplace,71.7
69,2024-06-26,returning,app,70.21
70,2025-07-28,new,app,106.83
71,2024-10-17,new,web,56.79
72,2024-05-16,vip,marketplace,64.09
73,2024-08-27,new,marketplace,39.13
74,2025-06-17,returning,app,120.35
75,2024-06-20,new,marketplace,63.6
76,2024-08-19,returning,marketplace,71.62
77,2024-01-28,returning,app,37.3
78,2024-04-19,new,app,63.7
79,2024-10-22,returning,marketplace,66.54
80,2025-05-29,returning,marketplace,52.34
81,2025-12-26,vip,app,59.74
82,2024-11-16,new,web,57.59
83,2025-05-26,new,marketplace,31.12
84,2025-11-06,vip,marketplace,40.14
85,2025-02-02,returning,marketplace,48.2
86,2024-06-02,vip,app,30.25
87,2025-09-08,vip,app,42.47
88,2024-01-19,returning,web,62.03
89,2025-04-05,returning,marketplace,86.19
90,2024-03-05,returning,web,46.18
91,2025-07-17,vip,web,51.39
92,2025-06-05,returning,web,79.82
93,2025-10-21,new,web,65.54
94,2025-12-02,new,marketplace,60.68
95,2025-12-31,vip,app,45.69
96,2024-12-29,returning,marketplace,53.05
97,2024-11-03,returning,web,49.3
98,2024-01-29,returning,web,26.32
99,2025-02-19,vip,app,78.44
100,2024-12-15,new,marketplace,48.62
101,2025-11-28,returning,app,41.59
102,2024-07-05,new,web,72.33
103,2024-12-03,new,app,57.41
104,2024-07-09,new,app,39.6
105,2025-11-17,new,app,41.14
106,2025-02-15,new,web,29.95
107,2024-07-26,new,app,51.44
108,2025-04-30,returning,marketplace,102.37
109,2024-04-23,returning,marketplace,73.34
110,2024-07-18,returning,marketplace,77.4
111,2025-03-19,returning,marketplace,61.9
112,2024-06-21,vip,web,68.08
113,2025-11-04,returning,web,84.88
114,2025-05-04,new,app,71.58
115,2025-09-24,new,app,53.31
116,2025-07-11,new,web,200.59
117,2025-01-08,returning,marketplace,56.26
118,2024-12-12,new,app,51.82
119,2024-10-10,new,marketplace,32.63
120,2025-01-11,returning,marketplace,83.51
121,2024-11-20,vip,web,103.65
122,2024-10-08,returning,marketplace,61.5
123,2025-05-11,returning,web,51.73
124,2024-08-21,new,app,46.99
125,2024-08-23,vip,marketplace,89.5
126,2024-01-20,returning,marketplace,31.51
127,2025-09-04,new,marketplace,75.25
128,2025-11-21,returning,marketplace,50.56
129,2024-01-15,vip,web,124.23
130,2024-10-16,new,app,71.42
