user_id,signup_source,plan,setup_actions_first_hour,completed_checklist,retained_30d
1,paid,free,7,0,1
2,organic,free,3,0,0
3,referral,free,9,1,0
4,paid,pro,6,1,1
5,organic,free,8,1,1
6,referral,free,7,1,1
7,paid,free,7,1,0
8,paid,pro,5,0,1
9,organic,free,5,0,1
10,paid,free,4,1,0
11,organic,pro,6,0,0
12,referral,free,4,0,0
13,paid,pro,2,0,0
14,referral,free,3,1,0
15,organic,free,8,1,1
16,organic,free,2,0,0
17,paid,pro,7,1,0
18,organic,pro,7,0,1
19,referral,free,3,0,0
20,paid,free,6,1,0
21,paid,free,10,1,1
22,organic,free,7,1,0
23,referral,free,4,0,0
24,referral,free,2,1,0
25,paid,free,2,0,0
26,organic,free,5,0,0
27,paid,pro,6,0,1
28,organic,free,2,0,1
29,organic,free,6,1,1
30,paid,free,6,1,1
31,paid,free,1,0,0
32,referral,free,3,0,1
33,organic,free,2,0,0
34,organic,free,9,1,1
35,paid,free,4,0,0
36,organic,pro,9,1,0
37,organic,free,6,0,0
38,paid,free,8,1,1
39,organic,free,5,0,1
40,paid,free,3,0,1
41,organic,free,8,1,1
42,referral,pro,5,0,0
43,paid,pro,6,1,1
44,organic,free,2,0,0
45,referral,free,6,1,1
46,referral,free,3,0,0
47,organic,free,6,0,1
48,organic,free,5,1,0
49,paid,free,4,1,0
50,organic,free,6,0,1
51,organic,free,6,0,0
52,organic,free,6,0,0
53,paid,free,7,1,1
54,paid,free,10,0,1
55,paid,pro,2,0,0
56,paid,free,6,1,1
57,paid,free,8,0,1
58,paid,pro,2,0,0
59,organic,free,10,1,1
60,organic,free,7,1,0
61,paid,free,11,1,1
62,paid,free,7,1,1
63,paid,free,4,0,0
64,paid,free,2,0,0
65,paid,free,7,1,0
66,paid,free,3,0,1
67,paid,free,9,0,1
68,organic,pro,9,1,1
69,organic,free,7,1,0
70,organic,free,4,0,0
71,organic,free,4,0,0
72,organic,free,4,1,0
73,referral,free,7,0,1
74,organic,free,6,1,1
75,organic,free,6,0,0
76,organic,pro,7,1,1
77,organic,free,9,0,1
78,paid,pro,5,0,0
79,paid,free,7,0,1
80,paid,free,5,1,0
81,paid,pro,6,1,0
82,organic,pro,6,1,0
83,referral,free,8,1,1
84,organic,free,2,1,0
85,organic,pro,5,1,0
86,organic,free,13,1,1
87,paid,free,4,1,0
88,paid,free,4,1,0
89,organic,free,7,1,1
90,paid,free,8,1,1
91,organic,free,10,1,1
92,paid,free,7,1,0
93,organic,free,2,0,0
94,organic,free,7,1,0
95,organic,free,2,0,0
96,paid,free,14,1,1
97,organic,free,9,1,1
98,organic,free,4,0,0
99,organic,pro,2,0,0
100,referral,free,5,0,0
101,referral,free,8,1,1
102,paid,free,3,0,0
103,organic,free,8,1,0
104,referral,free,8,1,1
105,paid,free,9,1,1
106,paid,free,9,0,1
107,organic,free,9,1,1
108,organic,free,8,1,1
109,organic,free,10,1,1
110,referral,free,8,1,0
111,paid,free,6,0,1
112,organic,free,6,1,1
113,organic,free,3,0,0
114,paid,free,4,0,0
115,organic,free,5,0,0
116,referral,free,4,0,1
117,paid,free,5,0,1
118,paid,free,3,0,0
119,organic,free,7,0,1
120,paid,free,6,0,0
121,paid,free,2,1,1
122,paid,free,4,0,1
123,organic,free,8,1,1
124,organic,pro,3,0,0
125,organic,pro,7,1,0
126,paid,pro,5,0,0
127,organic,free,8,1,1
128,organic,free,4,0,0
129,organic,free,3,0,0
130,paid,pro,8,1,1
131,organic,free,8,0,0
132,referral,free,10,1,1
133,paid,free,6,0,0
134,organic,pro,6,0,1
135,paid,pro,7,1,0
136,organic,free,8,1,0
137,referral,free,3,0,1
138,paid,free,6,1,1
