ticket_id,arm,resolved_first_touch,reopened_within_7d
1,legacy_router,1,0
2,optimized_router,0,0
3,legacy_router,1,0
4,optimized_router,1,1
5,legacy_router,1,0
6,optimized_router,1,0
7,optimized_router,1,0
8,optimized_router,1,0
9,optimized_router,0,0
10,optimized_router,0,0
11,legacy_router,0,0
12,legacy_router,0,0
13,optimized_router,1,0
14,optimized_router,1,1
15,legacy_router,1,0
16,optimized_router,1,0
17,optimized_router,1,1
18,optimized_router,0,0
19,legacy_router,1,0
20,optimized_router,1,0
21,legacy_router,1,0
22,legacy_router,0,0
23,legacy_router,0,0
24,optimized_router,1,0
25,optimized_router,1,0
26,optimized_router,1,0
27,optimized_router,0,0
28,optimized_router,1,0
29,optimized_router,1,0
30,legacy_router,1,1
31,legacy_router,1,0
32,optimized_router,1,0
33,legacy_router,0,0
34,optimized_router,1,0
35,optimized_router,1,0
36,legacy_router,1,0
37,optimized_router,1,1
38,optimized_router,1,1
39,legacy_router,1,0
40,optimized_router,1,1
41,optimized_router,1,0
42,optimized_router,1,0
43,legacy_router,1,0
44,legacy_router,1,0
45,legacy_router,1,0
46,optimized_router,1,0
47,optimized_router,1,1
48,optimized_router,1,0
49,optimized_router,0,0
50,optimized_router,1,0
51,optimized_router,0,0
52,optimized_router,1,0
53,legacy_router,1,0
54,optimized_router,1,1
55,optimized_router,1,1
56,optimized_router,1,0
57,optimized_router,1,1
58,legacy_router,0,0
59,legacy_router,0,0
60,legacy_router,1,0
61,legacy_router,1,0
62,optimized_router,1,1
63,legacy_router,0,0
64,optimized_router,1,0
65,legacy_router,0,0
66,legacy_router,0,0
67,legacy_router,1,0
68,legacy_router,1,0
69,legacy_router,1,0
70,optimized_router,1,0
71,legacy_router,1,0
72,optimized_router,0,0
73,legacy_router,1,0
74,optimized_router,0,0
75,optimized_router,1,0
76,legacy_router,1,0
77,legacy_router,0,0
78,optimized_router,1,0
79,legacy_router,0,0
80,legacy_router,0,0
81,legacy_router,1,0
82,optimized_router,1,0
83,optimized_router,1,0
84,legacy_router,1,0
85,legacy_router,0,0
86,legacy_router,0,0
87,legacy_router,1,0
88,legacy_router,0,0
89,optimized_router,1,0
90,legacy_router,1,0
91,optimized_router,1,0
92,optimized_router,1,0
93,optimized_router,1,0
94,legacy_router,0,0
95,legacy_router,0,0
96,legacy_router,0,0
97,legacy_router,0,0
98,optimized_router,1,0
99,legacy_router,1,0
100,optimized_router,1,0
101,optimized_router,1,0
102,optimized_router,1,0
103,optimized_router,0,0
104,legacy_router,1,0
105,legacy_router,0,0
106,legacy_router,1,0
107,legacy_router,0,0
108,legacy_router,1,0
109,optimized_router,1,0
110,optimized_router,0,0
111,optimized_router,1,0
112,optimized_router,1,1
113,legacy_router,1,0
114,optimized_router,1,1
115,legacy_router,0,0
116,optimized_router,0,0
117,optimized_router,1,0
118,legacy_router,0,0
119,optimized_router,0,0
120,optimized_router,1,1
121,legacy_router,0,0
122,optimized_router,1,0
123,legacy_router,1,0
124,legacy_router,1,0
125,optimized_router,1,1
126,legacy_router,1,0
127,optimized_router,1,1
128,legacy_router,0,0
129,legacy_router,0,0
130,optimized_router,1,0
131,legacy_router,1,0
132,legacy_router,1,0
133,legacy_router,1,0
134,legacy_router,1,1
135,legacy_router,0,0
136,legacy_router,1,0
137,legacy_router,1,1
138,legacy_router,0,0
139,optimized_router,1,1
140,optimized_router,1,1
141,optimized_router,0,0
142,optimized_router,0,0
143,legacy_router,1,0
144,legacy_router,1,0
145,optimized_router,1,1
146,legacy_router,1,0
147,legacy_router,1,0
148,legacy_router,0,0
149,optimized_router,1,1
150,optimized_router,1,0
151,optimized_router,1,0
152,legacy_router,1,0
153,optimized_router,1,0
154,optimized_router,1,1
155,legacy_router,0,0
156,legacy_router,0,0
157,optimized_router,1,0
158,legacy_router,1,0
159,legacy_router,1,0
160,optimized_router,0,0
161,optimized_router,1,1
162,optimized_router,1,0
163,optimized_router,1,0
164,legacy_router,1,0
165,optimized_router,1,1
166,optimized_router,1,1
167,legacy_router,0,0
168,optimized_router,1,0
169,legacy_router,1,0
170,optimized_router,1,0
171,legacy_router,0,0
172,optimized_router,1,1
173,legacy_router,1,0
174,legacy_router,1,0
175,legacy_router,1,0
176,legacy_router,0,0
177,legacy_router,0,0
178,legacy_router,0,0
179,legacy_router,0,0
180,legacy_router,0,0
181,legacy_router,1,0
182,legacy_router,0,0
183,legacy_router,1,0
184,legacy_router,1,0
185,legacy_router,1,0
186,legacy_router,1,0
187,optimized_router,1,0
188,optimized_router,1,1
189,optimized_router,1,0
190,legacy_router,1,0
191,legacy_router,1,0
192,legacy_router,1,0
193,optimized_router,1,0
194,optimized_router,1,0
195,legacy_router,1,0
196,legacy_router,1,0
197,legacy_router,1,0
198,legacy_router,1,0
199,optimized_router,0,0
200,legacy_router,0,0
201,legacy_router,1,0
202,legacy_router,1,0
203,optimized_router,1,1
204,legacy_router,1,0
205,optimized_router,1,0
206,optimized_router,1,0
207,optimized_router,1,1
208,optimized_router,0,0
209,optimized_router,1,1
210,optimized_router,0,0
211,optimized_router,1,0
212,optimized_router,0,0
213,legacy_router,0,0
214,legacy_router,0,0
215,optimized_router,1,1
216,legacy_router,1,0
217,legacy_router,0,0
218,legacy_router,1,0
219,optimized_router,1,1
220,legacy_router,0,0
221,optimized_router,1,1
222,legacy_router,0,0
223,optimized_router,1,1
224,optimized_router,0,0
225,optimized_router,1,0
226,optimized_router,1,0
227,optimized_router,1,0
228,optimized_router,1,0
229,legacy_router,0,0
230,optimized_router,1,0
231,legacy_router,1,0
232,legacy_router,1,0
233,legacy_router,1,0
234,optimized_router,1,1
235,optimized_router,1,0
236,optimized_router,1,0
237,optimized_router,1,1
238,optimized_router,1,1
239,optimized_router,1,0
240,optimized_router,1,0
241,optimized_router,1,0
242,optimized_router,1,0
243,optimized_router,1,1
244,legacy_router,0,0
245,optimized_router,1,0
246,legacy_router,1,0
247,legacy_router,0,0
248,legacy_router,1,0
249,optimized_router,1,1
250,optimized_router,1,0
251,optimized_router,1,0
252,optimized_router,1,0
253,optimized_router,0,0
254,optimized_router,1,1
255,legacy_router,1,0
256,optimized_router,1,0
257,legacy_router,0,0
258,optimized_router,1,0
259,optimized_router,1,0
260,legacy_router,1,0
261,legacy_router,1,0
262,legacy_router,1,0
263,legacy_router,0,0
264,optimized_router,1,0
265,optimized_router,1,1
266,optimized_router,0,0
267,optimized_router,1,0
268,legacy_router,1,0
269,legacy_router,0,0
270,optimized_router,1,0
271,legacy_router,0,0
272,legacy_router,0,0
273,legacy_router,1,0
274,legacy_router,0,0
275,optimized_router,1,1
276,legacy_router,1,0
277,legacy_router,0,0
278,optimized_router,1,0
279,legacy_router,1,0
280,optimized_router,1,0
281,legacy_router,0,0
282,legacy_router,1,0
283,legacy_router,1,0
284,optimized_router,1,1
285,legacy_router,1,0
286,legacy_router,0,0
287,optimized_router,1,1
288,optimized_router,0,0
289,legacy_router,0,0
290,optimized_router,0,0
291,optimized_router,0,0
292,optimized_router,0,0
293,optimized_router,0,0
294,legacy_router,0,0
295,legacy_router,1,0
296,optimized_router,1,0
297,legacy_router,1,0
298,legacy_router,1,0
299,legacy_router,1,0
300,legacy_router,0,0
301,legacy_router,1,0
302,legacy_router,0,0
303,legacy_router,0,0
304,legacy_router,1,1
305,optimized_router,1,0
306,legacy_router,1,0
307,optimized_router,1,0
308,legacy_router,0,0
309,optimized_router,1,0
310,optimized_router,1,0
311,legacy_router,0,0
312,legacy_router,1,0
313,optimized_router,0,0
314,optimized_router,1,1
315,legacy_router,0,0
316,optimized_router,1,0
317,legacy_router,1,0
318,optimized_router,1,0
319,legacy_router,0,0
320,optimized_router,0,0
321,optimized_router,1,0
322,legacy_router,0,0
323,optimized_router,1,0
324,legacy_router,1,0
325,optimized_router,0,0
326,legacy_router,1,0
327,optimized_router,1,0
328,optimized_router,1,0
329,optimized_router,0,0
330,legacy_router,1,0
331,legacy_router,1,0
332,optimized_router,1,0
333,legacy_router,0,0
334,optimized_router,1,0
335,optimized_router,1,0
336,legacy_router,1,0
337,legacy_router,0,0
338,legacy_router,1,0
339,legacy_router,0,0
340,optimized_router,1,0
341,optimized_router,1,0
342,optimized_router,1,0
343,legacy_router,1,1
344,legacy_router,1,0
