customer_id,engagement_score,value_score,cluster_run1,cluster_run2
1,33.5,303.29,0,2
2,77.5,666.17,3,3
3,41.9,113.59,0,0
4,79.9,720.4,3,3
5,28.9,279.19,0,2
6,45.9,237.44,0,0
7,100.0,562.01,1,3
8,26.9,74.22,0,0
9,65.3,451.12,1,1
10,100.0,521.14,1,1
11,78.6,590.3,3,3
12,100.0,414.45,1,1
13,37.0,108.34,0,0
14,23.0,95.06,0,0
15,46.3,180.26,0,0
16,34.9,10.0,0,0
17,57.9,272.89,0,0
18,86.6,605.27,3,3
19,73.2,599.45,3,3
20,57.8,328.18,2,0
21,63.4,699.14,3,3
22,2.8,403.57,2,2
23,52.7,678.31,3,3
24,52.0,125.07,0,0
25,14.2,436.35,2,2
26,23.6,174.2,0,0
27,33.6,204.22,0,0
28,29.8,216.0,0,0
29,18.8,315.38,0,2
30,40.0,335.87,2,2
31,55.0,366.84,2,0
32,52.7,300.67,0,0
33,53.0,511.41,2,1
34,72.4,616.3,3,3
35,41.2,343.09,2,2
36,98.0,424.91,1,1
37,54.1,247.38,0,0
38,82.2,599.84,3,3
39,25.0,264.03,0,2
40,89.5,578.99,1,3
41,46.5,301.86,0,0
42,53.8,373.15,2,2
43,62.7,279.37,0,0
44,48.4,494.15,2,2
45,37.4,365.45,2,2
46,77.7,803.36,3,3
47,77.2,591.85,3,3
48,82.3,618.63,3,3
49,50.1,154.91,0,0
50,55.4,601.2,3,1
51,36.7,301.72,0,2
52,12.1,446.12,2,2
53,80.4,344.98,1,1
54,51.6,803.4,3,3
55,91.2,639.12,3,3
56,47.3,337.56,2,0
57,47.1,293.02,0,0
58,100.0,582.94,1,3
59,29.6,382.86,2,2
60,100.0,692.4,3,3
61,18.2,423.15,2,2
62,58.7,474.05,2,1
63,71.6,626.61,3,3
64,66.8,724.19,3,3
65,10.8,213.99,0,2
66,74.5,441.84,1,1
67,13.9,300.81,0,2
68,68.7,858.34,3,3
69,79.7,454.33,1,1
70,43.4,528.42,2,2
71,35.8,259.5,0,0
72,44.1,395.08,2,2
73,79.9,663.4,3,3
74,56.0,251.28,0,0
75,46.4,733.48,3,3
76,33.4,353.71,2,2
77,78.0,628.04,3,3
78,96.7,435.33,1,1
79,100.0,638.56,3,3
80,15.8,258.6,0,2
81,37.9,434.32,2,2
82,65.0,649.33,3,3
83,49.2,284.78,0,0
84,8.9,301.81,0,2
85,53.4,230.12,0,0
86,79.8,582.5,1,1
87,67.0,501.4,1,1
88,48.8,382.46,2,2
89,89.4,541.96,1,1
90,79.3,668.99,3,3
91,7.6,235.91,0,2
92,76.2,459.64,1,1
93,32.2,164.86,0,0
94,94.4,430.58,1,1
95,38.2,318.85,0,2
96,61.9,402.9,2,1
97,65.6,843.82,3,3
98,56.8,382.7,2,1
99,6.6,252.15,0,2
100,24.7,413.46,2,2
101,79.0,657.38,3,3
102,41.8,229.96,0,0
103,1.4,416.23,2,2
104,27.3,306.33,0,2
105,63.0,281.6,0,0
106,83.8,432.12,1,1
107,43.6,351.43,2,2
108,51.1,29.54,0,0
109,38.5,252.8,0,0
110,51.2,527.29,2,1
111,65.8,678.38,3,3
112,37.3,331.41,2,2
113,97.4,634.15,3,3
114,89.9,730.0,3,3
115,77.8,939.08,3,3
116,39.3,298.0,0,0
117,58.6,224.73,0,0
118,41.3,101.41,0,0
119,1.5,316.15,0,2
120,36.1,322.0,0,2
121,15.4,411.82,2,2
122,100.0,721.67,3,3
123,24.0,422.46,2,2
124,66.6,776.52,3,3
125,69.9,718.82,3,3
126,89.6,655.54,3,3
127,84.8,507.4,1,1
128,50.9,619.86,2,1
129,90.0,549.33,1,1
130,84.8,791.39,3,3
131,34.7,397.63,2,2
132,37.7,304.88,0,2
133,19.2,345.12,2,2
134,5.5,153.57,0,2
135,51.1,166.61,0,0
136,59.4,624.33,3,3
137,91.6,486.75,1,1
138,55.4,301.31,0,0
139,61.1,505.1,1,1
140,76.1,320.19,1,1
141,95.7,689.1,3,3
142,82.8,648.38,3,3
143,55.8,253.98,0,0
144,68.6,422.0,1,1
145,42.7,272.18,0,0
146,87.4,561.58,1,1
147,62.5,478.9,1,1
148,27.4,152.79,0,0
149,91.2,555.02,1,1
150,87.9,330.04,1,1
151,44.7,204.09,0,0
152,100.0,562.76,1,3
153,68.7,575.69,1,1
154,53.4,374.16,2,2
155,49.9,314.92,0,0
156,54.2,613.42,3,1
157,74.1,670.83,3,3
158,30.5,316.29,0,2
159,69.2,491.09,1,1
160,47.4,474.49,2,2
161,60.8,526.37,1,1
162,73.2,847.48,3,3
163,77.7,684.17,3,3
164,82.0,703.48,3,3
165,81.8,767.55,3,3
166,46.6,374.11,2,2
167,21.7,120.96,0,0
168,87.9,439.49,1,1
