user_id,plan,engagement_score,workflows_first_month,workflows_total,tenure_months,churned
1,pro,11.6,6,9,1,1
2,team,30.3,5,13,2,1
3,free,46.3,6,24,4,1
4,free,42.3,8,9,1,1
5,free,79.7,7,224,25,0
6,pro,64.7,12,96,13,0
7,pro,49.9,11,64,10,0
8,free,30.9,5,9,1,1
9,team,20.9,1,5,2,1
10,pro,52.7,10,19,2,1
11,pro,16.2,2,3,1,1
12,pro,93.8,7,159,17,0
13,pro,21.9,1,1,1,1
14,pro,30.6,4,7,2,1
15,free,58.4,11,92,14,0
16,team,25.3,3,7,1,1
17,free,48.2,6,20,3,1
18,pro,47.3,3,10,1,1
19,free,86.1,7,194,21,0
20,pro,37.9,2,14,3,1
21,pro,57.8,6,152,24,0
22,free,42.4,8,21,2,1
23,team,72.3,8,196,24,0
24,pro,45.9,5,25,2,1
25,team,44.8,4,7,1,1
26,free,38.8,5,42,10,0
27,free,72.5,8,130,17,0
28,pro,15.7,1,5,2,1
29,free,59.0,2,128,22,0
30,pro,33.6,1,31,7,0
31,team,42.8,9,29,5,1
32,free,76.2,9,226,22,0
33,team,62.2,6,126,19,0
34,pro,76.7,13,167,21,0
35,free,40.6,5,20,4,1
36,pro,52.9,10,135,22,0
37,team,38.3,7,9,1,1
38,pro,66.8,4,121,18,0
39,free,64.9,11,102,14,0
40,free,59.2,4,107,19,0
41,pro,14.3,2,3,1,1
42,pro,59.7,6,18,2,1
43,free,27.8,3,8,2,1
44,free,22.3,2,4,1,1
45,free,26.5,3,5,1,1
46,pro,46.8,3,59,11,0
47,pro,42.4,9,26,3,1
48,pro,91.7,17,308,28,0
49,free,55.7,4,14,2,1
50,free,46.1,2,9,1,1
51,free,33.8,4,36,11,0
52,free,18.5,2,3,1,1
53,free,25.6,6,7,1,1
54,free,44.2,2,23,4,1
55,team,46.7,1,98,16,0
56,team,14.2,1,4,1,1
57,free,70.5,9,133,21,0
58,free,13.1,0,0,1,1
59,pro,91.2,12,140,14,0
60,pro,28.2,4,37,11,0
61,free,52.0,4,12,1,1
