session_id,customer_ltv_score,arm,propensity,revenue_per_session
1,54.9,standard_price,0.5199,34.66
2,63.6,aggressive_discount,0.5774,36.99
3,38.3,aggressive_discount,0.3044,30.76
4,31.8,standard_price,0.7538,11.05
5,10.2,standard_price,0.89,0.0
6,69.4,standard_price,0.3605,65.41
7,50.3,aggressive_discount,0.4289,29.04
8,54.1,aggressive_discount,0.4712,41.22
9,34.3,standard_price,0.7323,19.8
10,74.5,aggressive_discount,0.6905,65.06
11,68.9,standard_price,0.3657,79.3
12,47.6,standard_price,0.6006,50.26
13,38.9,standard_price,0.6899,53.58
14,42.9,standard_price,0.6501,20.54
15,34.0,standard_price,0.735,20.27
16,50.5,aggressive_discount,0.4311,41.17
17,37.7,aggressive_discount,0.2987,25.38
18,61.7,aggressive_discount,0.5564,44.92
19,42.8,aggressive_discount,0.3489,27.9
20,42.9,aggressive_discount,0.3499,25.39
21,80.7,standard_price,0.2532,70.52
22,35.5,standard_price,0.7216,20.98
23,18.6,standard_price,0.8472,0.09
24,57.3,standard_price,0.4929,34.55
25,8.4,standard_price,0.8977,0.0
26,55.3,standard_price,0.5154,51.11
27,69.6,aggressive_discount,0.6415,53.1
28,51.4,aggressive_discount,0.441,30.61
29,50.2,standard_price,0.5722,41.67
30,9.0,standard_price,0.8952,0.0
31,61.1,standard_price,0.4503,54.0
32,57.9,aggressive_discount,0.5139,60.85
33,26.6,standard_price,0.7946,16.39
34,88.3,standard_price,0.1941,74.7
35,25.5,standard_price,0.8026,2.37
36,16.4,aggressive_discount,0.1404,6.49
37,13.8,standard_price,0.8731,7.2
38,50.5,aggressive_discount,0.4311,34.87
39,56.8,aggressive_discount,0.5015,33.42
40,58.8,aggressive_discount,0.524,37.3
41,43.3,aggressive_discount,0.354,23.93
42,33.7,standard_price,0.7376,44.9
43,66.9,aggressive_discount,0.6131,51.34
44,32.0,standard_price,0.7521,14.54
45,25.8,aggressive_discount,0.1996,20.3
46,78.0,aggressive_discount,0.7231,79.78
47,53.6,aggressive_discount,0.4656,28.81
48,59.4,aggressive_discount,0.5307,55.94
49,62.5,aggressive_discount,0.5653,44.36
50,38.6,standard_price,0.6927,28.58
51,39.3,aggressive_discount,0.314,17.53
52,62.8,aggressive_discount,0.5686,64.61
53,37.7,standard_price,0.7013,28.92
54,56.7,standard_price,0.4996,54.62
55,48.2,standard_price,0.5941,41.11
56,26.1,standard_price,0.7983,22.43
57,69.3,standard_price,0.3616,64.07
58,24.2,aggressive_discount,0.1883,4.44
59,54.7,aggressive_discount,0.4779,55.26
60,51.3,standard_price,0.5601,58.17
61,75.3,aggressive_discount,0.6981,71.12
62,27.6,standard_price,0.7872,15.3
63,39.1,standard_price,0.6879,14.38
64,48.0,standard_price,0.5963,34.73
65,53.6,aggressive_discount,0.4656,26.68
66,67.4,aggressive_discount,0.6185,49.96
67,56.2,aggressive_discount,0.4948,56.07
68,50.5,aggressive_discount,0.4311,36.4
69,70.6,aggressive_discount,0.6518,59.94
70,91.9,aggressive_discount,0.83,79.88
71,22.9,standard_price,0.8205,0.0
72,49.9,standard_price,0.5755,49.52
73,65.2,standard_price,0.4052,65.54
74,51.7,standard_price,0.5556,31.09
75,78.7,aggressive_discount,0.7294,70.34
76,43.3,aggressive_discount,0.354,37.02
77,29.7,standard_price,0.7709,0.4
78,67.4,aggressive_discount,0.6185,46.1
79,0.0,standard_price,0.9276,0.0
80,40.5,standard_price,0.6743,33.18
81,97.3,aggressive_discount,0.8616,93.37
82,50.5,aggressive_discount,0.4311,47.31
83,57.2,standard_price,0.494,50.01
84,31.0,standard_price,0.7604,9.06
85,49.5,standard_price,0.5799,31.28
86,47.2,standard_price,0.6049,51.23
87,87.2,aggressive_discount,0.798,75.96
88,29.8,aggressive_discount,0.2299,6.47
89,0.0,standard_price,0.9276,0.0
90,58.1,aggressive_discount,0.5161,48.72
91,81.0,standard_price,0.2507,75.29
92,36.2,aggressive_discount,0.2848,22.02
93,13.5,standard_price,0.8746,0.0
94,28.5,standard_price,0.7803,15.9
95,58.7,aggressive_discount,0.5229,53.69
96,38.8,standard_price,0.6908,33.38
97,50.8,aggressive_discount,0.4344,34.94
98,2.8,standard_price,0.9186,0.0
99,39.6,standard_price,0.6831,27.52
100,65.8,standard_price,0.3987,53.96
101,44.7,standard_price,0.6315,43.42
102,29.5,standard_price,0.7725,8.25
103,71.0,standard_price,0.3441,65.85
104,69.7,aggressive_discount,0.6426,46.39
105,40.7,standard_price,0.6723,19.2
106,35.2,aggressive_discount,0.2757,25.32
107,75.6,standard_price,0.299,71.36
108,39.0,aggressive_discount,0.3111,22.98
109,46.7,standard_price,0.6103,43.09
110,86.0,aggressive_discount,0.7892,82.7
111,53.7,standard_price,0.5333,45.72
112,40.1,standard_price,0.6782,36.93
113,10.5,standard_price,0.8887,0.0
114,50.7,aggressive_discount,0.4333,23.66
115,48.3,standard_price,0.593,31.13
116,37.5,standard_price,0.7032,34.52
117,68.5,standard_price,0.3699,46.89
118,24.2,standard_price,0.8117,10.2
119,18.3,standard_price,0.849,2.27
120,34.2,standard_price,0.7332,37.27
121,48.9,aggressive_discount,0.4135,46.28
122,19.4,standard_price,0.8425,0.0
123,25.8,standard_price,0.8004,10.21
124,32.4,standard_price,0.7488,18.73
125,48.2,aggressive_discount,0.4059,38.73
126,34.6,aggressive_discount,0.2703,15.57
127,68.1,aggressive_discount,0.6259,61.57
128,4.2,aggressive_discount,0.0862,0.0
129,56.4,standard_price,0.503,39.78
130,36.3,standard_price,0.7143,29.9
131,57.5,aggressive_discount,0.5094,25.94
132,87.7,aggressive_discount,0.8016,58.56
133,46.7,aggressive_discount,0.3897,37.59
134,52.1,aggressive_discount,0.4488,40.27
135,64.8,aggressive_discount,0.5905,53.55
136,21.6,aggressive_discount,0.1711,9.21
137,61.4,standard_price,0.447,45.56
138,64.4,standard_price,0.4139,52.11
139,45.4,aggressive_discount,0.3759,41.7
140,61.2,standard_price,0.4492,57.2
141,50.7,aggressive_discount,0.4333,48.15
142,32.9,standard_price,0.7445,13.17
143,21.9,standard_price,0.827,12.27
144,67.8,standard_price,0.3773,73.33
145,83.8,aggressive_discount,0.7722,66.88
146,32.5,standard_price,0.7479,17.99
147,55.6,aggressive_discount,0.488,49.94
148,23.9,standard_price,0.8137,8.11
149,38.8,standard_price,0.6908,30.19
150,38.3,standard_price,0.6956,20.05
151,25.5,aggressive_discount,0.1974,11.9
152,46.8,aggressive_discount,0.3908,23.01
