session_id,user_engagement_score,arm,propensity,clicked
1,25.4,variant_a,0.8033,0
2,55.3,variant_b,0.4846,0
3,49.9,variant_b,0.4245,1
4,60.0,variant_b,0.5374,0
5,23.5,variant_a,0.8165,1
6,72.2,variant_b,0.668,0
7,51.9,variant_a,0.5534,1
8,26.6,variant_a,0.7946,0
9,22.8,variant_a,0.8211,1
10,23.9,variant_b,0.1863,1
11,35.6,variant_a,0.7207,0
12,73.7,variant_b,0.6828,1
13,67.9,variant_a,0.3762,1
14,39.1,variant_a,0.6879,0
15,39.1,variant_b,0.3121,0
16,88.6,variant_b,0.808,1
17,68.1,variant_a,0.3741,1
18,33.9,variant_a,0.7358,0
19,47.0,variant_a,0.6071,1
20,41.4,variant_a,0.6653,0
21,53.0,variant_b,0.4588,1
22,67.6,variant_a,0.3794,1
23,44.5,variant_a,0.6336,0
24,57.4,variant_a,0.4918,0
25,61.4,variant_b,0.553,0
26,65.7,variant_b,0.6002,0
27,37.4,variant_a,0.7041,0
28,45.6,variant_a,0.622,0
29,89.4,variant_b,0.8135,1
30,46.3,variant_b,0.3854,1
31,50.6,variant_b,0.4322,0
32,58.8,variant_a,0.476,1
33,38.5,variant_a,0.6937,1
34,42.2,variant_a,0.6572,0
35,83.6,variant_a,0.2293,1
36,75.9,variant_b,0.7038,1
37,27.9,variant_a,0.7849,0
38,51.3,variant_a,0.5601,1
39,24.2,variant_b,0.1883,0
40,19.4,variant_a,0.8425,0
41,50.1,variant_b,0.4267,0
42,80.5,variant_b,0.7451,1
43,48.4,variant_a,0.5919,0
44,79.4,variant_a,0.2644,1
45,28.9,variant_b,0.2228,0
46,52.7,variant_a,0.5445,0
47,51.6,variant_b,0.4432,1
48,51.7,variant_b,0.4444,1
49,69.9,variant_a,0.3554,0
50,61.5,variant_b,0.5542,1
51,39.0,variant_b,0.3111,0
52,23.0,variant_a,0.8198,0
53,38.9,variant_a,0.6899,0
54,49.6,variant_a,0.5788,0
55,39.0,variant_a,0.6889,1
56,19.5,variant_a,0.8419,1
57,14.7,variant_b,0.1314,0
58,66.2,variant_a,0.3944,0
59,55.1,variant_b,0.4824,0
60,38.3,variant_a,0.6956,0
61,58.8,variant_a,0.476,1
62,59.9,variant_a,0.4637,0
63,45.7,variant_a,0.6209,0
64,41.5,variant_a,0.6643,0
65,73.0,variant_b,0.6759,1
66,67.1,variant_b,0.6153,0
67,78.7,variant_b,0.7294,1
68,70.2,variant_a,0.3523,1
69,55.2,variant_a,0.5165,0
70,41.0,variant_a,0.6693,0
71,43.1,variant_a,0.6481,1
72,38.1,variant_b,0.3025,0
73,51.3,variant_a,0.5601,1
74,54.2,variant_a,0.5277,0
75,73.3,variant_b,0.6789,1
76,77.0,variant_b,0.714,1
77,49.6,variant_b,0.4212,1
78,57.8,variant_a,0.4873,0
79,26.5,variant_a,0.7954,0
80,36.4,variant_a,0.7134,1
