user_id,user_segment,platform,period,sessions_7d
1,new,ios,before,3
2,new,android,after,1
3,new,web,after,2
4,new,ios,before,4
5,new,web,before,3
6,returning,android,after,8
7,new,web,before,6
8,returning,ios,after,3
9,new,ios,before,4
10,new,ios,before,1
11,returning,android,after,10
12,returning,web,after,9
13,returning,android,after,4
14,new,ios,after,0
15,returning,ios,after,4
16,returning,android,after,8
17,new,web,after,2
18,returning,ios,before,9
19,new,android,after,6
20,returning,android,before,9
21,returning,web,after,9
22,returning,web,before,10
23,returning,ios,before,14
24,returning,android,after,4
25,returning,web,after,5
26,returning,web,after,3
27,returning,android,before,7
28,returning,ios,after,6
29,returning,android,after,5
30,returning,android,before,12
31,new,ios,before,3
32,returning,web,before,12
33,new,ios,before,2
34,new,web,after,5
35,new,ios,after,4
36,new,ios,before,3
37,returning,android,after,5
38,returning,android,after,10
39,new,web,before,1
40,returning,android,after,10
41,returning,ios,before,9
42,new,web,after,3
43,returning,android,after,4
44,returning,ios,before,4
45,returning,web,before,9
46,returning,ios,after,8
47,returning,ios,before,5
48,returning,android,after,8
49,new,android,after,1
50,returning,android,after,8
51,returning,web,after,14
52,returning,ios,before,7
53,new,web,before,2
54,returning,ios,before,8
55,returning,ios,before,8
56,returning,ios,before,12
57,returning,ios,after,4
58,new,ios,before,0
59,new,web,after,2
60,returning,web,after,8
61,new,android,after,2
62,returning,ios,after,5
63,new,web,before,4
64,new,ios,after,0
65,returning,android,before,10
66,new,android,before,6
67,returning,ios,after,10
68,new,android,before,4
69,new,web,before,3
70,new,ios,before,5
71,returning,android,after,7
72,new,web,before,0
73,returning,ios,before,8
74,returning,ios,before,14
75,new,android,after,2
76,returning,web,before,6
77,new,ios,before,6
78,new,android,before,3
79,new,ios,after,2
80,new,web,after,7
81,returning,web,after,6
82,new,android,before,5
83,new,web,before,6
84,returning,android,after,5
85,returning,web,after,12
86,returning,ios,after,8
87,new,ios,before,3
88,returning,web,before,8
89,new,ios,after,0
90,returning,ios,after,7
91,returning,android,before,9
92,returning,android,after,6
93,returning,ios,after,7
94,new,ios,before,5
95,new,ios,after,2
96,new,ios,before,3
97,new,ios,before,2
98,returning,android,after,13
99,returning,android,after,7
100,new,ios,before,1
101,returning,ios,after,8
102,new,android,before,2
103,returning,ios,after,7
104,new,ios,before,3
105,new,ios,after,1
106,new,android,after,3
107,returning,ios,after,5
108,returning,ios,after,9
109,new,android,before,1
110,new,web,after,1
111,new,android,before,2
112,new,web,after,3
113,returning,android,after,6
114,returning,ios,before,6
115,returning,ios,after,4
116,returning,ios,after,9
117,new,ios,before,1
118,new,ios,before,3
119,new,ios,before,2
120,new,android,before,4
121,new,android,before,1
122,returning,ios,after,8
123,new,android,after,2
124,returning,ios,before,10
125,returning,android,after,12
126,returning,android,after,17
127,returning,ios,before,6
128,new,ios,after,5
129,returning,web,after,7
130,returning,android,after,8
131,returning,android,after,7
132,returning,ios,after,7
133,returning,ios,before,11
134,returning,ios,after,8
135,returning,web,after,3
136,new,ios,before,3
137,new,ios,after,5
138,new,web,before,1
139,new,android,before,3
140,new,ios,before,1
141,new,android,after,6
142,returning,android,before,10
143,new,web,before,5
144,new,ios,before,2
145,new,android,after,2
146,returning,ios,after,10
147,new,web,before,4
148,new,web,before,1
149,returning,web,after,7
150,returning,web,before,8
151,returning,android,after,4
152,new,ios,before,2
153,new,ios,after,3
154,new,ios,before,2
155,new,android,before,2
156,returning,ios,after,15
157,returning,android,before,3
158,new,android,after,2
159,returning,web,after,8
160,returning,ios,after,8
161,new,android,after,1
162,new,android,after,2
163,new,web,before,3
164,returning,android,before,9
165,new,ios,before,4
166,returning,ios,after,6
167,new,web,before,3
168,returning,android,before,10
169,new,web,before,3
170,new,android,before,5
171,new,android,before,4
172,new,android,before,4
173,returning,web,after,5
174,new,web,after,1
175,returning,ios,after,8
176,new,ios,before,1
177,returning,ios,after,7
178,returning,ios,before,5
179,returning,web,after,4
180,new,web,after,1
181,returning,ios,after,7
182,new,ios,before,0
183,new,android,before,0
184,new,web,after,1
185,new,android,before,3
186,returning,ios,before,6
187,new,ios,before,4
188,new,android,before,3
189,new,android,before,4
190,new,web,before,5
191,returning,web,after,12
192,returning,ios,after,5
193,new,ios,after,1
194,returning,ios,before,9
195,new,ios,after,5
196,new,ios,before,2
197,new,ios,before,0
198,new,ios,before,4
199,returning,web,before,9
200,returning,ios,after,8
201,new,web,before,3
202,returning,ios,after,9
203,new,ios,before,3
204,returning,ios,after,9
205,new,ios,before,6
206,returning,ios,before,9
207,returning,web,after,5
208,returning,web,after,9
209,returning,ios,before,9
210,returning,ios,after,14
211,new,ios,before,5
212,returning,android,after,5
213,returning,ios,after,9
214,returning,ios,before,7
215,returning,web,after,6
216,returning,web,before,12
217,new,android,before,5
218,new,ios,before,3
219,new,ios,before,3
220,returning,ios,after,5
221,new,android,before,3
222,new,android,before,1
223,new,ios,after,1
224,new,web,before,4
225,returning,android,after,12
226,returning,android,before,9
227,new,ios,after,0
228,returning,ios,after,13
229,returning,ios,after,7
230,new,android,before,5
231,returning,ios,before,8
232,new,ios,after,5
233,new,android,before,7
234,returning,android,after,10
235,new,android,before,4
236,new,android,after,2
237,returning,android,after,11
238,returning,android,before,7
239,new,ios,before,3
240,returning,ios,after,6
241,new,ios,before,2
242,returning,ios,after,10
243,new,android,before,6
244,returning,android,after,7
245,new,ios,after,2
246,returning,android,before,2
247,returning,android,after,7
248,new,android,before,2
249,returning,web,after,6
250,new,ios,before,2
251,new,ios,before,2
252,new,ios,before,1
253,new,android,before,2
254,new,ios,before,4
255,new,web,after,1
256,new,ios,before,3
257,returning,android,after,7
258,new,android,before,2
259,returning,ios,before,8
260,new,android,after,2
261,returning,android,after,9
262,returning,android,before,4
263,new,android,before,1
264,new,android,after,1
265,returning,ios,after,9
266,new,android,after,3
267,new,ios,before,4
268,new,ios,before,1
269,new,ios,after,5
270,returning,android,after,8
271,returning,ios,before,5
272,new,web,before,3
273,new,ios,before,2
274,returning,ios,after,3
275,new,ios,before,4
276,new,ios,before,4
277,new,ios,before,2
278,new,android,after,3
279,new,ios,before,1
280,returning,ios,before,13
281,new,ios,before,3
282,returning,ios,before,9
283,returning,web,after,8
284,returning,ios,before,14
285,new,android,before,2
286,returning,android,after,6
287,returning,ios,before,8
288,returning,web,after,10
289,new,ios,after,2
290,returning,web,before,6
291,returning,android,after,8
292,returning,ios,before,8
293,returning,web,after,8
294,returning,ios,before,2
295,new,web,after,3
296,returning,web,after,5
297,returning,ios,after,6
298,new,ios,before,1
299,new,web,before,7
300,new,ios,before,6
301,new,android,before,3
302,new,ios,after,0
303,new,ios,before,4
304,returning,android,after,5
305,new,android,after,2
306,new,android,before,2
307,new,android,before,5
308,returning,ios,after,9
309,returning,ios,before,7
310,returning,ios,before,8
311,returning,ios,after,7
312,returning,ios,after,5
313,new,android,before,5
314,new,ios,before,3
315,new,ios,before,4
316,returning,android,after,11
317,returning,ios,after,8
318,new,web,after,4
319,new,ios,after,3
320,new,ios,after,3
321,returning,web,before,8
322,returning,android,before,10
323,new,web,after,1
324,returning,ios,after,8
325,new,ios,after,0
326,new,android,before,5
327,new,ios,before,1
328,new,android,before,3
329,returning,ios,before,3
330,new,ios,after,2
331,returning,ios,after,5
332,returning,android,before,10
333,new,ios,before,0
334,new,web,after,4
335,new,ios,before,3
336,new,android,after,2
337,new,ios,after,4
338,new,android,before,2
339,new,web,before,2
340,new,android,after,1
341,returning,ios,after,9
342,returning,android,before,14
343,returning,ios,after,5
344,returning,android,after,8
345,returning,android,after,10
346,returning,ios,before,7
347,returning,android,after,10
348,returning,android,after,5
349,new,ios,before,4
350,new,ios,before,4
351,returning,ios,after,6
352,new,android,before,6
353,new,android,before,2
354,new,ios,before,1
355,returning,ios,after,9
356,returning,ios,after,7
357,returning,ios,before,5
358,new,ios,after,1
359,returning,ios,before,6
360,new,ios,after,2
361,new,android,after,3
362,returning,android,after,7
363,new,ios,before,4
364,new,android,after,3
365,returning,ios,before,4
366,returning,ios,after,15
367,returning,web,before,5
368,new,android,before,2
369,returning,ios,before,5
370,returning,ios,after,5
371,new,android,before,5
372,returning,ios,after,7
373,returning,web,before,5
374,new,ios,before,2
375,new,ios,after,2
376,new,android,before,6
377,returning,android,after,4
378,new,android,after,1
379,new,web,before,7
380,new,web,before,3
381,new,ios,before,6
382,returning,ios,after,3
383,returning,ios,after,5
384,returning,android,before,6
385,new,android,before,2
386,new,ios,before,3
387,returning,web,before,9
388,returning,ios,after,11
389,returning,web,after,12
390,new,web,before,1
391,returning,ios,after,6
392,new,ios,before,2
393,new,ios,before,2
394,returning,web,after,5
395,new,ios,after,0
396,new,web,after,0
397,new,android,before,1
398,new,android,before,2
399,returning,web,before,14
400,new,ios,before,2
401,new,android,after,5
402,returning,ios,after,3
403,new,ios,before,4
404,returning,ios,after,7
405,new,ios,before,3
406,returning,android,after,16
407,returning,ios,before,10
408,new,android,before,1
409,returning,ios,after,4
410,returning,android,before,8
411,new,web,before,4
412,new,android,before,4
413,new,web,before,2
414,new,ios,before,3
415,new,ios,before,2
416,returning,android,after,7
417,new,ios,after,4
418,returning,android,before,5
419,new,android,before,4
420,new,ios,after,2
421,returning,web,after,8
422,returning,ios,after,8
423,returning,android,after,7
424,new,ios,after,2
425,new,android,before,3
426,new,ios,before,3
427,returning,web,after,8
428,returning,web,after,6
429,new,android,before,2
430,returning,android,after,9
431,new,android,before,0
432,new,android,after,5
433,returning,android,after,8
434,new,android,before,1
435,new,web,before,2
436,new,android,before,2
437,returning,ios,after,7
438,returning,web,after,6
439,new,ios,before,6
440,new,ios,before,5
441,returning,web,after,7
442,new,ios,before,6
443,new,ios,before,3
444,returning,android,before,7
445,returning,web,after,10
446,returning,ios,after,12
447,new,android,before,3
448,returning,ios,after,7
449,returning,ios,after,11
450,returning,ios,before,9
451,new,ios,after,3
452,new,web,after,5
453,new,android,before,3
454,new,web,before,4
455,returning,web,after,6
456,new,web,after,1
457,new,android,before,3
458,new,ios,after,3
459,returning,web,after,10
460,new,android,before,5
461,returning,ios,after,6
462,returning,ios,before,6
463,new,ios,after,4
464,returning,android,before,9
465,new,android,before,1
466,new,android,after,5
467,returning,ios,before,6
468,returning,ios,after,6
469,new,web,before,3
470,returning,ios,after,6
471,returning,ios,after,15
472,returning,android,after,9
473,new,web,before,5
474,returning,android,before,12
475,new,android,after,3
476,returning,ios,after,6
477,new,web,after,2
478,new,android,before,2
479,returning,android,after,6
480,new,ios,before,1
481,returning,android,before,0
482,new,ios,after,1
483,returning,android,before,8
484,new,android,after,1
485,new,android,before,5
486,new,ios,before,2
487,returning,web,before,7
488,new,ios,after,3
489,returning,android,after,8
490,new,ios,after,3
491,new,ios,after,4
492,new,web,after,3
493,returning,ios,after,7
494,returning,web,after,5
495,new,ios,before,3
496,new,android,before,0
497,new,ios,before,3
498,returning,android,before,2
499,returning,web,after,7
500,returning,android,before,5
501,returning,ios,before,11
502,returning,android,after,7
503,returning,android,after,6
504,returning,ios,after,4
505,new,android,before,2
506,new,android,before,4
507,new,android,after,2
508,new,ios,before,2
509,returning,ios,before,7
510,new,web,before,3
511,returning,android,after,10
512,returning,android,after,7
513,new,web,after,2
514,returning,ios,after,4
515,new,ios,after,3
516,new,android,before,2
517,returning,android,after,5
518,returning,web,before,5
519,new,android,before,1
520,returning,ios,after,4
