customer_id,segment,signup_channel,engagement_score,tenure_months,referred_friend,ltv_usd
1,smb,organic,50.4,14,0,747.34
2,smb,paid,50.4,12,0,534.09
3,consumer,partner,27.4,9,0,287.09
4,consumer,organic,35.7,13,0,411.98
5,consumer,organic,53.1,14,0,701.73
6,consumer,organic,47.8,14,0,665.37
7,prosumer,partner,40.3,13,0,507.54
8,consumer,organic,36.9,7,0,243.75
9,consumer,paid,56.1,16,0,763.78
10,consumer,paid,60.2,14,0,810.7
11,consumer,partner,40.4,12,0,503.75
12,consumer,organic,43.2,14,0,584.04
13,consumer,partner,39.5,15,0,524.44
14,consumer,organic,26.0,6,0,40.77
15,consumer,paid,14.6,2,0,0.0
16,prosumer,partner,67.5,24,0,1499.78
17,consumer,partner,63.3,11,0,635.17
18,consumer,organic,50.1,12,0,641.21
19,prosumer,paid,56.1,20,0,1147.09
20,consumer,paid,21.7,2,0,0.0
21,prosumer,paid,89.1,29,0,2414.58
22,consumer,paid,62.0,17,0,1023.04
23,consumer,organic,64.5,21,0,1249.4
24,smb,paid,73.6,23,0,1518.15
25,consumer,organic,68.1,21,0,1408.24
26,prosumer,organic,84.0,16,0,1171.15
27,prosumer,paid,55.1,19,0,1021.4
28,consumer,partner,54.4,19,0,958.43
29,consumer,partner,51.7,18,0,785.82
30,consumer,organic,25.8,5,0,265.48
31,consumer,organic,80.4,21,0,1471.98
32,consumer,paid,89.7,34,1,2877.43
33,smb,organic,56.7,15,0,813.74
34,consumer,organic,62.9,13,0,714.73
35,smb,organic,75.2,15,0,1002.15
36,consumer,paid,41.8,15,0,578.3
37,consumer,partner,39.2,12,0,446.62
38,prosumer,partner,50.7,20,0,950.37
39,prosumer,paid,24.1,6,0,121.97
40,consumer,partner,60.7,16,0,838.49
41,consumer,partner,40.3,15,1,701.38
42,consumer,paid,56.7,16,0,849.69
43,prosumer,partner,56.8,24,0,1199.11
44,smb,paid,14.8,5,0,151.82
45,consumer,organic,30.0,11,0,361.55
46,prosumer,organic,42.8,18,0,609.99
47,smb,paid,69.5,23,0,1545.91
48,consumer,paid,42.4,10,0,440.16
49,consumer,partner,57.4,20,0,1155.54
50,prosumer,partner,66.1,14,0,988.08
51,smb,organic,63.8,16,0,924.08
52,prosumer,partner,56.4,16,1,871.78
53,consumer,organic,43.0,16,0,529.23
54,consumer,organic,28.5,5,0,221.57
55,prosumer,partner,29.9,4,0,236.51
56,prosumer,partner,70.1,15,1,1012.63
57,prosumer,organic,84.8,26,1,2062.91
58,consumer,paid,59.4,12,0,658.25
59,consumer,paid,48.8,13,0,597.27
60,prosumer,partner,19.9,5,0,87.63
61,consumer,partner,69.5,34,1,2197.28
62,consumer,partner,50.5,15,0,742.9
63,prosumer,paid,61.2,19,0,1042.08
64,consumer,organic,81.4,20,0,1391.78
65,consumer,organic,66.3,17,0,1127.09
66,prosumer,organic,69.0,17,0,1014.82
67,consumer,paid,45.0,9,0,475.46
68,consumer,paid,37.8,14,1,585.95
69,consumer,organic,72.5,18,1,1250.07
70,smb,partner,51.7,13,0,576.59
71,consumer,organic,37.2,11,0,332.15
72,consumer,paid,52.7,17,1,845.08
73,prosumer,paid,39.5,12,0,484.67
74,consumer,partner,31.4,8,0,398.99
75,consumer,organic,58.0,12,0,733.68
76,consumer,partner,24.1,10,0,214.27
77,consumer,organic,88.0,23,0,1872.38
78,consumer,partner,28.5,6,0,241.83
79,prosumer,partner,57.5,24,0,1420.85
80,prosumer,paid,39.3,12,0,412.37
81,consumer,partner,48.2,15,0,642.76
82,prosumer,partner,24.2,8,0,143.11
83,consumer,partner,21.8,6,0,130.51
84,consumer,organic,41.6,14,0,646.94
85,consumer,organic,70.5,17,1,1213.6
86,consumer,paid,42.3,19,0,722.65
87,consumer,partner,34.1,11,0,362.55
88,consumer,partner,59.3,14,0,699.12
89,consumer,partner,19.8,6,0,125.12
90,consumer,partner,65.3,19,0,1157.4
91,consumer,partner,65.2,14,0,966.67
92,prosumer,partner,36.2,14,0,448.89
93,consumer,partner,44.2,14,0,660.35
94,prosumer,partner,55.5,14,1,741.22
95,consumer,partner,54.5,12,0,655.12
96,consumer,partner,45.8,13,0,605.85
97,smb,organic,27.8,9,0,251.97
98,prosumer,paid,32.3,9,0,301.54
99,consumer,organic,35.9,9,0,361.35
100,consumer,partner,27.8,10,0,399.15
101,consumer,paid,49.5,17,0,768.25
102,prosumer,partner,37.7,12,0,469.18
103,smb,paid,56.4,21,0,1152.88
104,consumer,organic,25.0,5,0,214.25
105,smb,partner,43.6,12,0,443.73
106,consumer,partner,62.5,18,0,996.06
107,consumer,partner,15.3,5,0,0.0
108,consumer,paid,51.1,15,1,796.86
109,prosumer,partner,64.6,14,0,850.96
110,consumer,partner,50.1,15,1,677.85
111,prosumer,paid,26.8,9,0,213.16
112,prosumer,organic,32.5,12,0,440.19
113,prosumer,partner,43.6,11,0,411.9
114,prosumer,organic,30.6,11,0,443.49
115,consumer,partner,54.8,22,0,1108.34
116,smb,partner,67.4,20,0,1313.97
117,consumer,partner,44.2,13,0,511.31
118,smb,organic,39.0,11,0,384.81
119,consumer,paid,46.7,10,0,401.04
120,prosumer,partner,24.1,13,0,237.7
121,prosumer,partner,45.3,11,0,521.25
122,consumer,organic,49.6,24,0,1172.83
123,smb,paid,50.0,9,0,530.97
124,consumer,organic,65.1,14,0,860.69
125,prosumer,organic,58.8,23,0,1223.87
126,prosumer,organic,54.9,16,0,808.96
127,prosumer,partner,29.1,9,0,273.75
128,consumer,organic,11.1,7,0,67.58
129,prosumer,partner,44.4,12,0,506.58
130,consumer,paid,45.6,13,0,507.92
131,consumer,paid,75.3,12,1,884.85
132,consumer,partner,33.0,3,0,142.68
133,prosumer,partner,91.4,22,1,1924.62
134,consumer,partner,59.3,14,0,767.14
135,consumer,organic,54.5,13,0,725.24
136,consumer,paid,33.8,14,0,575.36
137,consumer,partner,53.4,22,0,1061.51
138,smb,paid,61.0,22,0,1129.62
139,smb,paid,78.2,20,0,1422.2
140,consumer,paid,60.4,19,0,1150.3
141,consumer,paid,55.3,10,0,557.91
142,consumer,partner,64.0,22,0,1304.87
143,consumer,paid,39.6,16,0,575.04
144,consumer,paid,65.9,11,0,625.75
145,consumer,partner,39.5,14,0,549.81
146,prosumer,organic,56.5,17,0,876.16
147,consumer,partner,48.3,11,0,532.37
148,prosumer,paid,51.2,9,0,498.36
149,prosumer,partner,55.7,13,0,797.13
150,smb,paid,23.5,11,0,361.97
151,consumer,partner,65.6,15,1,858.48
152,prosumer,paid,23.2,5,0,208.21
153,consumer,organic,19.3,8,0,119.45
154,prosumer,paid,35.8,13,0,444.27
155,consumer,partner,40.0,14,0,586.31
156,consumer,partner,18.7,8,0,219.31
157,consumer,partner,47.7,17,0,769.32
158,prosumer,partner,78.5,23,0,1665.85
159,consumer,organic,82.4,26,0,1901.02
160,smb,partner,67.1,16,0,1079.18
161,prosumer,organic,73.5,19,0,1211.05
162,prosumer,organic,40.3,10,0,340.88
163,prosumer,partner,26.3,7,0,304.84
164,prosumer,partner,51.3,17,0,791.87
165,consumer,paid,47.2,9,0,360.96
166,prosumer,organic,71.0,23,0,1488.68
167,smb,paid,21.0,9,0,184.05
168,smb,paid,40.3,22,0,832.08
169,consumer,partner,88.9,24,1,1919.57
170,consumer,organic,81.1,20,0,1412.47
171,consumer,partner,29.3,9,0,278.69
172,consumer,paid,48.9,14,0,629.16
173,prosumer,paid,16.9,13,0,244.9
174,prosumer,organic,45.7,22,0,976.72
175,consumer,partner,55.2,9,0,521.6
176,prosumer,organic,66.2,15,0,853.85
177,prosumer,organic,13.6,6,0,145.79
178,prosumer,organic,29.3,6,0,168.58
179,consumer,paid,60.4,19,0,1026.25
180,consumer,partner,58.2,16,0,924.1
181,prosumer,partner,63.2,22,0,1307.65
182,smb,partner,42.5,6,0,112.93
183,prosumer,organic,35.2,16,0,498.37
184,prosumer,partner,62.3,20,0,1166.7
185,prosumer,paid,77.4,23,1,1687.37
