rep_id,region,tenure_months,q1_sales_k,coached,q2_sales_k
1,APAC,25,41.9,0,41.6
2,APAC,30,56.3,0,64.8
3,NA,30,46.8,0,63.9
4,EMEA,35,48.5,0,35.0
5,NA,4,60.9,0,43.2
6,LATAM,28,65.5,0,42.1
7,EMEA,29,48.8,0,70.9
8,APAC,40,52.6,1,52.9
9,EMEA,55,84.9,0,71.5
10,APAC,30,20.5,1,52.2
11,LATAM,29,65.0,0,72.2
12,APAC,48,75.3,0,62.0
13,EMEA,36,53.1,0,51.3
14,NA,4,80.5,0,62.2
15,LATAM,37,64.1,0,57.2
16,NA,36,21.1,1,27.3
17,LATAM,12,64.1,0,59.2
18,NA,34,53.1,0,38.1
19,APAC,31,42.4,0,47.9
20,EMEA,48,45.4,0,43.3
21,NA,39,22.2,1,30.1
22,LATAM,16,37.5,1,42.0
23,APAC,15,61.3,0,44.6
24,NA,8,16.5,1,13.5
25,EMEA,29,43.9,1,55.4
26,APAC,53,40.8,1,18.3
27,EMEA,57,29.9,1,32.4
28,NA,40,36.1,0,63.5
29,LATAM,44,63.2,0,61.9
30,LATAM,35,44.4,0,62.5
31,APAC,57,45.9,0,30.8
32,APAC,5,43.1,0,32.5
33,APAC,47,35.0,0,38.1
34,APAC,7,45.4,1,45.4
35,NA,17,71.3,0,63.0
36,EMEA,39,45.3,1,51.4
37,APAC,29,60.4,0,45.9
38,LATAM,42,45.6,1,48.1
39,APAC,49,64.8,0,73.6
40,APAC,3,30.1,1,27.9
41,LATAM,34,27.2,1,22.9
42,LATAM,20,63.0,0,41.8
43,APAC,15,41.4,1,56.3
44,EMEA,3,30.7,1,48.3
45,EMEA,58,60.4,0,41.9
46,NA,10,28.0,1,35.5
47,APAC,58,35.5,1,30.2
48,LATAM,13,42.0,0,20.0
49,LATAM,53,48.9,0,50.5
50,APAC,35,57.0,0,46.4
51,EMEA,52,59.7,0,25.9
52,LATAM,14,52.6,1,57.7
53,APAC,13,42.5,1,56.5
54,LATAM,21,53.3,1,49.8
55,LATAM,31,16.5,1,45.9
56,EMEA,56,71.3,0,48.5
57,EMEA,31,29.9,1,50.1
58,APAC,59,38.2,0,62.1
59,LATAM,57,36.1,1,52.4
60,APAC,53,37.1,0,46.2
61,APAC,44,48.9,1,50.5
62,EMEA,19,38.2,1,21.6
63,EMEA,40,55.5,0,43.4
64,LATAM,6,55.1,0,55.7
65,EMEA,37,47.8,0,59.0
66,APAC,23,30.3,1,46.8
67,NA,27,44.0,1,48.6
68,LATAM,18,71.8,0,49.3
69,EMEA,42,50.2,0,42.9
70,EMEA,12,57.3,0,63.5
71,LATAM,31,71.8,0,72.1
72,EMEA,25,71.2,0,43.3
73,LATAM,51,36.3,0,39.7
74,NA,37,21.7,1,24.9
75,NA,15,38.9,1,29.4
76,LATAM,51,66.0,0,76.9
77,EMEA,35,46.9,0,38.1
78,APAC,14,72.4,0,58.3
79,EMEA,50,47.8,1,50.3
80,EMEA,26,45.8,1,28.3
81,EMEA,6,82.4,0,57.9
82,EMEA,40,45.3,1,44.0
83,APAC,32,56.1,0,55.5
84,EMEA,11,47.0,0,58.5
85,APAC,15,60.3,0,68.1
86,NA,13,35.0,0,60.1
87,APAC,20,24.1,1,11.2
88,LATAM,26,56.7,0,57.2
89,LATAM,13,66.8,0,52.0
90,NA,2,44.2,1,27.8
91,APAC,27,28.2,1,29.0
92,NA,46,32.0,1,40.5
93,LATAM,5,64.4,0,56.9
94,EMEA,5,45.7,1,48.9
95,NA,35,60.2,0,33.9
96,LATAM,59,48.7,0,46.2
97,EMEA,33,68.6,0,56.9
98,NA,31,59.3,0,67.4
99,APAC,24,50.8,0,54.2
100,LATAM,23,40.9,0,36.1
101,NA,3,51.9,0,75.4
102,NA,13,60.8,0,50.8
103,LATAM,35,52.0,1,41.3
104,EMEA,20,37.8,1,62.0
105,APAC,23,25.6,1,36.7
106,NA,38,23.8,1,32.8
107,NA,21,60.7,1,67.9
108,LATAM,11,41.9,0,51.3
109,APAC,11,52.1,0,77.1
110,LATAM,59,54.6,0,61.6
111,NA,43,56.0,0,37.3
112,NA,42,45.5,0,35.7
113,NA,39,43.8,1,64.9
114,EMEA,47,45.9,0,44.4
115,APAC,42,48.8,0,43.5
116,NA,50,54.0,0,42.4
117,NA,23,64.1,0,64.6
118,EMEA,16,15.3,1,17.9
119,APAC,39,59.0,0,47.4
120,APAC,38,70.1,0,56.7
121,LATAM,12,34.7,1,18.0
122,LATAM,30,41.9,1,58.8
123,NA,26,27.9,1,52.8
124,LATAM,15,36.9,1,37.9
125,EMEA,13,47.5,0,60.6
126,APAC,27,42.7,1,28.5
127,APAC,57,76.9,0,66.4
128,NA,25,70.1,0,77.7
129,NA,3,77.3,0,50.7
130,NA,53,30.1,1,46.0
131,APAC,40,54.5,1,51.3
132,LATAM,37,67.6,0,68.1
133,APAC,48,40.4,1,36.4
134,APAC,13,64.5,0,49.4
135,LATAM,53,56.7,0,51.6
136,EMEA,38,43.4,0,30.2
137,LATAM,36,37.0,0,44.0
138,LATAM,35,36.9,1,28.9
139,LATAM,10,44.6,0,51.2
140,LATAM,35,46.1,1,55.6
141,APAC,5,63.3,0,57.9
142,NA,44,61.2,0,59.6
143,LATAM,35,48.2,0,50.9
144,NA,50,47.3,0,29.2
145,LATAM,23,51.8,0,53.5
146,NA,17,78.5,0,76.7
147,NA,7,48.9,0,27.7
148,APAC,16,66.6,0,75.5
149,EMEA,8,68.1,0,60.1
150,NA,29,62.5,0,49.8
151,EMEA,47,37.7,0,52.8
152,LATAM,51,71.9,0,74.5
153,APAC,41,66.5,0,26.6
154,LATAM,29,39.0,1,40.9
155,NA,36,61.0,0,69.0
156,LATAM,16,55.7,0,71.2
157,APAC,18,62.2,0,44.1
158,LATAM,49,54.4,0,70.1
159,LATAM,44,52.5,0,69.4
160,NA,57,61.5,0,61.0
161,APAC,35,34.1,1,36.7
162,LATAM,22,53.2,0,48.8
163,LATAM,43,58.1,0,64.3
164,NA,2,72.3,0,72.5
165,LATAM,55,46.1,1,57.4
166,LATAM,2,71.0,0,62.6
167,NA,23,55.4,0,57.4
168,APAC,16,32.4,1,21.8
169,NA,3,74.6,0,49.6
170,LATAM,41,27.5,1,17.9
171,EMEA,53,26.0,1,29.8
172,LATAM,34,76.4,0,80.8
173,EMEA,14,23.6,0,30.3
174,EMEA,51,80.9,0,68.6
175,EMEA,31,37.8,1,53.2
176,LATAM,3,7.9,1,31.6
177,NA,10,44.5,1,46.0
178,LATAM,40,30.1,1,43.0
179,LATAM,47,33.2,1,46.8
180,EMEA,46,54.9,1,36.6
181,LATAM,8,57.7,0,74.9
182,NA,48,45.7,0,50.2
183,NA,30,52.3,1,64.1
184,EMEA,19,49.3,0,13.6
185,LATAM,5,58.7,0,59.6
186,APAC,31,34.0,0,47.6
187,LATAM,52,23.4,1,32.1
188,NA,53,67.9,0,55.7
189,LATAM,2,30.6,1,37.2
190,NA,55,33.1,1,39.3
191,EMEA,15,48.7,0,47.0
192,EMEA,37,58.0,0,58.2
193,EMEA,17,35.9,1,45.2
194,LATAM,51,49.4,1,39.6
195,EMEA,52,61.3,0,56.4
196,APAC,7,79.6,0,68.5
197,APAC,27,43.9,1,44.9
198,NA,36,45.3,1,63.6
199,LATAM,50,51.5,1,48.6
200,EMEA,34,69.4,0,65.8
201,LATAM,6,32.0,0,35.9
202,APAC,21,52.4,0,59.4
203,EMEA,5,55.2,0,46.9
204,APAC,49,29.6,1,25.3
205,NA,26,63.9,0,51.1
206,NA,15,41.7,0,36.4
207,APAC,53,67.2,0,66.7
208,EMEA,41,30.2,1,50.2
209,APAC,2,50.9,0,36.3
210,LATAM,38,59.2,0,64.1
211,NA,12,37.5,1,21.7
212,LATAM,35,68.6,0,56.2
213,NA,54,48.1,0,70.4
214,APAC,7,42.8,1,37.9
215,LATAM,7,57.2,0,68.2
216,LATAM,42,46.7,1,53.9
217,APAC,52,73.0,0,65.0
218,EMEA,34,56.7,0,59.6
219,EMEA,2,38.9,0,31.2
220,NA,12,49.4,0,53.9
221,EMEA,29,58.4,0,60.6
222,LATAM,24,49.7,0,48.6
223,EMEA,57,48.3,0,73.6
224,LATAM,15,62.6,0,54.3
225,NA,53,40.9,0,59.0
226,LATAM,22,53.8,0,39.0
227,APAC,58,62.2,0,34.9
228,LATAM,8,48.7,0,30.5
229,NA,4,50.7,0,58.3
230,APAC,39,44.3,0,35.0
231,NA,12,56.1,0,85.4
232,EMEA,26,56.5,0,53.9
233,EMEA,38,58.5,0,60.7
234,LATAM,38,29.7,0,46.3
235,NA,43,36.4,1,10.0
236,NA,44,57.6,0,61.1
237,EMEA,24,43.5,0,47.5
238,NA,49,29.0,1,24.2
239,EMEA,5,47.7,0,64.0
240,EMEA,15,55.4,0,53.9
241,EMEA,13,55.8,0,65.4
242,EMEA,22,51.7,0,45.2
