opportunity_id,team,deal_size_band,deal_value_k,won
1,A,mid,73.6,0
2,B,enterprise,226.4,0
3,A,mid,83.3,0
4,B,enterprise,538.0,0
5,A,mid,44.8,1
6,A,enterprise,153.3,0
7,B,mid,67.3,0
8,A,smb,17.6,1
9,A,smb,15.6,1
10,B,enterprise,534.9,0
11,B,enterprise,117.9,0
12,B,smb,19.2,0
13,A,smb,11.8,1
14,A,mid,45.7,1
15,A,smb,16.1,0
16,A,mid,87.7,0
17,A,mid,69.4,0
18,B,mid,29.3,1
19,B,enterprise,521.2,0
20,A,smb,19.8,0
21,B,mid,85.5,0
22,A,enterprise,709.0,0
23,B,mid,46.0,1
24,A,mid,26.8,1
25,A,smb,2.9,1
26,A,mid,34.0,0
27,A,mid,44.7,1
28,A,mid,37.8,1
29,A,smb,18.5,1
30,A,smb,18.9,0
31,A,smb,8.5,1
32,A,smb,19.1,0
33,A,smb,13.1,0
34,B,mid,59.6,0
35,A,smb,4.0,1
36,B,smb,2.5,0
37,A,smb,2.6,0
38,B,enterprise,412.3,0
39,A,mid,77.6,0
40,B,smb,4.1,0
41,A,smb,10.4,1
42,A,mid,80.0,0
43,A,enterprise,347.1,0
44,B,enterprise,137.1,0
45,A,mid,70.7,1
46,B,mid,88.2,1
47,B,enterprise,134.4,0
48,B,enterprise,569.5,0
49,A,smb,19.6,1
50,B,enterprise,271.7,0
51,A,mid,65.0,0
52,A,smb,3.5,1
53,A,smb,12.8,0
54,B,enterprise,592.0,0
55,B,mid,22.1,1
56,A,smb,2.6,0
57,A,enterprise,217.6,0
58,B,smb,11.1,1
59,A,mid,46.1,1
60,B,enterprise,761.3,0
61,A,smb,15.9,1
62,B,enterprise,316.2,0
63,B,mid,83.5,1
64,B,enterprise,779.4,1
65,A,smb,8.0,1
66,B,enterprise,632.7,1
67,A,smb,5.0,0
68,B,enterprise,111.5,0
69,B,enterprise,294.3,0
70,A,smb,13.5,0
71,A,mid,31.5,0
72,A,smb,10.1,0
73,B,smb,5.7,0
74,A,smb,4.6,1
75,B,mid,44.8,0
76,A,smb,8.6,1
77,B,enterprise,133.7,1
78,B,enterprise,403.1,0
79,B,enterprise,374.7,1
80,A,smb,10.1,1
81,A,smb,16.7,1
82,B,enterprise,204.7,0
83,A,smb,5.1,1
84,A,smb,6.8,1
85,A,smb,7.3,1
86,B,enterprise,636.5,1
87,B,enterprise,716.9,0
88,A,enterprise,574.6,0
89,B,enterprise,275.5,0
90,B,smb,2.4,0
91,A,mid,61.2,1
92,B,mid,93.5,1
93,A,mid,21.2,1
94,B,enterprise,510.0,1
95,A,mid,27.2,0
96,A,smb,11.4,1
97,B,mid,87.3,0
98,A,smb,3.5,0
99,A,mid,66.3,0
100,A,smb,19.6,1
101,B,mid,35.8,0
102,A,mid,95.9,1
103,A,smb,3.3,0
104,A,smb,10.4,0
105,A,enterprise,413.5,1
106,B,enterprise,143.2,0
107,A,mid,79.0,0
108,A,mid,79.3,0
109,A,mid,44.9,0
110,B,mid,31.1,0
111,B,enterprise,400.6,0
112,A,mid,62.7,0
113,B,enterprise,785.2,0
114,B,mid,78.3,0
115,B,enterprise,439.5,0
116,A,smb,4.0,1
117,A,mid,44.2,0
118,A,smb,16.1,1
119,A,smb,13.7,0
120,A,smb,9.4,0
121,A,smb,19.2,1
122,B,enterprise,527.5,0
123,A,enterprise,682.8,0
124,B,enterprise,211.1,1
125,B,enterprise,239.0,0
126,B,enterprise,148.3,0
127,B,enterprise,489.1,0
128,B,enterprise,315.2,1
129,B,enterprise,468.6,0
130,B,enterprise,594.4,1
131,A,enterprise,789.1,0
132,A,smb,4.7,1
133,A,smb,14.8,0
134,A,smb,9.2,0
135,A,enterprise,437.3,0
136,B,enterprise,675.9,0
137,B,mid,76.1,0
138,A,mid,93.9,1
139,B,mid,86.0,0
140,A,mid,65.3,0
141,B,enterprise,192.3,0
142,B,enterprise,684.2,0
143,A,smb,17.4,0
144,A,smb,13.1,0
145,A,mid,38.9,1
146,B,enterprise,427.4,0
147,A,smb,9.1,0
148,A,mid,77.6,1
