account_id,plan,active_days_per_week,features_used,seat_count,naive_cluster,honest_cluster
1,starter,5.8,12.0,20.0,3,1
2,team,4.9,14.0,108.0,2,1
3,team,7.0,11.0,84.0,0,1
4,starter,1.2,0.0,16.0,3,0
5,starter,2.1,1.0,51.0,0,0
6,starter,5.6,5.0,86.0,0,1
7,starter,1.2,3.0,12.0,3,0
8,starter,6.1,14.0,14.0,3,1
9,business,5.1,7.0,29.0,3,1
10,team,1.1,5.0,34.0,3,0
11,team,1.6,2.0,211.0,2,0
12,team,0.8,5.0,42.0,0,0
13,team,2.8,4.0,22.0,3,0
14,starter,2.2,1.0,119.0,2,0
15,starter,6.1,12.0,18.0,3,1
16,starter,3.8,11.0,11.0,3,1
17,business,5.4,13.0,33.0,3,1
18,starter,4.4,15.0,10.0,3,1
19,team,5.2,11.0,2.0,3,1
20,starter,6.4,15.0,48.0,0,1
21,team,1.8,3.0,8.0,3,0
22,starter,1.4,4.0,9.0,3,0
23,starter,6.3,12.0,37.0,3,1
24,starter,2.6,2.0,102.0,0,0
25,starter,3.4,3.0,29.0,3,0
26,business,3.3,10.0,23.0,3,1
27,team,1.9,4.0,6.0,3,0
28,business,4.7,9.0,19.0,3,1
29,team,4.3,9.0,34.0,3,1
30,starter,5.3,13.0,94.0,0,1
31,starter,0.4,4.0,79.0,0,0
32,team,0.0,4.0,70.0,0,0
33,starter,0.7,4.0,19.0,3,0
34,starter,1.3,5.0,10.0,3,0
35,team,7.0,12.0,11.0,3,1
36,starter,0.8,5.0,39.0,3,0
37,team,0.4,1.0,7.0,3,0
38,starter,0.0,4.0,20.0,3,0
39,starter,4.8,9.0,68.0,0,1
40,starter,1.3,0.0,39.0,3,0
41,starter,1.7,3.0,28.0,3,0
42,starter,3.7,13.0,10.0,3,1
43,starter,4.4,11.0,50.0,0,1
44,starter,2.9,15.0,51.0,0,1
45,business,5.3,13.0,67.0,0,1
46,business,3.6,12.0,24.0,3,1
47,team,0.0,3.0,17.0,3,0
48,team,6.3,8.0,9.0,3,1
49,starter,5.7,11.0,7.0,3,1
50,starter,5.5,11.0,36.0,3,1
51,team,1.9,7.0,26.0,3,0
52,team,4.1,9.0,24.0,3,1
53,starter,2.6,3.0,10.0,3,0
54,starter,0.5,2.0,132.0,2,0
55,team,3.5,3.0,6.0,3,0
56,team,1.8,0.0,48.0,0,0
57,starter,3.3,12.0,20.0,3,1
58,team,2.4,3.0,29.0,3,0
59,starter,7.0,12.0,34.0,3,1
60,starter,4.9,17.0,14.0,3,1
61,starter,6.2,11.0,77.0,0,1
62,starter,4.9,12.0,34.0,3,1
63,business,4.5,11.0,36.0,3,1
64,starter,0.0,6.0,26.0,3,0
65,team,2.8,8.0,11.0,3,0
66,team,1.1,7.0,428.0,1,2
67,starter,1.9,4.0,17.0,3,0
68,team,0.4,0.0,14.0,3,0
69,business,4.3,12.0,415.0,1,2
70,team,2.7,0.0,8.0,3,0
71,business,4.8,9.0,67.0,0,1
72,team,1.2,2.0,328.0,1,2
73,starter,3.9,9.0,51.0,0,1
74,starter,5.4,11.0,51.0,0,1
75,business,2.3,2.0,40.0,3,0
76,starter,4.7,9.0,6.0,3,1
77,business,5.0,12.0,78.0,0,1
78,starter,3.9,10.0,115.0,2,1
79,starter,6.6,14.0,36.0,3,1
80,starter,0.9,5.0,10.0,3,0
81,team,1.4,2.0,50.0,0,0
82,starter,6.8,12.0,146.0,2,1
83,starter,4.9,10.0,43.0,0,1
84,business,0.0,2.0,12.0,3,0
85,team,4.2,13.0,43.0,0,1
86,team,4.8,8.0,14.0,3,1
87,starter,6.9,12.0,5.0,3,1
88,starter,1.8,7.0,50.0,0,0
89,starter,1.3,0.0,11.0,3,0
90,team,2.4,8.0,4.0,3,0
91,starter,2.9,0.0,37.0,3,0
92,team,4.4,6.0,30.0,3,1
93,starter,3.0,0.0,31.0,3,0
94,starter,6.0,9.0,75.0,0,1
95,team,2.0,2.0,17.0,3,0
96,starter,2.8,7.0,41.0,3,0
97,starter,1.8,3.0,43.0,0,0
98,team,3.0,5.0,62.0,0,0
99,team,1.3,1.0,10.0,3,0
100,team,3.9,3.0,12.0,3,0
101,team,5.2,12.0,95.0,0,1
102,starter,4.1,15.0,241.0,1,2
103,team,2.2,3.0,35.0,3,0
104,team,5.5,13.0,41.0,3,1
105,team,6.0,12.0,5.0,3,1
106,team,1.3,3.0,104.0,0,0
107,starter,6.5,10.0,44.0,0,1
108,starter,4.6,12.0,15.0,3,1
109,team,1.7,5.0,50.0,0,0
110,business,3.9,8.0,19.0,3,1
111,starter,4.4,10.0,25.0,3,1
112,starter,5.4,12.0,33.0,3,1
113,team,0.9,4.0,50.0,0,0
114,team,4.7,12.0,265.0,1,2
115,starter,1.4,7.0,30.0,3,0
116,business,5.4,13.0,13.0,3,1
117,starter,5.9,8.0,46.0,0,1
118,team,2.3,7.0,13.0,3,0
119,business,2.6,2.0,9.0,3,0
120,starter,5.4,9.0,10.0,3,1
121,starter,1.0,5.0,14.0,3,0
122,starter,3.6,10.0,3.0,3,1
123,team,4.8,7.0,36.0,3,1
124,team,4.4,12.0,15.0,3,1
125,team,3.3,12.0,94.0,0,1
126,starter,3.2,4.0,6.0,3,0
127,starter,0.0,0.0,18.0,3,0
128,starter,1.9,5.0,6.0,3,0
129,starter,2.1,2.0,22.0,3,0
130,starter,1.3,5.0,16.0,3,0
131,team,7.0,8.0,73.0,0,1
132,team,5.2,9.0,42.0,0,1
133,starter,0.8,0.0,39.0,3,0
134,team,3.4,1.0,11.0,3,0
135,starter,4.4,13.0,25.0,3,1
136,team,0.1,4.0,10.0,3,0
137,starter,4.2,10.0,14.0,3,1
138,team,4.5,14.0,11.0,3,1
139,starter,5.2,12.0,16.0,3,1
140,team,5.5,13.0,23.0,3,1
141,business,3.6,12.0,5.0,3,1
142,starter,5.5,11.0,40.0,3,1
143,starter,3.8,3.0,17.0,3,0
144,team,4.5,12.0,26.0,3,1
145,starter,1.4,6.0,128.0,2,0
146,team,5.9,12.0,800.0,4,2
147,starter,2.8,5.0,3.0,3,0
148,team,0.9,1.0,12.0,3,0
149,team,4.2,7.0,22.0,3,1
150,starter,4.2,12.0,11.0,3,1
151,team,2.7,3.0,33.0,3,0
152,team,6.1,12.0,27.0,3,1
153,team,3.0,9.0,40.0,3,1
154,starter,3.0,11.0,50.0,0,1
155,starter,3.9,9.0,69.0,0,1
156,team,3.7,11.0,47.0,0,1
157,starter,2.0,3.0,32.0,3,0
158,team,1.8,3.0,15.0,3,0
159,team,3.6,4.0,35.0,3,0
160,team,2.4,2.0,63.0,0,0
161,team,1.7,3.0,19.0,3,0
162,starter,6.4,13.0,33.0,3,1
163,team,4.3,14.0,37.0,3,1
164,team,0.2,4.0,34.0,3,0
165,team,5.2,13.0,6.0,3,1
166,team,2.5,4.0,25.0,3,0
167,starter,3.5,15.0,38.0,3,1
168,team,6.1,16.0,6.0,3,1
169,starter,2.5,2.0,25.0,3,0
170,starter,4.7,13.0,37.0,3,1
171,team,1.7,4.0,4.0,3,0
172,starter,4.9,15.0,254.0,1,2
173,business,5.3,6.0,45.0,0,1
174,team,2.4,2.0,96.0,0,0
175,team,0.8,0.0,19.0,3,0
176,starter,2.6,6.0,31.0,3,0
177,team,6.1,12.0,11.0,3,1
178,starter,6.1,13.0,23.0,3,1
179,starter,3.2,12.0,25.0,3,1
180,starter,0.0,4.0,46.0,0,0
181,starter,5.9,12.0,161.0,2,1
182,team,4.6,10.0,5.0,3,1
183,team,4.5,6.0,24.0,3,1
184,team,4.4,12.0,111.0,2,1
185,business,3.8,11.0,24.0,3,1
186,starter,1.3,2.0,6.0,3,0
187,team,0.8,2.0,120.0,2,0
188,starter,0.9,6.0,155.0,2,0
189,starter,2.1,1.0,66.0,0,0
190,starter,0.4,1.0,35.0,3,0
191,business,2.7,5.0,28.0,3,0
192,business,2.9,14.0,23.0,3,1
193,starter,4.1,0.0,58.0,0,0
194,starter,3.8,9.0,93.0,0,1
195,starter,2.2,1.0,7.0,3,0
196,starter,6.1,12.0,125.0,2,1
197,starter,1.6,4.0,17.0,3,0
198,starter,2.3,6.0,35.0,3,0
199,starter,5.1,11.0,28.0,3,1
200,team,3.4,10.0,48.0,0,1
201,team,5.5,10.0,37.0,3,1
202,team,6.3,14.0,171.0,2,1
203,starter,4.6,10.0,19.0,3,1
204,starter,0.0,1.0,40.0,3,0
205,starter,4.6,11.0,98.0,0,1
206,starter,1.9,3.0,107.0,0,0
207,team,5.5,12.0,6.0,3,1
208,team,6.3,10.0,171.0,2,1
209,team,5.7,15.0,111.0,2,1
210,team,2.1,7.0,64.0,0,0
211,team,0.0,1.0,14.0,3,0
212,starter,3.8,3.0,3.0,3,0
213,starter,1.6,1.0,29.0,3,0
214,business,6.1,10.0,47.0,0,1
215,team,4.8,8.0,5.0,3,1
216,team,1.4,2.0,20.0,3,0
217,team,5.2,12.0,24.0,3,1
218,team,6.8,11.0,29.0,3,1
219,business,3.1,0.0,106.0,0,0
220,starter,5.8,7.0,5.0,3,1
221,business,7.0,7.0,24.0,3,1
222,team,1.2,6.0,12.0,3,0
223,team,5.7,11.0,73.0,0,1
224,team,4.7,11.0,166.0,2,1
225,starter,6.5,14.0,182.0,2,1
226,team,1.6,1.0,20.0,3,0
227,team,6.2,12.0,395.0,1,2
228,starter,6.9,10.0,44.0,0,1
229,team,3.1,11.0,441.0,1,2
230,starter,7.0,7.0,9.0,3,1
231,starter,1.9,2.0,9.0,3,0
232,team,4.9,11.0,27.0,3,1
233,starter,3.2,11.0,19.0,3,1
234,team,4.9,8.0,4.0,3,1
235,team,0.0,2.0,29.0,3,0
236,team,1.7,5.0,2.0,3,0
237,starter,5.0,11.0,14.0,3,1
238,starter,3.4,5.0,37.0,3,0
239,team,4.9,13.0,7.0,3,1
240,starter,6.3,12.0,28.0,3,1
241,starter,2.8,2.0,15.0,3,0
242,team,3.7,3.0,13.0,3,0
243,starter,1.3,1.0,51.0,0,0
244,team,6.0,13.0,10.0,3,1
245,starter,0.0,4.0,78.0,0,0
246,starter,0.5,6.0,5.0,3,0
247,business,1.3,8.0,42.0,0,0
248,starter,5.2,13.0,19.0,3,1
249,team,3.9,12.0,33.0,3,1
250,team,1.2,3.0,8.0,3,0
251,team,2.3,5.0,15.0,3,0
252,business,4.7,14.0,21.0,3,1
253,starter,1.4,2.0,23.0,3,0
254,starter,0.7,0.0,21.0,3,0
255,team,3.0,0.0,165.0,2,0
256,starter,3.4,5.0,30.0,3,0
257,starter,1.8,4.0,6.0,3,0
258,team,5.1,12.0,102.0,0,1
259,team,6.9,7.0,75.0,0,1
260,team,2.1,2.0,4.0,3,0
261,team,0.9,0.0,153.0,2,0
262,team,3.8,8.0,31.0,3,1
263,starter,1.0,2.0,33.0,3,0
264,starter,3.8,1.0,17.0,3,0
265,starter,1.0,7.0,19.0,3,0
266,business,4.6,0.0,24.0,3,0
267,team,5.2,10.0,45.0,0,1
268,starter,1.4,1.0,112.0,2,0
269,starter,3.0,3.0,60.0,0,0
270,starter,4.9,13.0,54.0,0,1
271,team,5.6,9.0,29.0,3,1
272,business,0.5,0.0,8.0,3,0
273,team,0.3,2.0,14.0,3,0
274,business,4.4,12.0,85.0,0,1
275,starter,1.8,1.0,40.0,3,0
276,starter,4.5,13.0,15.0,3,1
277,team,0.0,1.0,25.0,3,0
278,starter,5.7,10.0,178.0,2,1
279,starter,5.0,10.0,63.0,0,1
280,team,4.9,15.0,52.0,0,1
281,starter,4.6,13.0,144.0,2,1
282,starter,0.0,4.0,30.0,3,0
283,starter,3.2,1.0,7.0,3,0
284,business,4.7,8.0,27.0,3,1
285,starter,5.7,9.0,23.0,3,1
286,starter,3.0,7.0,54.0,0,0
287,team,2.8,6.0,20.0,3,0
288,starter,5.4,11.0,24.0,3,1
289,business,5.2,9.0,30.0,3,1
290,starter,5.5,7.0,15.0,3,1
291,business,2.5,2.0,9.0,3,0
292,team,2.2,4.0,5.0,3,0
293,starter,4.7,12.0,58.0,0,1
294,team,5.7,12.0,33.0,3,1
295,team,5.6,9.0,24.0,3,1
296,starter,5.9,12.0,52.0,0,1
297,team,5.4,11.0,47.0,0,1
298,team,6.6,13.0,3.0,3,1
299,business,5.4,12.0,21.0,3,1
300,starter,2.5,5.0,3.0,3,0
301,team,5.2,12.0,188.0,2,1
302,starter,1.0,2.0,8.0,3,0
303,team,4.2,14.0,127.0,2,1
304,team,5.0,9.0,14.0,3,1
305,team,5.7,13.0,18.0,3,1
306,team,2.9,2.0,8.0,3,0
307,starter,1.5,2.0,3.0,3,0
308,starter,1.1,4.0,108.0,2,0
309,business,1.1,2.0,4.0,3,0
310,team,6.5,9.0,20.0,3,1
311,starter,5.3,9.0,17.0,3,1
312,starter,1.1,0.0,23.0,3,0
313,starter,6.0,11.0,114.0,2,1
314,starter,3.8,12.0,4.0,3,1
315,starter,1.7,3.0,27.0,3,0
316,starter,5.2,8.0,15.0,3,1
317,starter,5.1,11.0,39.0,3,1
318,business,0.4,5.0,20.0,3,0
319,team,2.6,0.0,11.0,3,0
320,team,6.9,9.0,122.0,2,1
321,team,3.8,13.0,35.0,3,1
322,team,1.7,3.0,18.0,3,0
323,team,5.9,13.0,26.0,3,1
324,team,7.0,10.0,19.0,3,1
325,business,4.8,8.0,51.0,0,1
326,starter,0.6,3.0,29.0,3,0
327,starter,1.6,3.0,17.0,3,0
328,business,7.0,12.0,16.0,3,1
329,starter,1.7,1.0,3.0,3,0
330,starter,1.9,2.0,8.0,3,0
331,business,7.0,16.0,35.0,3,1
332,team,0.0,2.0,29.0,3,0
333,starter,3.0,15.0,14.0,3,1
334,starter,2.5,0.0,134.0,2,0
335,starter,6.0,12.0,93.0,0,1
336,starter,0.2,4.0,12.0,3,0
337,starter,5.7,13.0,76.0,0,1
338,starter,1.6,3.0,7.0,3,0
339,starter,1.8,2.0,39.0,3,0
340,starter,0.8,3.0,22.0,3,0
341,business,1.1,0.0,4.0,3,0
342,team,0.7,0.0,92.0,0,0
343,business,5.3,8.0,4.0,3,1
344,team,1.4,7.0,36.0,3,0
345,team,3.3,5.0,21.0,3,0
346,team,5.8,15.0,89.0,0,1
347,starter,3.6,12.0,83.0,0,1
348,team,5.6,8.0,39.0,3,1
349,team,3.1,1.0,1.0,3,0
350,team,1.9,4.0,7.0,3,0
351,starter,2.7,1.0,403.0,1,2
352,starter,1.6,1.0,55.0,0,0
353,starter,2.3,1.0,9.0,3,0
354,team,4.2,9.0,111.0,2,1
355,business,2.4,0.0,107.0,0,0
356,business,0.2,4.0,22.0,3,0
357,team,6.5,9.0,52.0,0,1
358,team,0.0,6.0,68.0,0,0
359,business,0.0,7.0,207.0,2,0
360,starter,5.7,11.0,13.0,3,1
361,team,1.4,5.0,35.0,3,0
362,team,5.3,13.0,6.0,3,1
363,starter,2.0,3.0,60.0,0,0
364,starter,5.2,11.0,20.0,3,1
365,business,4.3,14.0,2.0,3,1
