snapshot_id,host_type,cpu_spike_pct,outbound_connections,off_hours_activity,new_process_count,confirmed_compromised,flagged_anomalous
1,batch_job_host,63.9,7,1,0,0,0
2,batch_job_host,75.5,14,1,2,0,0
3,normal,13.0,7,0,1,0,0
4,normal,15.9,6,0,0,0,0
5,normal,14.9,3,0,0,0,0
6,backup_host,16.3,166,0,2,0,0
7,normal,9.8,7,0,0,0,0
8,normal,15.4,6,0,0,0,0
9,batch_job_host,70.1,5,1,1,0,0
10,backup_host,7.9,165,0,0,0,0
11,normal,11.5,10,0,0,0,0
12,normal,0.0,8,0,0,0,0
13,normal,8.4,5,0,0,0,0
14,normal,11.6,6,0,0,0,0
15,normal,13.1,5,0,1,0,0
16,normal,0.0,11,1,0,0,0
17,normal,10.3,12,0,0,0,0
18,normal,9.7,3,0,0,0,0
19,normal,8.3,5,0,0,0,0
20,normal,0.0,6,0,0,0,0
21,normal,16.5,10,0,1,0,0
22,normal,18.0,5,0,0,0,0
23,backup_host,12.3,180,0,1,0,0
24,normal,1.4,7,0,0,0,0
25,normal,5.8,9,0,1,0,0
26,backup_host,8.6,166,0,0,0,0
27,normal,5.5,9,0,0,0,0
28,normal,4.8,5,0,0,0,0
29,backup_host,17.2,168,0,2,0,0
30,normal,0.0,5,0,0,0,0
31,normal,19.1,9,0,0,0,0
32,normal,14.3,5,0,1,0,0
33,normal,7.4,5,0,0,0,0
34,normal,6.7,6,1,0,0,0
35,normal,10.5,7,0,0,0,0
36,normal,14.5,10,1,0,0,0
37,normal,20.3,9,0,0,0,0
38,normal,18.4,6,0,0,0,0
39,normal,0.0,6,0,0,0,0
40,backup_host,14.5,162,0,1,0,0
41,normal,10.6,6,0,0,0,0
42,normal,4.1,7,0,1,0,0
43,normal,9.6,3,0,0,0,0
44,normal,17.3,8,0,0,0,0
45,normal,13.3,10,0,1,0,0
46,normal,62.2,9,1,6,1,1
47,normal,0.0,8,0,0,0,0
48,normal,9.4,4,0,0,0,0
49,normal,12.8,3,0,0,0,0
50,backup_host,13.2,169,0,0,0,0
51,backup_host,16.3,169,0,1,0,0
52,batch_job_host,66.8,7,0,1,0,0
53,normal,13.3,3,0,0,0,0
54,normal,4.9,6,0,0,0,0
55,normal,16.6,3,0,0,0,0
56,normal,19.9,6,0,0,0,0
57,normal,5.6,6,0,0,0,0
58,normal,1.5,5,0,0,0,0
59,normal,18.7,3,0,0,0,0
60,normal,14.1,7,0,1,0,0
61,normal,4.3,6,0,0,0,0
62,normal,16.3,8,0,0,0,0
63,backup_host,12.5,171,1,0,0,0
64,normal,0.0,8,1,0,0,0
65,backup_host,29.8,172,0,0,0,0
66,batch_job_host,76.0,14,1,0,0,0
67,normal,7.6,3,0,0,0,0
68,normal,6.5,5,0,0,0,0
69,normal,17.1,6,0,0,0,0
70,normal,58.6,12,1,1,1,0
71,normal,10.6,8,0,0,0,0
72,normal,16.8,3,0,0,0,0
73,normal,14.0,4,0,1,0,0
74,normal,21.8,5,0,0,0,0
75,normal,9.2,3,0,0,0,0
76,normal,4.9,11,0,0,0,0
77,normal,9.0,7,0,0,0,0
78,batch_job_host,66.7,10,1,1,0,0
79,batch_job_host,77.2,13,0,0,0,0
80,normal,3.9,8,0,0,0,0
81,normal,13.3,3,0,0,0,0
82,normal,7.3,5,0,0,0,0
83,normal,13.2,5,0,1,0,0
84,backup_host,26.1,169,1,2,0,1
85,normal,6.7,8,0,0,0,0
86,normal,7.2,8,0,0,0,0
87,normal,15.6,10,0,0,0,0
88,batch_job_host,73.8,13,1,0,0,0
89,normal,9.0,6,0,0,0,0
90,normal,10.3,7,0,0,0,0
91,normal,8.7,4,0,2,0,0
92,normal,13.2,6,0,0,0,0
93,normal,0.0,2,0,0,0,0
94,normal,19.0,4,1,0,0,0
95,batch_job_host,59.2,3,1,0,0,0
96,normal,15.1,8,0,0,0,0
97,normal,10.8,2,0,0,0,0
98,normal,20.5,10,0,0,0,0
99,normal,6.4,8,0,0,0,0
