customer_id,channel,visit_frequency,session_depth,total_spend,naive_cluster,honest_cluster
1,organic,6.7,9.5,56.59,0,2
2,paid,11.0,3.7,126.68,0,0
3,organic,5.0,10.6,33.2,0,2
4,organic,4.4,10.6,49.45,0,2
5,organic,11.5,2.5,179.38,0,0
6,organic,6.1,10.7,166.66,0,2
7,paid,1.0,8.4,38.73,0,2
8,organic,5.2,9.4,92.94,0,2
9,referral,13.8,3.4,32.97,0,0
10,organic,10.6,1.5,70.83,0,0
11,referral,17.8,1.7,64.19,0,0
12,organic,4.5,13.0,328.0,2,2
13,organic,5.4,7.4,116.62,0,2
14,paid,4.5,9.7,107.89,0,2
15,referral,13.8,4.0,77.23,0,0
16,paid,17.3,2.9,23.37,0,0
17,paid,12.2,10.2,122.88,0,2
18,paid,15.9,3.6,169.79,0,0
19,organic,8.7,7.4,165.41,0,2
20,organic,10.3,10.0,250.47,2,2
21,organic,6.6,8.0,261.69,2,2
22,paid,17.9,6.1,794.95,1,1
23,organic,8.0,9.8,48.62,0,2
24,paid,6.4,7.7,165.88,0,2
25,organic,6.9,9.6,183.48,0,2
26,paid,9.4,1.3,82.45,0,0
27,organic,14.7,3.5,62.22,0,0
28,paid,10.1,2.6,172.24,0,0
29,paid,9.9,1.5,157.99,0,0
30,organic,6.5,7.5,52.05,0,2
31,referral,3.2,13.4,26.63,0,2
32,organic,6.0,9.2,86.28,0,2
33,organic,14.3,2.2,59.97,0,0
34,paid,14.5,1.9,189.13,0,0
35,organic,11.7,3.8,47.87,0,0
36,organic,16.2,1.9,93.7,0,0
37,organic,13.8,1.0,23.66,0,0
38,organic,15.1,2.9,27.21,0,0
39,organic,11.0,2.9,55.01,0,0
40,referral,5.6,8.2,107.18,0,2
41,paid,16.7,1.4,52.57,0,0
42,organic,8.4,8.3,152.7,0,2
43,organic,4.0,8.2,29.05,0,2
44,paid,12.6,1.9,90.6,0,0
45,paid,3.5,9.5,111.82,0,2
46,organic,4.4,13.0,36.49,0,2
47,paid,10.5,5.4,135.04,0,0
48,referral,13.7,6.5,15.61,0,0
49,paid,7.6,8.0,72.48,0,2
50,paid,12.0,6.0,223.35,2,0
51,organic,13.8,3.4,15.0,0,0
52,paid,13.4,4.8,201.12,0,0
53,paid,8.6,9.8,47.02,0,2
54,organic,4.5,8.4,78.93,0,2
55,organic,4.6,10.3,476.23,2,2
56,organic,3.9,9.9,76.38,0,2
57,organic,11.2,1.0,469.84,2,0
58,organic,7.3,8.8,102.03,0,2
59,referral,13.7,4.6,101.89,0,0
60,paid,14.1,3.5,234.64,2,0
61,organic,9.2,9.8,219.13,2,2
62,paid,17.3,1.6,126.3,0,0
63,organic,1.9,9.5,88.5,0,2
64,paid,7.6,8.8,33.26,0,2
65,organic,6.6,8.6,34.74,0,2
66,paid,4.8,7.8,437.84,2,2
67,paid,6.8,10.6,619.86,1,1
68,paid,9.7,3.6,123.55,0,0
69,paid,17.7,3.4,22.28,0,0
70,paid,15.3,6.7,54.87,0,0
71,organic,11.8,3.9,52.47,0,0
72,paid,12.5,5.2,66.67,0,0
73,organic,1.7,9.5,60.57,0,2
74,paid,13.2,2.4,175.66,0,0
75,paid,12.8,1.1,137.37,0,0
76,paid,10.7,3.4,455.8,2,0
77,organic,15.9,1.0,77.46,0,0
78,organic,9.2,9.5,160.8,0,2
79,organic,5.9,9.6,261.65,2,2
80,paid,5.2,8.6,336.81,2,2
81,organic,7.1,8.8,44.19,0,2
82,organic,14.0,1.0,158.28,0,0
83,referral,3.3,11.5,153.24,0,2
84,organic,12.4,2.4,144.39,0,0
85,paid,13.3,1.3,116.01,0,0
86,referral,14.6,4.0,513.67,2,0
87,paid,6.0,9.2,60.23,0,2
88,referral,14.5,2.4,46.76,0,0
89,paid,10.2,2.2,52.52,0,0
90,organic,7.7,9.0,103.42,0,2
91,organic,14.0,5.4,143.16,0,0
92,paid,12.4,9.8,89.07,0,2
93,organic,13.0,2.9,271.97,2,0
94,paid,14.8,4.5,109.6,0,0
95,paid,21.1,3.0,100.81,0,0
96,paid,6.5,9.7,40.56,0,2
97,referral,13.8,3.3,566.22,1,0
98,referral,11.5,4.1,105.35,0,0
99,organic,17.8,2.2,479.81,2,0
100,organic,3.1,6.9,76.7,0,2
101,paid,7.1,10.6,283.6,2,2
102,organic,4.8,11.7,80.93,0,2
103,referral,13.5,1.0,565.18,1,0
104,organic,2.4,9.3,368.23,2,2
105,organic,9.4,8.2,288.47,2,2
106,paid,5.3,10.6,69.95,0,2
107,organic,11.0,3.4,611.55,1,1
108,referral,17.1,9.0,688.27,1,1
109,referral,12.7,2.5,78.13,0,0
110,organic,6.8,11.8,155.32,0,2
111,paid,16.1,5.9,253.19,2,0
112,referral,15.2,4.0,18.63,0,0
113,organic,8.5,3.1,308.36,2,0
114,paid,7.7,9.2,337.41,2,2
115,paid,13.7,3.0,66.23,0,0
116,organic,5.2,11.0,18.67,0,2
117,referral,5.7,7.4,181.25,0,2
118,referral,2.0,8.7,48.41,0,2
119,referral,14.5,2.5,26.33,0,0
120,organic,2.6,5.9,187.47,0,2
121,referral,5.3,10.5,439.73,2,2
122,paid,6.4,10.9,110.27,0,2
123,paid,16.7,1.9,319.46,2,0
124,paid,12.0,4.9,199.88,0,0
125,organic,17.6,1.0,31.95,0,0
126,referral,16.4,3.0,66.77,0,0
127,referral,12.9,2.8,290.42,2,0
128,referral,11.2,3.2,66.28,0,0
129,organic,10.4,3.1,229.8,2,0
130,organic,6.7,8.9,92.84,0,2
131,paid,12.2,2.3,210.43,2,0
132,organic,9.0,8.8,197.59,0,2
133,organic,4.3,11.5,107.4,0,2
134,organic,11.7,2.0,205.15,2,0
135,paid,6.6,13.1,19.22,0,2
136,paid,12.3,1.9,41.38,0,0
137,referral,6.0,9.4,88.48,0,2
138,organic,16.5,4.0,315.9,2,0
139,organic,6.3,8.5,36.54,0,2
140,referral,14.3,5.5,106.57,0,0
141,paid,14.5,4.0,146.3,0,0
142,paid,9.8,2.6,137.39,0,0
143,organic,7.0,11.5,122.89,0,2
144,paid,6.4,7.2,76.82,0,2
145,organic,16.2,2.0,88.06,0,0
146,organic,15.5,4.0,264.35,2,0
147,organic,13.5,4.4,59.18,0,0
148,paid,8.6,9.6,19.23,0,2
149,paid,13.3,2.8,167.26,0,0
150,referral,14.6,2.5,422.53,2,0
151,organic,5.2,11.0,52.14,0,2
152,referral,7.2,9.4,457.0,2,2
153,organic,13.1,1.4,175.67,0,0
154,paid,10.1,7.3,47.43,0,2
155,paid,19.0,5.7,58.36,0,0
156,organic,8.2,7.7,68.53,0,2
157,organic,17.9,3.5,128.01,0,0
158,organic,2.2,11.4,114.07,0,2
159,organic,2.4,10.0,363.22,2,2
160,organic,5.2,7.6,288.42,2,2
161,paid,14.1,1.2,27.36,0,0
162,referral,5.5,12.4,37.45,0,2
163,organic,9.9,1.1,191.11,0,0
164,organic,16.9,2.0,69.14,0,0
165,paid,11.4,9.7,114.73,0,2
166,paid,17.2,2.6,179.81,0,0
167,organic,8.7,10.0,290.8,2,2
168,paid,6.6,6.4,44.25,0,2
169,referral,11.9,2.6,15.0,0,0
170,organic,6.2,10.2,121.29,0,2
171,organic,19.3,4.2,50.94,0,0
172,paid,5.1,8.0,142.54,0,2
173,referral,12.9,1.2,101.52,0,0
174,referral,8.8,9.4,55.82,0,2
175,paid,16.9,1.0,719.23,1,1
176,organic,11.9,5.3,111.64,0,0
177,referral,13.3,3.3,65.6,0,0
178,paid,4.7,7.7,147.13,0,2
179,paid,6.2,7.1,216.35,2,2
180,referral,8.8,7.9,76.0,0,2
181,organic,4.0,6.2,1083.8,1,1
182,referral,8.7,9.9,34.11,0,2
183,paid,6.3,7.6,36.32,0,2
184,organic,19.8,3.7,26.07,0,0
185,organic,6.8,10.0,134.76,0,2
186,organic,5.8,10.7,205.54,2,2
187,referral,15.4,3.5,81.66,0,0
188,organic,13.2,5.0,167.83,0,0
189,referral,1.5,11.5,202.53,0,2
190,paid,13.4,3.5,79.46,0,0
191,referral,5.4,9.6,197.29,0,2
192,organic,10.0,2.0,92.13,0,0
193,paid,13.8,1.2,76.09,0,0
194,organic,1.0,11.3,85.74,0,2
195,paid,13.1,4.1,135.6,0,0
196,paid,14.6,4.2,328.98,2,0
197,referral,6.2,7.9,45.4,0,2
198,referral,5.0,11.9,87.16,0,2
199,paid,13.8,2.6,127.28,0,0
200,paid,12.0,1.6,534.42,2,0
201,paid,6.0,8.0,198.05,0,2
202,referral,6.1,11.8,64.62,0,2
203,organic,3.7,7.0,58.47,0,2
204,organic,14.7,1.6,266.82,2,0
205,organic,14.7,8.2,82.91,0,0
206,referral,13.6,4.7,36.31,0,0
207,paid,20.1,1.7,273.81,2,0
208,paid,5.6,7.1,177.22,0,2
209,organic,13.3,1.0,37.53,0,0
210,referral,4.9,9.2,40.19,0,2
211,organic,3.6,10.3,19.09,0,2
212,referral,7.7,11.7,76.7,0,2
213,referral,12.3,1.0,144.62,0,0
214,paid,4.6,6.6,318.78,2,2
215,organic,4.7,8.8,196.85,0,2
216,referral,3.5,14.0,41.5,0,2
217,paid,9.6,4.6,85.17,0,0
218,organic,12.8,3.7,397.99,2,0
219,paid,8.2,6.8,84.7,0,2
220,referral,14.5,1.0,219.64,2,0
221,paid,17.9,3.1,196.53,0,0
222,paid,15.9,2.8,217.86,2,0
223,organic,7.3,8.5,197.96,0,2
224,organic,10.7,8.3,265.35,2,2
225,paid,13.8,1.7,28.98,0,0
226,paid,6.2,7.2,525.21,2,1
227,referral,14.0,5.5,21.63,0,0
228,referral,9.9,7.4,177.79,0,2
229,organic,6.0,8.5,128.56,0,2
230,paid,12.4,2.9,62.61,0,0
231,organic,15.5,4.3,45.71,0,0
232,organic,12.0,1.5,180.33,0,0
233,organic,7.3,10.8,276.22,2,2
234,paid,7.0,8.0,122.39,0,2
235,paid,5.5,8.7,103.51,0,2
236,paid,7.4,12.0,425.51,2,2
237,organic,10.3,1.3,75.22,0,0
238,paid,6.4,10.3,129.29,0,2
239,organic,12.8,4.8,91.54,0,0
240,organic,21.2,3.6,1016.09,1,1
241,organic,6.4,8.8,63.06,0,2
242,organic,4.5,12.8,283.8,2,2
243,organic,10.6,3.0,23.82,0,0
244,paid,9.3,9.4,56.71,0,2
245,paid,5.1,8.4,101.67,0,2
246,organic,4.0,9.3,119.36,0,2
247,organic,6.8,10.7,104.9,0,2
248,organic,15.6,2.5,100.54,0,0
249,organic,15.6,1.0,59.14,0,0
250,paid,14.0,3.9,350.31,2,0
251,paid,6.4,7.1,54.58,0,2
252,organic,6.6,10.3,262.44,2,2
253,organic,14.8,3.0,202.32,0,0
254,organic,15.1,4.7,46.85,0,0
255,paid,16.7,1.3,79.02,0,0
256,referral,6.1,8.0,133.99,0,2
257,paid,4.0,8.4,606.6,1,1
258,organic,13.6,1.0,78.87,0,0
259,organic,15.9,5.0,2867.7,3,1
260,organic,1.5,6.1,268.03,2,2
261,organic,9.5,5.0,149.78,0,0
262,paid,8.3,9.8,297.61,2,2
263,paid,17.8,2.6,23.41,0,0
264,paid,10.8,3.6,315.67,2,0
265,referral,6.3,9.6,40.83,0,2
266,referral,13.0,2.3,240.49,2,0
267,organic,13.3,3.5,64.5,0,0
268,organic,14.8,4.3,53.55,0,0
269,paid,10.8,1.3,542.0,1,0
270,referral,11.2,3.6,100.52,0,0
271,paid,13.2,1.0,27.72,0,0
272,paid,13.6,1.0,264.36,2,0
273,referral,11.2,4.0,36.65,0,0
274,paid,8.0,8.2,457.0,2,2
275,referral,5.0,7.5,132.35,0,2
276,organic,12.9,2.9,34.94,0,0
277,referral,14.7,2.3,230.26,2,0
278,organic,5.7,7.2,214.66,2,2
279,paid,8.1,6.0,19.87,0,2
280,organic,3.7,5.5,126.84,0,2
281,referral,10.5,4.3,143.88,0,0
282,organic,13.2,2.2,136.52,0,0
283,referral,14.2,4.7,93.11,0,0
284,referral,10.9,2.2,214.97,2,0
285,organic,2.5,9.6,224.09,2,2
286,referral,14.5,2.8,113.07,0,0
287,paid,12.1,3.1,88.88,0,0
288,referral,10.4,3.2,125.63,0,0
289,referral,8.4,8.2,78.0,0,2
290,paid,12.4,1.0,43.81,0,0
291,organic,8.9,10.4,48.84,0,2
292,organic,14.1,5.9,100.48,0,0
293,referral,6.7,12.0,62.06,0,2
294,paid,13.5,2.0,95.3,0,0
295,organic,1.0,7.7,444.56,2,2
296,organic,3.2,8.0,111.46,0,2
297,paid,5.7,8.7,152.07,0,2
298,referral,6.9,8.9,109.31,0,2
299,organic,1.5,7.2,435.22,2,2
300,organic,5.9,6.3,597.06,1,1
301,referral,3.2,9.1,88.01,0,2
302,paid,14.6,1.0,211.67,2,0
303,paid,6.0,8.8,881.86,1,1
304,paid,7.9,7.3,47.25,0,2
305,referral,8.7,10.4,324.5,2,2
306,referral,15.1,4.9,22.95,0,0
307,organic,16.2,4.9,112.92,0,0
308,paid,5.1,8.4,118.38,0,2
309,organic,21.1,1.0,23.66,0,0
310,organic,11.0,1.5,293.04,2,0
311,organic,12.7,3.5,125.57,0,0
312,paid,16.3,1.0,47.73,0,0
313,paid,15.9,5.5,147.78,0,0
314,referral,15.2,2.4,248.01,2,0
315,organic,15.7,3.9,22.38,0,0
316,paid,8.8,1.0,15.0,0,0
317,referral,18.0,1.3,105.87,0,0
318,organic,5.5,5.6,67.26,0,2
319,organic,17.1,4.8,366.73,2,0
320,paid,1.0,8.7,96.22,0,2
321,referral,6.6,10.0,177.42,0,2
322,paid,12.6,3.1,92.92,0,0
323,referral,15.4,3.8,27.35,0,0
324,organic,6.8,8.4,138.03,0,2
325,paid,6.9,8.6,40.71,0,2
326,paid,3.4,8.8,38.95,0,2
327,referral,5.9,9.7,50.01,0,2
328,paid,5.5,9.8,46.21,0,2
329,paid,7.2,14.1,111.12,0,2
330,organic,16.5,6.0,77.26,0,0
331,paid,6.4,5.8,173.42,0,2
332,organic,10.8,2.7,26.66,0,0
333,organic,6.3,8.3,107.07,0,2
334,paid,12.5,11.3,87.08,0,2
335,paid,18.1,2.4,131.8,0,0
336,paid,1.0,9.8,168.08,0,2
337,referral,14.2,1.0,126.55,0,0
338,paid,8.3,6.3,55.08,0,2
339,organic,13.5,6.8,112.42,0,0
340,organic,4.8,9.1,84.62,0,2
341,organic,13.3,1.2,358.81,2,0
