store_id,region,footprint_sqft,rating_before,remodeled,rating_after
1,South,5532,73.8,0,67.9
2,Northeast,8590,76.3,0,74.1
3,Northeast,3307,70.4,0,68.1
4,Midwest,6002,62.0,1,61.4
5,Northeast,7793,47.4,1,52.5
6,Northeast,8173,89.3,0,84.8
7,Midwest,5161,62.3,0,69.9
8,Northeast,7174,75.7,0,69.4
9,South,6498,72.9,0,69.1
10,West,6900,69.7,0,81.2
11,West,3542,94.2,0,88.5
12,West,4642,53.6,1,63.6
13,Northeast,8887,68.4,0,64.0
14,Midwest,7361,85.2,0,69.9
15,Northeast,4135,64.7,1,69.9
16,South,4742,69.2,0,62.4
17,Northeast,3935,57.7,1,66.1
18,Northeast,4577,82.0,0,65.0
19,South,1994,68.7,1,70.3
20,West,8634,70.8,0,61.3
21,Midwest,1690,71.3,0,94.9
22,South,1931,81.9,0,76.3
23,West,6666,69.1,1,66.3
24,West,2186,88.9,0,71.2
25,Northeast,7283,49.2,1,59.9
26,Northeast,3254,81.4,0,90.2
27,South,5559,68.6,0,78.6
28,South,3653,78.8,0,56.1
29,Midwest,8448,66.4,0,84.1
30,South,3333,54.8,1,49.9
31,West,1815,67.0,0,71.8
32,South,5642,75.2,0,72.3
33,West,4965,65.2,0,59.5
34,Midwest,5207,79.0,0,85.1
35,South,8818,59.8,0,73.7
36,Northeast,8663,61.3,1,47.6
37,West,1661,55.6,1,62.7
38,West,5014,79.8,0,73.7
39,Midwest,5546,95.9,0,62.5
40,Northeast,8811,76.9,0,84.7
41,South,8431,75.9,0,72.8
42,South,3307,56.0,0,57.2
43,West,5950,86.1,0,86.9
44,Midwest,4871,61.3,1,67.2
45,Northeast,7830,42.5,1,59.7
46,South,8101,76.3,0,79.9
47,South,4900,75.7,1,79.8
48,Midwest,3357,64.9,1,74.2
49,West,8208,76.7,1,78.3
50,Midwest,8097,82.4,0,75.8
51,West,8944,60.1,1,58.0
52,Midwest,5744,83.4,0,71.7
53,South,3574,72.3,0,55.7
54,Midwest,6820,86.7,0,70.7
55,West,3260,83.0,0,69.1
56,Northeast,5801,63.9,0,54.2
57,West,4730,79.7,0,82.1
58,South,6770,43.9,1,54.8
59,Midwest,8301,68.1,0,76.3
60,South,3906,77.6,0,70.1
61,Midwest,2952,80.8,0,82.0
62,Midwest,5411,57.5,1,64.0
63,Northeast,4425,71.8,0,64.9
64,Midwest,1569,71.4,0,84.3
65,West,7868,69.9,0,72.7
66,South,3254,83.4,0,91.8
67,Midwest,8513,60.3,1,79.2
68,Midwest,7518,79.2,0,64.9
69,Midwest,3402,78.1,0,82.7
70,Midwest,6323,96.5,0,100.0
71,West,2224,56.1,1,68.8
72,Northeast,4878,77.8,1,59.8
73,Midwest,7346,74.0,0,73.3
74,West,5049,70.6,0,77.1
75,Northeast,7078,81.2,0,81.8
76,Northeast,8283,82.4,0,57.0
77,Northeast,6380,60.9,1,62.0
78,West,8271,94.3,0,72.1
79,West,3402,50.0,1,43.5
80,Northeast,6012,73.9,0,62.6
81,Northeast,7284,95.3,0,100.0
82,West,5750,74.8,0,91.0
83,Northeast,5815,68.4,0,70.1
84,Midwest,1219,57.1,1,64.1
85,Northeast,7512,60.4,1,81.9
86,Midwest,4549,83.3,0,72.3
87,South,8153,97.4,0,86.6
88,Northeast,3909,52.0,1,65.1
89,South,4208,56.8,1,36.4
90,South,4667,67.8,1,78.6
91,Midwest,8841,84.1,0,82.2
92,Midwest,3190,57.6,1,81.8
93,South,5069,61.9,1,35.8
94,Northeast,5213,71.8,1,70.1
95,West,2733,83.4,0,83.9
96,Northeast,6121,81.9,0,60.2
97,Midwest,5777,61.8,1,79.8
98,Northeast,7176,65.4,1,53.3
99,Northeast,4536,61.7,0,68.3
100,Northeast,3509,74.7,0,67.4
101,West,8792,82.4,0,71.2
102,Midwest,8258,57.9,1,69.9
103,South,1372,75.2,0,68.9
104,Midwest,8018,92.1,0,79.9
105,South,5463,60.0,1,60.2
106,South,7177,64.0,1,77.5
107,West,5008,82.6,0,87.9
108,West,7404,56.6,1,72.3
109,South,3850,60.3,1,67.5
110,Midwest,6476,84.2,0,83.8
111,Northeast,3399,73.3,0,71.4
112,Midwest,2731,68.4,0,81.3
113,West,3671,58.0,1,49.6
114,Northeast,8705,78.9,0,88.0
115,South,4395,73.2,0,60.2
116,Midwest,2729,75.4,0,64.8
117,Northeast,7801,83.0,0,79.8
118,Midwest,3201,53.4,1,75.3
119,Midwest,2716,56.2,1,57.8
120,Midwest,7178,56.7,1,70.1
121,West,7665,68.2,0,77.8
122,Northeast,4495,71.7,0,54.3
123,West,8271,71.1,0,66.7
124,West,4371,66.3,0,65.1
125,West,5561,61.2,1,71.7
126,West,4655,75.8,0,47.4
127,West,1327,73.5,0,90.0
128,West,8625,56.0,1,48.6
129,South,2604,83.4,0,84.0
130,West,4082,73.7,0,77.1
131,South,4508,64.9,0,66.5
132,Northeast,7571,87.8,0,85.5
133,South,3090,54.7,1,54.0
134,South,6413,78.4,0,61.9
135,South,6969,71.4,0,68.8
136,South,2686,50.7,1,47.4
137,Northeast,4364,69.8,0,72.7
138,South,6081,82.4,0,94.8
139,South,5093,74.6,0,62.8
140,Midwest,4496,74.2,0,78.0
141,Midwest,5324,64.6,1,79.1
142,Midwest,5380,66.7,0,57.1
143,Northeast,4397,66.2,0,61.7
144,West,7211,82.9,0,86.5
145,South,6290,100.0,0,97.0
146,Northeast,2999,66.4,1,59.2
147,Northeast,8560,73.2,0,79.0
148,West,3727,65.2,0,67.0
149,Midwest,6367,65.8,0,62.0
150,Northeast,3522,65.9,0,64.3
151,West,8557,66.5,0,71.5
152,Northeast,3654,63.7,1,64.4
153,Midwest,5957,87.0,0,63.3
154,Midwest,2928,68.5,0,82.2
155,South,2837,71.4,1,76.8
156,Midwest,8911,88.9,0,82.1
157,West,7146,70.6,0,73.0
158,South,7241,92.2,0,88.1
159,South,4134,61.7,1,55.1
160,Northeast,2882,80.8,0,100.0
161,South,7709,55.7,1,75.6
162,South,7560,55.1,1,49.8
163,South,5486,75.0,1,73.6
164,Midwest,4527,96.3,0,79.2
165,West,6608,87.1,0,78.5
166,South,7273,76.6,0,73.0
167,West,3087,64.1,1,85.0
168,West,1710,56.0,1,60.8
169,West,5838,66.9,1,57.4
170,South,1669,57.3,1,54.8
171,Northeast,4861,59.5,0,62.1
172,Northeast,1965,82.5,0,76.7
173,Midwest,1825,48.0,0,60.2
174,Midwest,3650,94.6,0,100.0
175,Midwest,6135,78.7,0,70.9
176,Midwest,4045,69.5,1,62.6
177,West,3499,83.9,0,86.4
178,West,7392,72.8,0,70.3
179,Northeast,4485,72.8,0,64.5
180,West,4480,71.5,0,74.0
181,Midwest,3086,61.2,1,68.5
182,Northeast,4620,81.6,0,78.5
183,Northeast,5917,73.3,1,74.2
184,West,1536,87.8,0,67.9
185,Midwest,5093,65.5,0,67.5
186,West,5405,82.2,0,79.1
187,Midwest,4889,77.4,0,80.2
188,Midwest,2251,82.2,0,75.4
189,West,2003,56.8,1,64.7
190,Midwest,4621,78.6,0,66.4
191,South,6431,80.3,0,83.1
192,Midwest,8843,85.2,0,81.8
193,South,7527,75.8,0,65.6
194,West,2324,73.1,0,70.7
195,Midwest,4852,74.4,0,63.2
196,Midwest,8000,79.2,0,85.5
197,South,5245,61.2,1,44.7
198,Midwest,8921,62.4,1,65.7
199,Northeast,7097,43.3,1,48.3
200,South,5062,58.6,1,78.9
201,South,2153,74.4,0,55.6
202,Northeast,3706,84.1,0,72.6
203,West,5799,44.1,1,46.7
204,West,1230,68.7,0,58.3
205,West,7801,76.5,0,83.0
206,West,3500,77.4,0,78.2
207,South,2990,71.3,0,82.5
208,West,4799,54.6,1,50.9
209,West,4708,71.1,0,70.7
210,South,1983,85.2,0,66.5
211,Northeast,6791,95.8,0,85.4
212,Midwest,4892,67.1,1,69.3
213,West,3931,77.2,0,73.1
214,West,2996,77.6,1,74.2
215,West,8029,63.2,0,66.6
216,West,6582,81.9,0,77.8
217,South,1277,67.2,1,52.0
218,South,5800,64.6,1,63.0
219,West,2950,69.2,0,47.7
220,Midwest,3493,87.2,0,93.8
221,West,5135,63.0,1,71.8
222,Northeast,6225,80.2,0,85.1
223,Northeast,3353,59.4,1,63.0
224,West,3528,81.8,0,95.1
225,Northeast,1600,65.0,1,80.6
226,Northeast,6467,89.9,0,79.2
227,West,5605,90.3,0,87.8
228,South,5581,64.3,0,56.5
229,West,6505,61.7,0,59.5
230,West,8033,78.1,0,86.0
231,Midwest,6695,78.4,0,83.8
232,Northeast,7876,69.0,1,71.2
233,South,2372,78.6,0,96.6
234,Northeast,3949,65.6,0,68.5
235,Northeast,8702,77.6,0,68.0
236,Midwest,1840,72.6,0,65.2
237,Midwest,5860,67.2,0,84.7
238,Northeast,6292,86.7,0,68.0
239,South,8819,82.4,0,89.0
240,Northeast,2340,75.9,0,61.6
241,West,7952,62.4,0,48.8
242,Northeast,7592,79.9,0,81.5
243,Midwest,5654,62.6,0,59.9
244,Midwest,3356,70.4,0,76.2
245,South,7333,92.3,0,81.7
246,Midwest,6318,49.7,1,63.2
247,South,4385,72.7,0,70.0
248,South,8688,65.7,1,74.3
249,Northeast,3767,64.9,1,76.5
250,South,3581,80.2,0,70.7
251,West,5747,80.0,0,76.7
252,South,1247,97.3,0,95.2
253,South,4205,88.9,0,83.8
254,Northeast,2755,89.5,0,79.9
255,West,2242,76.6,0,93.3
256,Midwest,2513,89.6,0,92.5
257,West,3763,87.7,0,87.4
258,Northeast,3266,67.5,0,68.9
259,South,7230,76.1,0,84.2
260,South,3125,77.6,0,69.0
261,West,4090,70.1,0,88.3
262,West,4089,72.4,0,59.1
263,West,1215,90.7,0,73.1
264,South,3450,59.2,1,65.1
265,West,3760,83.5,0,64.7
266,Northeast,8423,56.4,0,61.4
267,West,3612,80.3,0,83.7
268,South,7100,60.3,0,58.6
269,Midwest,2181,61.8,1,68.6
270,Northeast,1708,70.3,0,86.4
271,South,4594,100.0,0,61.4
272,Midwest,8896,75.3,0,66.2
273,West,8554,66.3,1,62.5
274,Northeast,7682,77.8,0,61.4
275,West,1351,75.8,0,81.7
276,South,1756,77.0,0,62.7
277,South,1867,72.5,0,71.4
278,South,7046,63.0,0,58.3
279,West,7413,69.7,0,58.4
280,South,5530,83.0,0,82.1
281,Midwest,6398,66.4,0,61.6
282,West,4328,88.0,0,98.3
283,West,8138,60.2,1,58.7
284,West,8831,84.5,0,95.6
285,Northeast,1377,80.1,0,86.7
