email_id,send_day,policy,opened
1,1,bandit,0
2,1,bandit,0
3,1,bandit,0
4,1,bandit,0
5,1,bandit,0
6,1,bandit,0
7,1,bandit,0
8,1,bandit,0
9,1,bandit,0
10,1,bandit,0
11,1,bandit,0
12,1,bandit,0
13,1,bandit,0
14,1,bandit,0
15,1,bandit,0
16,1,bandit,0
17,1,bandit,0
18,1,bandit,0
19,1,bandit,0
20,1,bandit,0
21,1,bandit,0
22,1,bandit,0
23,1,bandit,0
24,1,bandit,0
25,1,bandit,1
26,1,bandit,0
27,1,bandit,0
28,1,bandit,0
29,1,bandit,0
30,1,bandit,0
31,1,bandit,0
32,1,bandit,0
33,1,bandit,0
34,1,bandit,0
35,1,bandit,0
36,1,bandit,0
37,1,bandit,0
38,1,bandit,0
39,1,bandit,0
40,1,bandit,0
41,1,bandit,0
42,1,bandit,0
43,1,bandit,0
44,1,bandit,0
45,1,bandit,0
46,1,bandit,0
47,1,bandit,0
48,1,bandit,0
49,1,bandit,0
50,1,bandit,0
51,1,bandit,0
52,1,bandit,1
53,1,bandit,0
54,1,bandit,0
55,1,bandit,0
56,1,bandit,0
57,1,bandit,0
58,1,bandit,0
59,1,bandit,0
60,1,bandit,0
61,1,bandit,0
62,1,bandit,0
63,1,bandit,0
64,1,bandit,0
65,1,bandit,0
66,1,bandit,0
67,1,bandit,0
68,1,bandit,0
69,1,bandit,1
70,1,bandit,0
71,1,bandit,0
72,1,bandit,0
73,1,bandit,0
74,1,bandit,0
75,1,bandit,0
76,1,bandit,0
77,1,bandit,0
78,1,bandit,0
79,1,bandit,1
80,1,bandit,0
81,1,bandit,0
82,1,bandit,0
83,1,bandit,0
84,1,bandit,0
85,1,bandit,0
86,1,bandit,0
87,1,bandit,0
88,1,bandit,0
89,1,bandit,0
90,1,bandit,0
91,1,bandit,0
92,1,bandit,0
93,1,bandit,1
94,1,bandit,0
95,1,bandit,0
96,1,bandit,0
97,1,bandit,0
98,1,bandit,0
99,1,bandit,0
100,1,bandit,0
101,1,bandit,0
102,1,bandit,0
103,1,bandit,0
104,1,bandit,0
105,1,bandit,0
106,1,bandit,0
107,1,bandit,0
108,1,bandit,0
109,1,bandit,0
110,1,bandit,0
111,1,bandit,0
112,1,bandit,0
113,1,bandit,0
114,1,bandit,0
115,1,bandit,0
116,1,bandit,0
117,1,bandit,0
118,1,bandit,0
119,1,bandit,0
120,1,bandit,0
121,1,bandit,0
122,1,bandit,0
123,1,bandit,0
124,1,bandit,0
125,1,bandit,1
126,1,bandit,0
127,1,bandit,0
128,1,bandit,0
129,1,bandit,0
130,1,bandit,0
131,1,bandit,0
132,1,bandit,0
133,1,bandit,0
134,1,bandit,0
135,1,bandit,0
136,1,bandit,0
137,1,bandit,0
138,1,bandit,0
139,1,bandit,1
140,1,bandit,0
141,1,bandit,0
142,1,bandit,0
143,1,bandit,0
144,1,bandit,0
145,1,bandit,0
146,1,bandit,0
147,1,bandit,0
148,1,bandit,0
149,1,bandit,0
150,1,bandit,0
151,1,baseline,0
152,1,baseline,0
153,1,baseline,0
154,1,baseline,0
155,1,baseline,0
156,1,baseline,0
157,1,baseline,0
158,1,baseline,0
159,1,baseline,0
160,1,baseline,0
161,1,baseline,0
162,1,baseline,0
163,1,baseline,0
164,1,baseline,0
165,1,baseline,0
166,1,baseline,1
167,1,baseline,0
168,1,baseline,0
169,1,baseline,0
170,1,baseline,0
171,1,baseline,0
172,1,baseline,0
173,1,baseline,1
174,1,baseline,0
175,1,baseline,0
176,1,baseline,0
177,1,baseline,0
178,1,baseline,0
179,1,baseline,0
180,1,baseline,0
181,1,baseline,0
182,1,baseline,0
183,1,baseline,0
184,1,baseline,1
185,1,baseline,0
186,1,baseline,0
187,1,baseline,0
188,1,baseline,0
189,1,baseline,0
190,1,baseline,0
191,1,baseline,0
192,1,baseline,0
193,1,baseline,0
194,1,baseline,0
195,1,baseline,0
196,1,baseline,0
197,1,baseline,0
198,1,baseline,0
199,1,baseline,0
200,1,baseline,0
201,1,baseline,0
202,1,baseline,0
203,1,baseline,1
204,1,baseline,0
205,1,baseline,0
206,1,baseline,0
207,1,baseline,0
208,1,baseline,0
209,1,baseline,0
210,1,baseline,0
211,1,baseline,0
212,1,baseline,0
213,1,baseline,0
214,1,baseline,0
215,1,baseline,0
216,1,baseline,0
217,1,baseline,0
218,1,baseline,0
219,1,baseline,0
220,1,baseline,0
221,1,baseline,0
222,1,baseline,0
223,1,baseline,0
224,1,baseline,0
225,1,baseline,0
226,1,baseline,0
227,1,baseline,0
228,1,baseline,0
229,1,baseline,0
230,1,baseline,0
231,1,baseline,0
232,1,baseline,0
233,1,baseline,0
234,1,baseline,0
235,1,baseline,0
236,1,baseline,0
237,1,baseline,0
238,1,baseline,0
239,1,baseline,0
240,1,baseline,0
241,1,baseline,0
242,1,baseline,0
243,1,baseline,0
244,1,baseline,0
245,1,baseline,0
246,1,baseline,0
247,1,baseline,0
248,1,baseline,0
249,1,baseline,0
250,1,baseline,0
251,1,baseline,0
252,1,baseline,0
253,1,baseline,0
254,1,baseline,0
255,1,baseline,1
256,1,baseline,0
257,1,baseline,0
258,1,baseline,1
259,1,baseline,1
260,1,baseline,1
261,1,baseline,0
262,1,baseline,1
263,1,baseline,0
264,1,baseline,0
265,1,baseline,0
266,1,baseline,0
267,1,baseline,0
268,1,baseline,0
269,1,baseline,0
270,1,baseline,0
271,1,baseline,0
272,1,baseline,0
273,1,baseline,0
274,1,baseline,0
275,1,baseline,0
276,1,baseline,1
277,1,baseline,0
278,1,baseline,0
279,1,baseline,0
280,1,baseline,0
281,1,baseline,0
282,1,baseline,0
283,1,baseline,0
284,1,baseline,0
285,1,baseline,0
286,1,baseline,0
287,1,baseline,0
288,1,baseline,0
289,1,baseline,0
290,1,baseline,0
291,1,baseline,0
292,1,baseline,0
293,1,baseline,0
294,1,baseline,0
295,1,baseline,0
296,1,baseline,0
297,1,baseline,0
298,1,baseline,0
299,1,baseline,0
300,1,baseline,0
301,2,bandit,0
302,2,bandit,0
303,2,bandit,0
304,2,bandit,0
305,2,bandit,0
306,2,bandit,0
307,2,bandit,0
308,2,bandit,0
309,2,bandit,0
310,2,bandit,0
311,2,bandit,0
312,2,bandit,0
313,2,bandit,0
314,2,bandit,0
315,2,bandit,0
316,2,bandit,0
317,2,bandit,1
318,2,bandit,0
319,2,bandit,0
320,2,bandit,0
321,2,bandit,0
322,2,bandit,0
323,2,bandit,0
324,2,bandit,0
325,2,bandit,0
326,2,bandit,0
327,2,bandit,0
328,2,bandit,0
329,2,bandit,0
330,2,bandit,0
331,2,bandit,0
332,2,bandit,0
333,2,bandit,0
334,2,bandit,0
335,2,bandit,0
336,2,bandit,0
337,2,bandit,0
338,2,bandit,0
339,2,bandit,0
340,2,bandit,0
341,2,bandit,0
342,2,bandit,0
343,2,bandit,0
344,2,bandit,0
345,2,bandit,0
346,2,bandit,0
347,2,bandit,0
348,2,bandit,0
349,2,bandit,0
350,2,bandit,0
351,2,bandit,0
352,2,bandit,0
353,2,bandit,0
354,2,bandit,0
355,2,bandit,0
356,2,bandit,0
357,2,bandit,0
358,2,bandit,0
359,2,bandit,0
360,2,bandit,0
361,2,bandit,0
362,2,bandit,0
363,2,bandit,0
364,2,bandit,0
365,2,bandit,0
366,2,bandit,0
367,2,bandit,0
368,2,bandit,1
369,2,bandit,0
370,2,bandit,0
371,2,bandit,1
372,2,bandit,0
373,2,bandit,0
374,2,bandit,0
375,2,bandit,0
376,2,bandit,0
377,2,bandit,0
378,2,bandit,0
379,2,bandit,0
380,2,bandit,0
381,2,bandit,0
382,2,bandit,0
383,2,bandit,0
384,2,bandit,0
385,2,bandit,0
386,2,bandit,0
387,2,bandit,0
388,2,bandit,0
389,2,bandit,0
390,2,bandit,0
391,2,bandit,0
392,2,bandit,0
393,2,bandit,0
394,2,bandit,0
395,2,bandit,0
396,2,bandit,0
397,2,bandit,0
398,2,bandit,0
399,2,bandit,0
400,2,bandit,0
401,2,bandit,1
402,2,bandit,0
403,2,bandit,0
404,2,bandit,0
405,2,bandit,0
406,2,bandit,0
407,2,bandit,0
408,2,bandit,0
409,2,bandit,1
410,2,bandit,0
411,2,bandit,0
412,2,bandit,0
413,2,bandit,0
414,2,bandit,0
415,2,bandit,0
416,2,bandit,0
417,2,bandit,0
418,2,bandit,0
419,2,bandit,0
420,2,bandit,0
421,2,bandit,0
422,2,bandit,0
423,2,bandit,0
424,2,bandit,0
425,2,bandit,0
426,2,bandit,0
427,2,bandit,0
428,2,bandit,0
429,2,bandit,1
430,2,bandit,0
431,2,bandit,0
432,2,bandit,0
433,2,bandit,0
434,2,bandit,0
435,2,bandit,0
436,2,bandit,0
437,2,bandit,0
438,2,bandit,0
439,2,bandit,0
440,2,bandit,0
441,2,bandit,0
442,2,bandit,0
443,2,bandit,0
444,2,bandit,0
445,2,bandit,0
446,2,bandit,0
447,2,bandit,0
448,2,bandit,0
449,2,bandit,0
450,2,bandit,0
451,2,baseline,0
452,2,baseline,0
453,2,baseline,1
454,2,baseline,0
455,2,baseline,0
456,2,baseline,0
457,2,baseline,0
458,2,baseline,0
459,2,baseline,0
460,2,baseline,0
461,2,baseline,0
462,2,baseline,0
463,2,baseline,0
464,2,baseline,0
465,2,baseline,0
466,2,baseline,0
467,2,baseline,0
468,2,baseline,0
469,2,baseline,0
470,2,baseline,1
471,2,baseline,0
