account_id,industry,seats,tenure_months,health_score,contacted_support,churned
1,Health,55,25,58.8,0,0
2,SaaS,8,47,44.5,0,1
3,Media,151,16,36.7,1,1
4,SaaS,169,3,56.0,1,1
5,Retail,47,41,70.1,0,1
6,Health,336,4,27.3,1,0
7,Retail,388,1,82.0,0,0
8,Retail,389,41,71.2,0,0
9,Media,254,28,26.1,1,1
10,Health,83,47,50.6,1,0
11,Health,62,32,83.5,0,0
12,SaaS,217,43,27.6,1,1
13,SaaS,180,44,23.2,1,1
14,Health,371,8,53.2,0,0
15,Retail,88,40,50.3,1,1
16,Retail,310,37,34.5,1,0
17,Media,141,16,81.6,0,1
18,SaaS,304,15,17.1,1,1
19,Health,152,16,70.4,0,0
20,SaaS,352,36,78.1,0,0
21,Media,382,12,73.4,0,0
22,SaaS,127,26,35.2,0,1
23,Finance,60,37,47.2,1,1
24,SaaS,62,44,56.9,0,1
25,Health,162,4,27.7,1,0
26,Retail,262,34,86.7,0,0
27,SaaS,168,4,65.0,1,1
28,Health,381,32,63.2,0,0
29,SaaS,128,41,50.9,1,1
30,SaaS,284,39,67.8,1,0
31,Health,25,46,12.9,1,1
32,Retail,99,20,54.2,0,1
33,Finance,341,28,88.6,0,0
34,Media,175,12,76.9,0,0
35,Media,160,31,45.7,1,1
36,Media,339,23,66.3,0,0
37,SaaS,242,23,50.8,1,1
38,Finance,385,5,47.8,0,1
39,Finance,213,19,64.5,0,0
40,Retail,328,46,35.8,1,0
41,SaaS,107,15,36.7,1,1
42,Health,197,27,63.6,1,0
43,Finance,98,8,63.4,0,1
44,SaaS,357,6,39.6,0,1
45,Retail,200,10,62.8,1,0
46,Media,283,18,48.0,1,1
47,Health,396,34,73.6,0,0
48,SaaS,296,31,69.8,0,0
49,Finance,223,18,50.7,1,0
50,Media,182,12,61.3,0,0
51,SaaS,390,41,44.1,0,0
52,Retail,222,19,39.1,1,0
53,SaaS,195,22,94.5,1,0
54,Health,135,28,53.8,1,1
55,Health,50,20,42.6,0,1
56,Health,143,9,54.8,0,0
57,Retail,142,47,59.8,0,1
58,SaaS,100,43,33.7,1,1
59,Media,259,18,28.5,1,0
60,SaaS,70,12,17.6,1,0
61,Finance,218,44,36.8,0,0
62,Retail,63,7,51.1,1,0
63,Media,247,42,23.1,1,1
64,SaaS,62,6,18.1,1,1
65,SaaS,274,6,53.8,0,0
66,Finance,349,41,80.0,0,0
67,Retail,197,8,68.1,0,1
68,Health,374,3,28.7,1,1
69,Finance,393,12,39.0,0,1
70,SaaS,28,2,56.3,0,0
71,Media,331,40,30.9,1,0
72,Health,101,37,64.2,1,0
73,SaaS,360,16,57.2,0,0
74,SaaS,125,26,60.9,0,1
75,Finance,32,45,74.6,0,1
