ticket_id,urgency_score,complexity_score,cluster_run1,cluster_run2
1,100.0,100.0,0,0
2,59.9,48.1,1,3
3,40.8,45.4,2,2
4,43.3,39.8,2,2
5,16.5,17.6,2,1
6,81.8,56.5,3,3
7,94.8,59.8,3,0
8,28.5,37.7,2,2
9,27.0,36.9,2,2
10,40.7,42.1,2,2
11,39.0,16.5,1,1
12,73.4,54.8,3,3
13,78.8,64.9,3,3
14,33.4,71.9,2,2
15,60.5,100.0,0,0
16,64.1,83.4,0,0
17,49.2,36.5,1,1
18,64.2,93.7,0,0
19,27.4,37.2,2,2
20,53.2,55.9,2,3
21,94.5,62.6,3,0
22,31.7,43.6,2,2
23,31.1,51.6,2,2
24,69.8,70.0,3,3
25,31.8,33.8,2,2
26,27.1,42.0,2,2
27,74.2,100.0,0,0
28,63.6,63.6,3,3
29,90.6,78.1,3,0
30,78.7,67.6,3,3
31,47.1,39.7,1,2
32,23.7,76.9,2,2
33,100.0,75.7,3,0
34,86.7,63.8,3,3
35,94.1,62.5,3,0
36,99.7,66.6,3,0
37,33.0,36.0,2,2
38,44.4,45.9,2,2
39,100.0,38.3,3,3
40,37.9,0.0,1,1
41,52.6,34.9,1,1
42,63.3,27.4,1,1
43,77.6,57.4,3,3
44,16.3,14.6,2,1
45,48.6,9.8,1,1
46,85.9,100.0,0,0
47,36.9,25.6,1,1
48,33.3,53.9,2,2
49,64.9,73.1,0,3
50,48.5,58.6,2,3
51,3.0,10.3,2,1
52,68.2,34.6,1,3
53,38.6,30.5,1,1
54,40.1,20.8,1,1
55,100.0,96.8,3,0
56,33.4,18.6,1,1
57,52.6,33.8,1,1
58,50.4,61.7,2,3
59,65.9,96.9,0,0
60,82.6,49.1,3,3
61,26.4,34.1,2,2
62,24.8,0.0,1,1
63,80.0,89.7,0,0
64,64.8,67.5,0,3
65,70.5,57.4,3,3
66,71.4,64.2,3,3
67,55.2,78.3,0,3
68,59.3,33.2,1,1
69,30.8,41.0,2,2
70,57.3,100.0,0,0
71,34.1,19.5,1,1
72,64.1,59.7,3,3
73,48.9,23.5,1,1
74,77.2,78.4,0,0
75,83.2,90.2,0,0
76,42.7,57.8,2,2
77,79.6,81.3,0,0
78,76.1,87.3,0,0
79,54.4,61.3,0,3
80,27.3,18.3,2,1
81,62.6,77.9,0,0
82,85.5,85.3,0,0
83,55.6,66.4,0,3
84,100.0,79.3,3,0
85,68.6,93.4,0,0
86,37.9,20.1,1,1
87,79.0,58.0,3,3
88,71.3,90.8,0,0
89,33.7,49.4,2,2
90,26.4,15.6,1,1
91,74.7,73.6,3,0
92,47.6,13.0,1,1
93,68.3,72.5,0,3
94,34.4,71.8,2,2
95,81.5,77.9,3,0
96,71.0,44.5,3,3
97,32.8,68.5,2,2
98,48.1,50.0,2,2
99,25.7,6.6,1,1
100,68.6,97.0,0,0
101,87.8,61.3,3,3
102,53.6,86.7,0,0
103,26.8,58.8,2,2
104,31.5,38.8,2,2
105,67.5,80.8,0,0
106,95.6,92.5,3,0
107,40.4,59.6,2,2
108,46.7,8.8,1,1
109,57.5,6.5,1,1
110,79.4,81.4,0,0
111,78.7,100.0,0,0
112,84.3,76.7,3,0
113,72.2,96.7,0,0
114,30.1,75.1,2,2
115,61.3,41.1,1,3
116,29.4,47.9,2,2
117,68.2,88.1,0,0
118,51.1,33.5,1,1
119,36.2,52.7,2,2
120,57.0,22.2,1,1
121,68.6,100.0,0,0
122,16.1,57.6,2,2
123,67.9,66.5,3,3
124,41.8,20.9,1,1
125,72.3,79.6,0,0
126,34.8,44.7,2,2
127,59.1,7.0,1,1
128,71.0,36.3,1,3
129,48.6,21.2,1,1
130,82.1,76.8,3,0
131,97.6,71.6,3,0
132,53.3,81.5,0,3
133,39.4,51.6,2,2
134,94.2,72.7,3,0
135,19.3,31.6,2,2
136,90.8,90.3,0,0
137,71.2,94.0,0,0
138,50.7,30.7,1,1
139,89.8,72.4,3,0
140,41.6,60.0,2,2
141,69.9,100.0,0,0
142,48.5,60.1,2,3
143,63.0,78.6,0,0
144,95.2,79.6,3,0
145,93.8,51.7,3,3
146,81.4,93.4,0,0
147,77.3,77.2,0,0
148,81.7,68.1,3,0
149,55.7,75.1,0,3
150,99.4,88.6,3,0
151,31.8,42.2,2,2
152,77.7,94.1,0,0
153,99.7,100.0,0,0
154,43.6,9.6,1,1
155,40.0,38.2,2,2
156,60.7,30.3,1,1
157,58.6,44.1,1,3
158,100.0,94.1,3,0
159,45.6,53.5,2,2
160,48.3,38.4,1,1
161,23.1,59.7,2,2
162,28.0,19.6,2,1
163,79.3,100.0,0,0
164,47.6,6.4,1,1
165,31.4,26.4,2,1
166,52.1,46.8,1,3
167,22.5,28.4,2,2
168,93.7,77.3,3,0
169,65.3,77.3,0,0
170,61.0,100.0,0,0
171,42.7,24.4,1,1
172,35.2,25.5,1,1
173,100.0,55.1,3,3
174,43.4,38.9,1,2
175,25.2,48.6,2,2
176,91.8,67.6,3,0
177,32.2,91.4,0,2
178,35.4,36.8,2,2
179,32.2,35.2,2,2
180,30.7,4.4,1,1
181,77.5,68.8,3,3
182,69.2,79.7,0,0
183,38.1,52.0,2,2
184,97.8,28.0,3,3
185,31.3,44.1,2,2
186,100.0,85.0,3,0
187,67.6,93.8,0,0
188,80.1,66.1,3,3
189,73.1,86.1,0,0
190,98.4,100.0,0,0
191,34.1,11.1,1,1
192,38.4,73.9,2,2
193,50.5,65.7,0,3
194,77.2,83.7,0,0
195,49.2,62.1,2,3
196,92.0,100.0,0,0
197,94.6,100.0,0,0
198,32.7,62.6,2,2
199,84.1,77.6,3,0
200,67.3,81.0,0,0
201,95.8,69.6,3,0
202,97.4,69.7,3,0
203,38.7,48.5,2,2
204,5.8,36.4,2,2
205,36.0,16.9,1,1
206,54.3,85.5,0,0
207,64.3,81.7,0,0
208,22.3,63.7,2,2
209,31.5,48.9,2,2
210,92.7,48.3,3,3
211,70.0,78.5,0,0
212,72.7,93.6,0,0
213,6.7,33.5,2,2
214,95.9,69.5,3,0
215,56.8,49.1,1,3
216,16.9,43.2,2,2
217,24.6,47.8,2,2
218,28.5,28.5,2,1
219,42.3,0.7,1,1
220,67.7,72.8,0,3
221,46.7,24.8,1,1
222,85.7,75.6,3,0
223,26.8,31.5,2,2
224,65.9,46.3,1,3
225,47.1,37.8,1,1
226,74.9,94.5,0,0
227,71.1,65.4,3,3
228,59.1,70.7,0,3
229,55.2,28.9,1,1
230,37.8,43.6,2,2
231,71.0,77.8,0,0
232,64.6,61.0,3,3
233,58.2,44.6,1,3
234,71.2,32.0,1,3
235,32.1,27.3,2,1
236,28.5,0.0,1,1
237,45.4,61.3,2,2
238,47.2,3.7,1,1
239,44.9,33.4,1,1
240,39.1,36.3,2,2
241,52.1,62.9,2,3
242,66.5,76.3,0,0
243,16.8,35.6,2,2
244,21.8,63.3,2,2
245,46.6,13.9,1,1
246,88.9,94.9,0,0
247,25.6,32.2,2,2
248,46.3,74.3,0,3
249,45.6,12.5,1,1
250,89.1,63.9,3,0
251,36.8,11.2,1,1
252,40.3,51.7,2,2
253,63.6,74.4,0,3
254,51.1,57.1,2,3
255,97.2,62.0,3,0
256,19.5,44.2,2,2
257,66.0,100.0,0,0
258,49.4,30.3,1,1
259,86.6,69.7,3,0
260,68.4,13.7,1,1
261,42.3,43.3,2,2
262,56.3,16.4,1,1
263,66.0,16.1,1,1
264,53.7,45.5,1,3
265,29.6,49.9,2,2
266,43.6,32.6,1,1
267,94.4,83.9,3,0
268,85.8,86.6,0,0
269,50.9,34.7,1,1
270,26.3,10.1,1,1
271,100.0,62.6,3,0
272,100.0,82.9,3,0
273,42.0,60.1,2,2
274,62.0,94.0,0,0
275,82.6,76.3,3,0
276,72.0,55.2,3,3
277,36.0,4.8,1,1
278,53.5,61.4,2,3
279,25.5,7.5,1,1
280,61.6,100.0,0,0
281,65.1,43.8,1,3
282,100.0,66.0,3,0
283,71.4,77.6,0,0
284,35.1,22.6,1,1
285,57.8,75.3,0,3
286,57.1,100.0,0,0
287,32.7,25.4,2,1
288,16.7,27.9,2,2
289,44.1,37.9,1,2
290,72.5,53.5,3,3
291,90.8,65.6,3,0
292,23.0,25.0,2,1
293,76.1,31.1,1,3
294,82.1,93.1,0,0
295,57.4,76.3,0,3
296,60.8,58.1,3,3
297,70.2,64.1,3,3
298,58.7,88.0,0,0
299,39.2,50.9,2,2
300,49.3,46.2,1,2
301,33.5,48.6,2,2
302,0.0,48.0,2,2
303,98.1,51.1,3,3
304,18.8,47.8,2,2
305,6.9,20.9,2,2
306,30.9,0.0,1,1
307,30.6,43.1,2,2
308,90.7,100.0,0,0
309,67.1,38.5,1,3
310,60.9,84.4,0,0
311,22.1,20.6,2,1
312,87.3,66.6,3,0
313,70.1,95.1,0,0
314,16.7,27.8,2,2
315,95.7,68.9,3,0
316,55.2,76.8,0,3
317,75.9,66.2,3,3
318,43.1,9.9,1,1
319,44.0,80.0,0,3
320,43.7,26.3,1,1
321,40.6,15.6,1,1
322,41.7,47.7,2,2
323,37.0,31.4,2,1
324,79.9,62.6,3,3
325,69.4,46.4,3,3
326,92.4,77.5,3,0
327,72.7,62.3,3,3
328,74.4,100.0,0,0
329,64.1,35.5,1,3
330,64.6,19.1,1,1
331,86.3,87.2,0,0
332,34.8,39.8,2,2
333,48.6,76.3,0,3
334,63.3,96.9,0,0
335,55.5,18.6,1,1
336,83.3,98.0,0,0
337,67.9,56.5,3,3
338,86.4,80.7,3,0
339,72.4,64.0,3,3
340,82.2,85.2,0,0
341,93.5,77.0,3,0
342,59.4,61.6,0,3
343,48.9,62.6,2,3
344,85.0,83.0,3,0
345,90.7,72.5,3,0
346,82.2,81.9,0,0
347,29.5,19.6,1,1
348,33.3,23.3,1,1
349,91.1,83.4,3,0
350,43.3,36.3,1,1
351,58.4,85.5,0,0
352,61.2,7.6,1,1
353,12.3,23.5,2,2
354,27.3,25.1,2,1
355,100.0,74.3,3,0
356,27.7,46.9,2,2
357,39.6,33.0,1,1
358,42.5,39.2,2,2
359,49.7,80.6,0,3
360,82.5,65.5,3,3
361,58.0,39.8,1,3
362,74.2,83.9,0,0
363,88.3,100.0,0,0
364,45.9,36.9,1,1
365,76.2,23.6,1,3
366,38.7,45.3,2,2
367,88.2,70.7,3,0
368,97.7,73.0,3,0
369,63.0,78.8,0,0
370,79.2,94.9,0,0
371,75.2,74.3,3,0
372,66.5,59.1,3,3
373,57.1,38.1,1,3
374,64.9,38.0,1,3
375,24.8,27.5,2,2
376,52.8,40.6,1,1
377,68.3,32.2,1,3
378,76.7,58.8,3,3
379,20.0,46.3,2,2
380,95.7,67.0,3,0
381,22.5,48.0,2,2
382,87.2,82.6,3,0
383,89.2,100.0,0,0
384,37.0,22.8,1,1
385,65.8,100.0,0,0
386,75.8,66.8,3,3
387,100.0,50.0,3,3
388,92.8,70.1,3,0
389,42.7,9.5,1,1
390,19.4,30.2,2,2
391,100.0,100.0,0,0
392,57.6,38.3,1,3
393,63.3,88.0,0,0
394,48.1,68.8,0,3
395,71.3,71.3,3,3
396,82.9,59.0,3,3
397,82.7,100.0,0,0
398,40.6,50.0,2,2
399,57.5,40.4,1,3
400,77.3,81.3,0,0
401,32.0,62.6,2,2
402,80.4,97.9,0,0
403,85.1,75.1,3,0
404,65.8,70.7,0,3
405,9.9,33.2,2,2
406,37.2,33.2,2,1
407,39.8,62.8,2,2
408,32.4,41.0,2,2
409,96.8,71.6,3,0
410,72.1,45.0,3,3
411,42.0,31.2,1,1
412,81.8,88.0,0,0
413,96.4,91.7,3,0
414,72.2,88.8,0,0
415,65.0,65.7,3,3
416,79.4,100.0,0,0
417,96.5,82.7,3,0
418,59.0,100.0,0,0
419,20.4,31.6,2,2
420,38.2,44.3,2,2
421,29.1,21.3,2,1
422,57.3,73.6,0,3
423,26.1,20.3,2,1
424,14.6,57.4,2,2
425,57.7,80.1,0,0
426,76.1,80.9,0,0
427,37.6,80.5,2,2
428,78.3,19.7,1,3
429,89.5,65.2,3,0
430,26.6,37.1,2,2
431,68.8,34.7,1,3
432,41.3,22.2,1,1
433,56.2,70.4,0,3
434,48.6,39.7,1,1
435,24.4,14.9,2,1
436,72.6,100.0,0,0
437,67.2,67.4,3,3
438,41.2,71.8,2,2
439,78.9,60.9,3,3
440,26.1,30.5,2,2
441,51.9,59.6,2,3
442,74.2,100.0,0,0
443,36.1,42.1,2,2
444,48.7,64.3,2,3
445,72.0,96.3,0,0
446,51.1,26.5,1,1
447,95.7,100.0,0,0
448,40.3,20.9,1,1
449,43.9,36.9,1,1
450,26.9,42.8,2,2
451,36.7,44.6,2,2
452,29.8,47.9,2,2
453,100.0,54.0,3,3
454,11.3,37.0,2,2
455,53.0,46.9,1,3
456,45.1,41.2,1,2
457,87.5,89.1,0,0
458,68.0,19.3,1,1
459,38.9,18.7,1,1
460,44.5,34.7,1,1
461,87.0,74.3,3,0
462,85.1,46.4,3,3
463,27.5,48.2,2,2
464,73.3,96.6,0,0
465,70.5,72.7,0,3
466,61.7,57.3,3,3
467,40.4,33.5,1,1
468,44.8,39.0,1,2
469,9.1,41.9,2,2
470,51.6,95.4,0,0
471,34.2,0.0,1,1
472,86.0,80.5,3,0
473,76.1,87.3,0,0
474,46.0,61.3,2,2
475,27.9,46.2,2,2
476,19.7,30.9,2,2
477,71.3,100.0,0,0
478,19.5,30.5,2,2
479,83.2,75.5,3,0
480,64.3,30.4,1,3
481,67.5,85.9,0,0
482,32.9,17.3,1,1
483,46.7,14.6,1,1
484,34.4,23.1,1,1
485,84.0,47.4,3,3
486,34.4,21.6,1,1
487,31.1,70.9,2,2
488,26.0,66.8,2,2
489,24.6,32.5,2,2
490,48.4,9.9,1,1
491,95.7,90.5,3,0
492,77.4,72.4,3,0
493,36.3,38.3,2,2
494,69.4,89.4,0,0
495,52.1,44.8,1,3
496,35.2,32.0,2,1
497,38.5,62.8,2,2
498,100.0,80.8,3,0
499,33.8,14.2,1,1
500,77.0,100.0,0,0
501,38.5,14.3,1,1
502,67.7,84.3,0,0
503,77.0,89.4,0,0
504,49.7,23.9,1,1
505,51.8,21.0,1,1
506,32.2,47.0,2,2
507,29.8,30.2,2,2
508,93.1,81.4,3,0
509,41.7,38.4,2,2
510,69.1,47.6,3,3
511,45.8,43.1,2,2
512,81.8,90.8,0,0
513,46.8,45.2,2,2
514,32.5,36.8,2,2
515,77.2,100.0,0,0
516,100.0,68.1,3,0
517,75.7,78.3,0,0
518,77.9,41.4,3,3
519,15.1,17.0,2,1
520,71.8,74.4,0,0
521,53.1,35.0,1,1
522,38.6,28.4,1,1
523,35.6,52.2,2,2
524,37.4,10.9,1,1
525,61.1,79.1,0,0
526,43.0,18.9,1,1
527,55.3,48.6,1,3
528,55.7,100.0,0,0
529,70.4,75.6,0,0
530,34.3,7.6,1,1
531,57.7,58.2,3,3
532,50.4,72.3,0,3
533,21.9,38.2,2,2
534,77.1,100.0,0,0
535,60.6,91.4,0,0
536,13.1,20.6,2,2
537,43.5,38.5,1,2
538,52.7,73.5,0,3
539,54.9,46.7,1,3
540,50.4,35.0,1,1
541,88.2,87.5,0,0
542,71.5,97.1,0,0
543,38.7,36.5,2,2
544,15.6,47.4,2,2
545,24.7,37.3,2,2
546,79.7,70.7,3,0
547,43.2,51.7,2,2
548,19.7,28.0,2,2
549,23.4,54.8,2,2
550,82.2,93.3,0,0
551,21.6,31.5,2,2
552,80.7,51.5,3,3
553,53.8,17.1,1,1
554,39.8,44.3,2,2
555,99.5,64.3,3,0
556,34.1,34.8,2,2
557,59.4,76.5,0,3
558,54.4,90.3,0,0
559,94.6,65.4,3,0
560,60.6,41.6,1,3
561,32.6,47.0,2,2
562,76.3,86.2,0,0
563,32.4,40.5,2,2
564,19.9,53.9,2,2
565,45.2,38.8,1,2
566,37.9,24.1,1,1
567,64.1,56.9,3,3
568,69.3,84.3,0,0
569,67.9,77.6,0,0
570,38.2,23.1,1,1
571,31.1,20.3,1,1
572,26.6,9.4,1,1
573,37.5,22.5,1,1
574,43.8,16.3,1,1
575,77.5,66.5,3,3
576,74.1,77.2,0,0
577,91.2,93.8,0,0
578,95.5,80.7,3,0
579,87.6,94.3,0,0
580,70.1,68.3,3,3
581,51.8,76.8,0,3
582,16.6,19.6,2,1
583,64.0,56.2,3,3
584,81.8,80.3,3,0
585,87.5,86.9,0,0
586,61.9,12.8,1,1
587,36.7,56.2,2,2
588,32.9,62.3,2,2
589,52.8,31.0,1,1
590,99.2,75.6,3,0
591,57.7,37.3,1,3
592,32.6,48.0,2,2
593,87.6,88.0,0,0
594,84.1,92.6,0,0
595,76.1,76.2,0,0
596,77.5,63.1,3,3
597,41.1,59.2,2,2
598,91.9,52.3,3,3
599,35.0,20.9,1,1
600,13.1,15.3,2,1
601,31.5,19.7,1,1
602,61.9,95.1,0,0
603,37.4,35.9,2,2
604,39.4,43.9,2,2
605,81.2,69.6,3,0
606,80.6,71.8,3,0
607,80.2,72.4,3,0
608,96.1,88.0,3,0
609,61.9,68.4,0,3
610,75.0,64.6,3,3
611,39.6,42.4,2,2
612,48.6,43.3,1,2
613,49.1,60.0,2,3
614,87.6,70.3,3,0
615,21.8,50.3,2,2
616,35.0,68.0,2,2
617,40.6,27.9,1,1
618,77.8,100.0,0,0
619,44.7,64.2,2,2
620,83.2,59.5,3,3
621,32.1,13.5,1,1
622,73.6,62.6,3,3
623,63.4,58.3,3,3
624,47.3,49.9,2,2
625,79.2,69.4,3,0
626,79.7,57.7,3,3
627,36.3,47.4,2,2
628,37.5,34.9,2,2
629,42.7,8.2,1,1
630,46.2,45.5,2,2
631,46.8,64.3,2,2
632,7.6,63.5,2,2
633,73.3,75.0,0,0
634,81.0,30.9,3,3
635,22.6,35.8,2,2
636,100.0,86.5,3,0
637,69.4,33.8,1,3
638,66.0,65.9,3,3
639,51.8,100.0,0,0
640,38.6,28.3,1,1
641,37.1,54.2,2,2
642,21.2,49.3,2,2
643,58.5,39.4,1,3
644,54.6,72.3,0,3
645,70.4,50.9,3,3
646,50.4,28.0,1,1
647,78.6,51.5,3,3
648,42.2,30.2,1,1
649,76.2,83.5,0,0
650,74.5,84.2,0,0
651,17.3,48.8,2,2
652,100.0,83.7,3,0
653,41.4,58.1,2,2
654,74.6,73.0,3,0
655,82.5,72.4,3,0
656,71.2,79.8,0,0
657,72.6,85.2,0,0
658,42.4,25.8,1,1
659,53.7,37.5,1,1
660,75.3,0.0,1,1
661,57.2,67.1,0,3
662,25.6,36.7,2,2
663,100.0,100.0,0,0
664,34.2,51.6,2,2
665,100.0,92.9,3,0
666,38.9,55.0,2,2
667,29.2,25.2,2,1
668,59.8,73.4,0,3
669,57.8,54.8,1,3
670,25.7,27.1,2,1
671,32.0,29.9,2,1
672,65.7,58.2,3,3
673,87.9,85.4,3,0
674,83.9,84.4,0,0
675,72.5,100.0,0,0
676,77.2,79.2,0,0
677,82.7,78.5,3,0
678,57.6,2.9,1,1
679,33.3,31.3,2,1
680,18.1,22.3,2,1
681,49.1,96.7,0,0
682,41.6,46.7,2,2
683,96.2,83.4,3,0
684,38.7,62.0,2,2
685,54.1,100.0,0,0
686,18.6,35.6,2,2
687,82.4,90.3,0,0
688,29.8,31.6,2,2
689,80.3,67.9,3,0
690,30.4,41.7,2,2
691,86.4,57.4,3,3
692,53.8,40.7,1,3
693,53.0,94.7,0,0
694,67.1,100.0,0,0
695,44.2,44.7,2,2
696,61.6,36.3,1,3
697,84.7,60.4,3,3
698,29.2,73.4,2,2
699,25.5,35.4,2,2
700,25.2,27.5,2,2
701,44.2,49.9,2,2
702,67.7,92.8,0,0
703,78.6,100.0,0,0
