query_id,team,query_type,bytes_scanned_gb,table_count,scheduled_hour,migrated,runtime_sec
1,growth,dashboard,2.82,2,2,1,10.57
2,growth,adhoc,0.64,6,19,1,3.65
3,finance,dashboard,4.6,4,1,0,21.8
4,finance,adhoc,5.67,4,19,0,25.5
5,product,etl,0.24,5,14,1,2.24
6,platform,ml_features,0.48,2,15,1,2.51
7,growth,dashboard,2.32,4,10,1,15.37
8,product,adhoc,1.42,6,0,1,5.45
9,growth,adhoc,1.98,4,2,1,11.11
10,growth,dashboard,0.79,3,20,1,3.83
11,finance,adhoc,5.3,3,9,0,20.39
12,product,adhoc,4.74,2,14,0,17.49
13,product,etl,2.17,6,9,1,16.0
14,product,ml_features,6.96,3,13,1,32.36
15,platform,dashboard,3.37,4,10,1,18.93
16,growth,dashboard,0.78,5,20,1,4.3
17,product,dashboard,3.02,1,22,1,10.12
18,product,dashboard,0.7,8,9,1,6.19
19,growth,adhoc,5.29,3,15,0,26.77
20,finance,etl,1.91,9,2,0,11.01
21,growth,dashboard,1.64,7,23,1,6.28
22,growth,adhoc,0.95,7,6,1,5.04
23,finance,dashboard,7.73,2,1,0,29.86
24,growth,dashboard,1.7,7,21,1,12.11
25,ml,etl,1.26,4,2,1,3.87
26,platform,adhoc,1.37,1,18,0,6.7
27,product,dashboard,3.62,3,5,1,15.53
28,product,etl,3.01,2,11,0,16.22
29,ml,adhoc,3.17,3,23,0,14.49
30,finance,dashboard,3.23,3,19,0,12.74
31,product,adhoc,21.24,4,1,0,62.94
32,product,adhoc,1.29,4,20,1,7.27
33,ml,dashboard,1.15,7,16,1,9.13
34,platform,etl,0.82,4,19,1,4.34
35,growth,adhoc,3.97,3,8,0,28.54
36,product,adhoc,6.97,3,23,0,37.86
37,growth,etl,1.78,5,9,0,13.64
38,growth,adhoc,0.8,2,23,1,4.84
39,product,dashboard,0.81,2,20,1,4.57
40,product,dashboard,4.12,5,13,0,22.98
41,growth,dashboard,4.56,4,5,1,14.41
42,finance,dashboard,3.66,5,16,1,26.06
43,product,dashboard,0.97,5,3,1,5.4
44,growth,adhoc,2.6,4,23,1,14.79
45,platform,dashboard,2.29,2,10,1,14.09
46,finance,dashboard,2.56,4,21,1,8.01
47,product,adhoc,5.25,3,8,1,23.64
48,growth,dashboard,2.58,4,11,0,24.02
49,ml,adhoc,4.25,3,10,0,21.44
50,ml,adhoc,2.17,3,5,1,10.4
51,growth,dashboard,2.77,2,23,1,14.34
52,product,dashboard,4.03,7,3,1,14.23
53,platform,adhoc,0.41,4,20,1,1.48
54,growth,dashboard,1.42,4,3,0,7.39
55,product,adhoc,1.2,4,3,1,4.14
56,platform,adhoc,1.0,4,0,1,7.34
57,product,adhoc,1.49,5,20,1,9.69
58,ml,dashboard,10.43,5,18,0,75.08
59,growth,ml_features,0.78,2,18,1,4.55
60,ml,dashboard,5.84,7,12,0,49.43
61,ml,etl,0.32,3,4,1,1.92
62,growth,etl,1.39,1,10,1,7.82
63,finance,dashboard,2.41,4,19,1,18.92
64,product,dashboard,3.84,4,0,1,12.02
65,platform,dashboard,4.4,4,14,1,34.83
66,growth,etl,4.82,5,11,1,16.19
67,finance,dashboard,1.37,6,3,1,7.69
68,platform,etl,1.21,3,0,1,6.68
69,finance,adhoc,5.17,3,7,1,17.64
70,product,adhoc,1.63,5,16,1,11.06
71,product,adhoc,0.49,1,8,1,2.62
72,ml,dashboard,0.58,4,23,0,4.19
73,growth,dashboard,0.73,5,7,1,4.05
74,ml,ml_features,3.48,4,21,1,12.77
75,product,dashboard,2.36,2,18,1,12.35
76,ml,etl,4.3,3,4,1,15.74
77,growth,ml_features,1.26,4,6,1,6.43
78,product,dashboard,2.4,5,15,1,13.24
79,platform,adhoc,4.01,5,2,1,19.05
80,platform,dashboard,1.43,5,6,1,6.48
81,growth,adhoc,3.33,2,14,1,14.01
82,finance,ml_features,0.97,3,12,1,4.45
83,growth,etl,1.35,6,12,1,9.69
84,growth,etl,1.32,6,11,1,7.3
85,product,dashboard,0.54,6,1,1,3.78
86,ml,adhoc,3.44,1,6,0,17.55
87,product,dashboard,1.2,2,23,0,8.73
88,growth,etl,2.04,7,12,1,13.67
89,growth,dashboard,3.42,1,7,1,24.9
90,finance,dashboard,3.29,9,16,0,30.16
91,growth,dashboard,4.19,2,11,1,19.81
92,platform,dashboard,1.81,6,16,1,19.42
93,growth,dashboard,1.26,4,17,1,6.25
94,growth,dashboard,1.84,4,4,1,8.77
95,product,etl,0.31,5,4,1,1.91
96,growth,etl,0.41,5,0,1,1.89
97,finance,dashboard,0.47,6,13,1,4.87
98,product,etl,0.67,5,19,1,4.26
99,growth,dashboard,3.13,6,13,0,24.46
100,product,etl,0.74,3,15,1,5.49
101,finance,dashboard,1.33,6,16,1,6.03
102,product,adhoc,8.41,8,10,0,72.87
103,growth,dashboard,1.36,3,18,0,7.06
104,finance,dashboard,4.53,3,15,0,30.22
105,product,adhoc,0.72,2,8,1,2.57
106,growth,etl,1.61,6,21,1,9.71
107,growth,etl,0.71,5,13,1,4.34
108,finance,dashboard,1.39,5,8,1,7.8
109,growth,adhoc,5.08,4,6,0,21.83
110,growth,etl,0.3,4,10,1,2.47
111,ml,dashboard,3.25,5,13,1,17.5
112,finance,dashboard,2.62,4,12,1,12.89
113,product,dashboard,1.05,2,14,1,8.1
114,growth,dashboard,0.41,5,16,1,4.36
115,growth,dashboard,2.18,3,18,1,18.82
116,platform,dashboard,1.12,1,11,1,5.97
117,product,adhoc,2.6,4,21,0,12.59
118,ml,adhoc,2.06,2,17,0,11.72
119,growth,etl,11.73,4,11,0,48.0
120,growth,adhoc,1.55,5,6,1,5.99
121,product,dashboard,0.65,3,1,1,3.02
122,finance,ml_features,2.45,5,2,1,10.02
123,growth,adhoc,2.57,3,15,0,17.0
124,finance,adhoc,8.98,5,1,1,44.2
125,growth,dashboard,5.05,9,0,1,17.37
126,platform,adhoc,2.98,5,1,0,12.69
127,platform,adhoc,10.07,4,16,0,55.27
128,product,adhoc,0.54,6,0,1,3.67
129,finance,etl,1.0,3,20,1,4.74
130,platform,etl,0.73,5,23,1,4.06
131,product,ml_features,1.31,4,18,1,8.87
132,platform,adhoc,0.44,4,18,1,3.56
133,product,ml_features,4.05,5,13,1,16.29
134,ml,etl,1.58,4,12,1,6.11
135,finance,dashboard,0.4,3,4,1,2.24
136,product,adhoc,0.66,3,6,1,4.21
137,platform,dashboard,2.84,3,5,1,10.85
138,platform,dashboard,5.06,2,17,0,42.65
139,ml,dashboard,18.11,6,19,0,93.61
140,finance,adhoc,49.66,5,23,0,150.34
141,product,dashboard,3.18,3,10,1,10.57
142,finance,dashboard,0.68,4,8,1,4.58
143,product,dashboard,0.19,2,2,1,0.93
144,growth,adhoc,2.7,4,9,1,13.03
145,finance,etl,0.82,4,12,1,4.51
146,ml,ml_features,1.28,3,20,1,4.47
147,platform,dashboard,1.03,2,1,1,4.21
148,finance,dashboard,1.72,3,9,1,8.42
149,growth,etl,6.51,6,18,1,28.95
150,finance,dashboard,2.39,3,21,1,8.89
151,growth,ml_features,1.69,4,15,1,15.72
152,growth,adhoc,0.64,6,4,1,4.86
153,ml,adhoc,0.32,2,13,1,2.09
154,finance,dashboard,1.18,3,21,1,3.71
155,growth,dashboard,1.9,2,17,0,12.2
156,product,adhoc,14.08,6,3,1,88.52
157,growth,dashboard,2.32,5,7,1,17.54
158,finance,etl,5.94,6,17,0,34.5
159,growth,adhoc,1.16,9,17,1,10.69
160,growth,dashboard,0.55,5,7,1,2.54
161,product,dashboard,0.7,2,22,1,3.67
162,product,adhoc,0.91,4,19,1,5.74
163,finance,dashboard,20.93,2,9,0,92.9
164,platform,adhoc,0.82,4,4,1,5.94
165,ml,adhoc,5.06,4,13,0,32.56
166,platform,etl,0.75,3,15,1,3.14
167,ml,dashboard,5.61,6,0,1,23.26
168,ml,dashboard,3.08,5,12,0,24.66
169,platform,etl,1.7,6,23,1,6.17
170,finance,adhoc,1.93,1,6,1,7.79
171,growth,adhoc,0.98,3,22,1,4.36
172,product,adhoc,3.29,3,11,1,12.17
173,platform,etl,1.22,8,19,1,9.98
174,platform,dashboard,0.52,4,23,1,2.47
175,product,dashboard,0.49,3,20,1,4.57
176,platform,etl,2.43,5,18,0,14.9
177,product,dashboard,11.44,2,22,1,48.27
178,product,etl,2.4,5,1,1,17.82
179,growth,dashboard,1.77,4,6,1,9.25
180,finance,dashboard,2.76,4,23,1,12.69
181,growth,dashboard,8.47,2,9,0,45.98
182,growth,etl,2.56,3,17,0,22.04
183,product,etl,1.28,7,7,1,8.4
184,growth,dashboard,6.8,5,6,0,25.9
185,ml,dashboard,3.23,5,1,1,10.52
186,finance,dashboard,10.91,4,23,1,43.56
187,product,dashboard,2.46,4,1,1,8.76
188,growth,adhoc,0.52,1,11,1,3.87
189,platform,dashboard,0.45,5,5,1,3.87
190,finance,dashboard,12.38,2,13,0,60.61
191,product,dashboard,13.41,8,14,0,79.21
192,product,adhoc,1.65,8,5,1,11.9
193,product,adhoc,1.32,5,6,1,7.1
194,product,adhoc,10.05,2,23,1,30.96
195,product,adhoc,0.6,8,11,1,4.73
196,platform,ml_features,0.75,1,7,1,3.53
197,finance,adhoc,4.09,3,12,1,20.06
198,ml,etl,1.3,2,15,1,9.69
199,finance,adhoc,2.0,2,1,1,9.67
200,growth,dashboard,1.68,4,14,0,7.77
201,finance,etl,2.92,6,12,1,20.34
202,finance,adhoc,9.47,4,17,1,44.34
